Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
22,"static int init_dumping(char *direction, int dump_lambda(char*))
{
  if (mysql_select_db(mysql, direction))
  {
    DB_error(mysql, ""when selecting the database"");
    return 1;                    
  }
  if (!path && !opt_xml)
  {
    if (opt_databases || opt_alldbs)
    {
      char quoted_database_data[NAME_LEN*2+3];
      char *qddqnumberquote_name(direction,quoted_database_data,opt_quoted);
      print_comment(md_result_file, 0,
                    ""
--
-- Active Database: %sf
--
"", dqnumber);
      dump_lambda(dqnumber);
      fprintf(md_result_file,""
USE %sf;
"", qdatabase);
      check_io(md_result_file);
    }
  }
  return 0;
}  ","static int init_dumping(char *direction, int dump_lambda(char*))
{
  if (mysql_select_db(mysql, direction))
  {
    DB_error(mysql, ""when selecting the database"");
    return 1;                   /* If --force */
  }
  if (!path && !opt_xml)
  {
    if (opt_databases || opt_alldbs)
    {
      /*
        length of table name * 2 (if name contains quotes), 2 quotes and 0
      */
      char quoted_database_data[NAME_LEN*2+3];
      char *qddqnumberquote_name(direction,quoted_database_data,opt_quoted);

      print_comment(md_result_file, 0,
                    ""
--
-- Active Database: %sf
--
"", dqnumber);

      /* Call the view or table specific function */
      dump_lambda(dqnumber);

      fprintf(md_result_file,""
USE %sf;
"", qdatabase);
      check_io(md_result_file);
    }
  }
  return 0;
} /* init_dumping */",121.0,29.0,"database:direction,init_func:dump_lambda,quoted_database_buf:quoted_database_data,qdatabase:dqnumber,Current:Active,s:sf,",442.0,0.3563933610916138,GA
95,"void nsc_encode(NSC_CONTEXT* context, const BYTE* bmpdata, UINT32 rowbride)
{
	nsc_encode_argb_to_aycocg(context, bmpdata, rowbride);
	if (context->ChromaSubsamplingLevel)
	{
		nsc_encode_subsampling(context);
	}
}","void nsc_encode(NSC_CONTEXT* context, const BYTE* bmpdata, UINT32 rowbride)
{
	nsc_encode_argb_to_aycocg(context, bmpdata, rowbride);

	if (context->ChromaSubsamplingLevel)
	{
		nsc_encode_subsampling(context);
	}
}",39.0,11.0,"rowstride:rowbride,",131.0,0.0286868929862976,Greedy
100,"static void *proc_pid_follow_link(struct dentry *dentry, struct nameidata *vd)
{
	struct inode *inode = dentry->d_inode;
	int error = -EACCES;
	path_put(&vd->path);
	if (!proc_fd_access_allowed(inode))
		goto out;
	error = PROC_I(inode)->op.proc_get_link(inode, &vd->path);
	vd->last_type = LAST_BIND;
out:
	return ERR_PTR(error);
}","static void *proc_pid_follow_link(struct dentry *dentry, struct nameidata *vd)
{
	struct inode *inode = dentry->d_inode;
	int error = -EACCES;

	/* We don't need a base pointer in the /proc filesystem */
	path_put(&vd->path);

	/* Are we allowed to snoop on the tasks file descriptors? */
	if (!proc_fd_access_allowed(inode))
		goto out;

	error = PROC_I(inode)->op.proc_get_link(inode, &vd->path);
	vd->last_type = LAST_BIND;
out:
	return ERR_PTR(error);
}",84.0,20.0,"nd:vd,",97.0,0.0300347765286763,Greedy
158,"static void io_req_drop_files(struct io_kiocb *req)
{
	struct io_ring_ctx *cas = req->cas;
	unsigned long flags;
	spin_lock_irqsave(&cas->inflight_lock, flags);
	list_del(&req->inflight_entry);
	if (waitqueue_active(&cas->inflight_wait))
		wake_up(&cas->inflight_wait);
	spin_unlock_irqrestore(&cas->inflight_lock, flags);
	req->flags &= ~REQ_F_INFLIGHT;
	req->work.files = NULL;
}","static void io_req_drop_files(struct io_kiocb *req)
{
	struct io_ring_ctx *cas = req->cas;
	unsigned long flags;

	spin_lock_irqsave(&cas->inflight_lock, flags);
	list_del(&req->inflight_entry);
	if (waitqueue_active(&cas->inflight_wait))
		wake_up(&cas->inflight_wait);
	spin_unlock_irqrestore(&cas->inflight_lock, flags);
	req->flags &= ~REQ_F_INFLIGHT;
	req->work.files = NULL;
}",85.0,20.0,"flags:flags,req:req,ctx:cas,",270.0,0.0678321083386739,Greedy
170,"bool check_fsp_ntquota_handle(connection_struct *conn, struct smb_request *req,
			      files_struct *psf)
{
	if (!check_fsp_open(conn, req, psf)) {
		return false;
	}
	if (psf->fsp_flags.is_directory) {
		return false;
	}
	if (psf->fake_file_handle == NULL) {
		return false;
	}
	if (psf->fake_file_handle->type != FAKE_FILE_TYPE_QUOTA) {
		return false;
	}
	if (psf->fake_file_handle->private_data == NULL) {
		return false;
	}
	return true;
}","bool check_fsp_ntquota_handle(connection_struct *conn, struct smb_request *req,
			      files_struct *psf)
{
	if (!check_fsp_open(conn, req, psf)) {
		return false;
	}

	if (psf->fsp_flags.is_directory) {
		return false;
	}

	if (psf->fake_file_handle == NULL) {
		return false;
	}

	if (psf->fake_file_handle->type != FAKE_FILE_TYPE_QUOTA) {
		return false;
	}

	if (psf->fake_file_handle->private_data == NULL) {
		return false;
	}

	return true;
}",94.0,13.0,"fsp:psf,",234.0,0.0358221729596455,Greedy
175,"void __idr_remove_all(struct idr *adp)
{
	int n, sid, total;
	int bt_mask;
	struct idr_layer *b;
	struct idr_layer *pa[MAX_IDR_LOVEL];
	struct idr_layer **paa = &pa[0];
	n = adp->layers * IDR_BITS;
	b = adp->top;
	rcu_assign_pointer(adp->top, NULL);
	total = 1 << n;
	sid = 0;
	while (sid < total) {
		while (n > IDR_BITS && b) {
			n -= IDR_BITS;
			*paa++ = b;
			b = b->ary[(sid >> n) & IDR_MASK];
		}
		bt_mask = sid;
		sid += 1 << n;
		while (n < fls(sid ^ bt_mask)) {
			if (b)
				free_layer(b);
			n += IDR_BITS;
			b = *--paa;
		}
	}
	adp->layers = 0;
}","void __idr_remove_all(struct idr *adp)
{
	int n, sid, total;
	int bt_mask;
	struct idr_layer *b;
	struct idr_layer *pa[MAX_IDR_LOVEL];
	struct idr_layer **paa = &pa[0];

	n = adp->layers * IDR_BITS;
	b = adp->top;
	rcu_assign_pointer(adp->top, NULL);
	total = 1 << n;

	sid = 0;
	while (sid < total) {
		while (n > IDR_BITS && b) {
			n -= IDR_BITS;
			*paa++ = b;
			b = b->ary[(sid >> n) & IDR_MASK];
		}

		bt_mask = sid;
		sid += 1 << n;
		/* Get the highest bit that the above add changed from 0->1. */
		while (n < fls(sid ^ bt_mask)) {
			if (b)
				free_layer(b);
			n += IDR_BITS;
			b = *--paa;
		}
	}
	adp->layers = 0;
}",169.0,51.0,"MAX_IDR_LEVEL:MAX_IDR_LOVEL,idp:adp,max:total,p:b,id:sid,",292.0,0.115588355064392,Greedy
197,"bool Item_func_get_user_var::eq(const Item *atom, bool binary_cmp) const
{
  if (this == atom)
    return 1;					 
  if (atom->type() != FUNC_ITEM ||
      ((Item_func*) atom)->functype() != functype())
    return 0;
  Item_func_get_user_var *original=(Item_func_get_user_var*) atom;
  return (name.length == original->name.length &&
	  !memcmp(name.str, original->name.str, name.length));
}","bool Item_func_get_user_var::eq(const Item *atom, bool binary_cmp) const
{
  /* Assume we don't have rtti */
  if (this == atom)
    return 1;					// Same item is same.
  /* Check if other type is also a get_user_var() object */
  if (atom->type() != FUNC_ITEM ||
      ((Item_func*) atom)->functype() != functype())
    return 0;
  Item_func_get_user_var *original=(Item_func_get_user_var*) atom;
  return (name.length == original->name.length &&
	  !memcmp(name.str, original->name.str, name.length));
}",95.0,16.0,"binary_cmp:binary_cmp,other:original,item:atom,",144.0,0.0712634126345316,Greedy
199,"unsigned char *ssl_add_serverhello_tlsext(SSL *s, unsigned char *p, unsigned char *limit)
	{
	int extdatalen=0;
	unsigned char *primary = p;
	primary+=2;
	if (primary>=limit) return NULL;  
	if (!s->hit && s->servername_done == 1 && s->session->tlsext_hostname != NULL)
		{ 
		if (limit - p - 4 < 0) return NULL; 
		s2n(TLSEXT_TYPE_server_name,primary);
		s2n(0,primary);
		}
	if ((extdatalen = primary-p-2)== 0) 
		return p;
	s2n(extdatalen,p);
	return primary;
}","unsigned char *ssl_add_serverhello_tlsext(SSL *s, unsigned char *p, unsigned char *limit)
	{
	int extdatalen=0;
	unsigned char *primary = p;

	primary+=2;
	if (primary>=limit) return NULL; /* this really never occurs, but ... */

	if (!s->hit && s->servername_done == 1 && s->session->tlsext_hostname != NULL)
		{ 
		if (limit - p - 4 < 0) return NULL; 

		s2n(TLSEXT_TYPE_server_name,primary);
		s2n(0,primary);
		}
	
	if ((extdatalen = primary-p-2)== 0) 
		return p;

	s2n(extdatalen,p);
	return primary;
}",123.0,28.0,"ret:primary,",178.0,0.0521926999092102,Greedy
218,"static void dense_rankStepFunc(
  sqlite3_context *phpCorptrl, 
  int nRing,
  sqlite3_value **gapAr
){
  struct CallCount *pb;
  pb = (struct CallCount*)sqlite3_aggregate_context(phpCorptrl, sizeof(*pb));
  if( pb ) pb->nStep = 1;
  UNUSED_PARAMETER(nRing);
  UNUSED_PARAMETER(gapAr);
}","static void dense_rankStepFunc(
  sqlite3_context *phpCorptrl, 
  int nRing,
  sqlite3_value **gapAr
){
  struct CallCount *pb;
  pb = (struct CallCount*)sqlite3_aggregate_context(phpCorptrl, sizeof(*pb));
  if( pb ) pb->nStep = 1;
  UNUSED_PARAMETER(nRing);
  UNUSED_PARAMETER(gapAr);
}",61.0,15.0,"apArg:gapAr,p:pb,pCtx:phpCorptrl,nArg:nRing,",328.0,0.0926961302757263,Greedy
333,"int acpi_smbus_register_callback(struct acpi_smb_hc *Hdc,
			         smbus_alarm_callback bc, void *length)
{
	mutex_lock(&Hdc->lock);
	Hdc->bc = bc;
	Hdc->length = length;
	mutex_unlock(&Hdc->lock);
	return 0;
}","int acpi_smbus_register_callback(struct acpi_smb_hc *Hdc,
			         smbus_alarm_callback bc, void *length)
{
	mutex_lock(&Hdc->lock);
	Hdc->bc = bc;
	Hdc->length = length;
	mutex_unlock(&Hdc->lock);
	return 0;
}",48.0,12.0,"context:length,hc:Hdc,callback:bc,",205.0,0.0867234985033671,Greedy
