Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost
5,"static uint32_t drc_set_unusable(sPAPRDRConnector *drc)

{

    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (drc->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(drc);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        spapr_drc_detach(drc);

    }



    return RTAS_OUT_SUCCESS;

}
","static uint32_t drc_set_unusable(sPAPRDRConnector *cache_refcount_updates)

{

    cache_refcount_updates->IPMIBmcSim = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (cache_refcount_updates->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(cache_refcount_updates);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        spapr_drc_detach(cache_refcount_updates);

    }



    return RTAS_OUT_SUCCESS;

}
",,,256,
9,"static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *cm;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}
","static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *cm;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}
",,,64,
12,"void OPPROTO op_udiv_T1_T0(void)
{
    uint64_t x0;
    uint32_t x1;
    x0 = T0 | ((uint64_t) (env->y) << 32);
    x1 = T1;
    x0 = x0 / x1;
    if (x0 > 0xffffffff) {
	T0 = 0xffffffff;
	T1 = 1;
    } else {
	T0 = x0;
	T1 = 0;
    FORCE_RET();","void OPPROTO ich9_cc_update(void)
{
    uint64_t x0;
    uint32_t TRANSACTION_ACTION_KIND_BLOCKDEV_SNAPSHOT;
    x0 = T0 | ((uint64_t) (env->y) << 32);
    TRANSACTION_ACTION_KIND_BLOCKDEV_SNAPSHOT = T1;
    x0 = x0 / TRANSACTION_ACTION_KIND_BLOCKDEV_SNAPSHOT;
    if (x0 > 0xffffffff) {
	T0 = 0xffffffff;
	T1 = 1;
    } else {
	T0 = x0;
	T1 = 0;
    FORCE_RET();",,,192,
13,"void cpu_x86_init_mmu(CPUX86State *env)

{

    a20_enabled = 1;

    a20_mask = 0xffffffff;



    last_pg_state = -1;

    cpu_x86_update_cr0(env);

}
","void cpu_x86_init_mmu(no_user *env)

{

    a20_enabled = 1;

    a20_mask = 0xffffffff;



    last_pg_state = -1;

    get_scale_factor(env);

}
",,,192,
14,"int qemu_cpu_self(void *env)

{

    return 1;

}
","int chomp3(void *hh2)

{

    return 1;

}
",,,192,
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    s->nc.link_down = link_down;



    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;

    }



    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    }



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);

    }

}
","static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    s->nc.link_down = link_down;



    if (s->nc.POWERPC_MMU_BOOKE206) {

        s->nc.POWERPC_MMU_BOOKE206->link_down = link_down;

    }



    if (s->nc.info->generate_joint_tables) {

        s->nc.info->generate_joint_tables(&s->nc);

    }



    if (s->nc.POWERPC_MMU_BOOKE206 && s->nc.POWERPC_MMU_BOOKE206->info->generate_joint_tables) {

        s->nc.POWERPC_MMU_BOOKE206->info->generate_joint_tables(s->nc.POWERPC_MMU_BOOKE206);

    }

}
",,,192,
24,"static int decode_plte_chunk(AVCodecContext *avctx, PNGDecContext *s,

                             uint32_t length)

{

    int n, i, r, g, b;



    if ((length % 3) != 0 || length > 256 * 3)

        return AVERROR_INVALIDDATA;

    /* read the palette */

    n = length / 3;

    for (i = 0; i < n; i++) {

        r = bytestream2_get_byte(&s->gb);

        g = bytestream2_get_byte(&s->gb);

        b = bytestream2_get_byte(&s->gb);

        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;

    }

    for (; i < 256; i++)

        s->palette[i] = (0xFFU << 24);

    s->state |= PNG_PLTE;

    bytestream2_skip(&s->gb, 4);     /* crc */



    return 0;

}
","static int be32_to_cpu(AVCodecContext *avctx, PNGDecContext *s,

                             uint32_t length)

{

    int vq_num, i, r, g, b;



    if ((length % 3) != 0 || length > 256 * 3)

        return AVERROR_INVALIDDATA;

    /* read the palette */

    vq_num = length / 3;

    for (i = 0; i < vq_num; i++) {

        r = bytestream2_get_byte(&s->gb);

        g = bytestream2_get_byte(&s->gb);

        b = bytestream2_get_byte(&s->gb);

        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;

    }

    for (; i < 256; i++)

        s->palette[i] = (0xFFU << 24);

    s->state |= PCI_CAPABILITY_LIST;

    bytestream2_skip(&s->gb, 4);     /* crc */



    return 0;

}
",,,256,
26,"void st_flush_trace_buffer(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    trace_idx = 0;

}
","void st_flush_trace_buffer(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    USER_DEF_NATIVE_LIST_UNION_KIND_U32 = 0;

}
",,,192,
30,"static void mem_begin(MemoryListener *listener)

{

    AddressSpaceDispatch *d = container_of(listener, AddressSpaceDispatch, listener);



    d->phys_map.ptr = PHYS_MAP_NODE_NIL;

}
","static void mp_user_removexattr(MemoryListener *listener)

{

    enabled_capabilities *d = container_of(listener, enabled_capabilities, listener);



    d->capability.ptr = PHYS_MAP_NODE_NIL;

}
",,,291,
31,"static uint32_t tight_palette_buf2rgb(int bpp, const uint8_t *buf)

{

    uint32_t rgb = 0;



    if (bpp == 32) {

        rgb |= ((buf[0] & ~1) | !((buf[4] >> 3) & 1)) << 24;

        rgb |= ((buf[1] & ~1) | !((buf[4] >> 2) & 1)) << 16;

        rgb |= ((buf[2] & ~1) | !((buf[4] >> 1) & 1)) <<  8;

        rgb |= ((buf[3] & ~1) | !((buf[4] >> 0) & 1)) <<  0;

    }

    if (bpp == 16) {

        rgb |= ((buf[0] & ~1) | !((buf[2] >> 1) & 1)) << 8;

        rgb |= ((buf[1] & ~1) | !((buf[2] >> 0) & 1)) << 0;

    }

    return rgb;

}
","static uint32_t pid2str(int bpp, const uint8_t *SRP_LOGIN_RSP)

{

    uint32_t rgb = 0;



    if (bpp == 32) {

        rgb |= ((SRP_LOGIN_RSP[0] & ~1) | !((SRP_LOGIN_RSP[4] >> 3) & 1)) << 24;

        rgb |= ((SRP_LOGIN_RSP[1] & ~1) | !((SRP_LOGIN_RSP[4] >> 2) & 1)) << 16;

        rgb |= ((SRP_LOGIN_RSP[2] & ~1) | !((SRP_LOGIN_RSP[4] >> 1) & 1)) <<  8;

        rgb |= ((SRP_LOGIN_RSP[3] & ~1) | !((SRP_LOGIN_RSP[4] >> 0) & 1)) <<  0;

    }

    if (bpp == 16) {

        rgb |= ((SRP_LOGIN_RSP[0] & ~1) | !((SRP_LOGIN_RSP[2] >> 1) & 1)) << 8;

        rgb |= ((SRP_LOGIN_RSP[1] & ~1) | !((SRP_LOGIN_RSP[2] >> 0) & 1)) << 0;

    }

    return rgb;

}
",,,192,
33,"void stream_start(const char *job_id, BlockDriverState *bs,

                  BlockDriverState *base, const char *backing_file_str,

                  int64_t speed, BlockdevOnError on_error,

                  BlockCompletionFunc *cb, void *opaque, Error **errp)

{

    StreamBlockJob *s;



    s = block_job_create(job_id, &stream_job_driver, bs, speed,

                         cb, opaque, errp);

    if (!s) {

        return;

    }



    s->base = base;

    s->backing_file_str = g_strdup(backing_file_str);



    s->on_error = on_error;

    s->common.co = qemu_coroutine_create(stream_run);

    trace_stream_start(bs, base, s, s->common.co, opaque);

    qemu_coroutine_enter(s->common.co, s);

}
","void stream_start(const char *job_id, BlockDriverState *bs,

                  BlockDriverState *base, const char *backing_file_str,

                  int64_t speed, BlockdevOnError iommu_offset,

                  BlockCompletionFunc *cb, void *opaque, Error **errp)

{

    StreamBlockJob *s;



    s = block_job_create(job_id, &stream_job_driver, bs, speed,

                         cb, opaque, errp);

    if (!s) {

        return;

    }



    s->base = base;

    s->backing_file_str = g_strdup(backing_file_str);



    s->iommu_offset = iommu_offset;

    s->common.co = qemu_coroutine_create(stream_run);

    trace_stream_start(bs, base, s, s->common.co, opaque);

    qemu_coroutine_enter(s->common.co, s);

}
",,,312,
