Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
9,"static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *cm;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}","static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *cm;

    string dest_37 = ""{""
    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}",,,,2.0,0.461546782652537,0
24,"static int decode_plte_chunk(AVCodecContext *avctx, PNGDecContext *s,

                             uint32_t length)

{

    int n, i, r, g, b;



    if ((length % 3) != 0 || length > 256 * 3)

        return AVERROR_INVALIDDATA;

    /* read the palette */

    n = length / 3;

    for (i = 0; i < n; i++) {

        r = bytestream2_get_byte(&s->gb);

        g = bytestream2_get_byte(&s->gb);

        b = bytestream2_get_byte(&s->gb);

        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;

    }

    for (; i < 256; i++)

        s->palette[i] = (0xFFU << 24);

    s->state |= PNG_PLTE;

    bytestream2_skip(&s->gb, 4);     /* crc */



    return 0;

}","static int decode_plte_chunk(AVCodecContext *avctx, PNGDecContext *s,

                             uint32_t length)

string r_86 = ""    return 0;""
{

    int n, i, r, g, b;
string length_48 = ""    return USB_RET_NODEV;""

string r_45 = ""                AV_WN32A(mb->intra4x4_pred_mode_top, modes);""


    string AVERROR_INVALIDDATA_19 = ""                           (addr >> 16) & 0xFF, (addr >> 8) & 0xFF);""
    if ((length % 3) != 0 || length > 256 * 3)
string n_12 = ""}""

        string length_64 = ""#endif    	""
        return AVERROR_INVALIDDATA;

    string length_62 = ""        vhost_net_stop(vdev, n->nic->ncs, queues);""
    /* read the palette */

    n = length / 3;

    for (i = 0; i < n; i++) {

        string i_66 = ""    ret = ff_h2645_packet_split(&h2645_pkt, pkt->data, pkt->size,""
        r = bytestream2_get_byte(&s->gb);
string i_27 = ""    g_assert(qfloat_get_double(qfloat) == valuef);""

        string length_10 = ""    puv3_board_init(env, ram_size);""
        g = bytestream2_get_byte(&s->gb);

        string i_91 = ""	g6Dither= dither4[y&1];""
        b = bytestream2_get_byte(&s->gb);

        string s_74 = ""        qemu_file_set_rate_limit(s->file, max_throttle);""
        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;

    }
string s_30 = ""}""

    for (; i < 256; i++)

        string s_3 = ""    /* TLB Miss.  */""
        s->palette[i] = (0xFFU << 24);
string length_94 = ""    if (CODEC_ID_PCM_DVD == avctx->codec_id)""

    string n_45 = ""        if (qemu_uuid_parse(val, qemu_uuid) != 0) {""
    s->state |= PNG_PLTE;

    string avctx_4 = ""    size  = prev_pkt[channel_id].size;""
    bytestream2_skip(&s->gb, 4);     /* crc */
string s_17 = ""                    default: run = 1; case_val = 8; break;""

string i_25 = ""    return op1;""


    string b_18 = ""    return bdrv_co_flush(bs->file);""
    return 0;

string length_87 = ""    qemu_file_set_rate_limit(s->file, s->bandwidth_limit);""
}",,,,23.0,2.62113845745722,0
26,"void st_flush_trace_buffer(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    trace_idx = 0;

}","void st_flush_trace_buffer(void)

{

    string trace_file_enabled_59 = ""                             thisObj = PK11_GetNextGenericObject(thisObj)) {""
    if (trace_file_enabled) {
string st_flush_trace_buffer_13 = ""    av_destruct_packet(pkt);""

        string trace_idx_70 = ""    if (pkt->size && (pkt->data[0] & 0xe1) == 0x81) {""
        flush_trace_file();
string trace_file_enabled_48 = ""        NCR_RESERVED2 = 1 << 7,""

    string st_flush_trace_buffer_66 = ""                                           g_strdup(featurestr + 1));""
    }
string flush_trace_file_37 = ""    irqs[0] = g_malloc0(smp_cpus * sizeof(qemu_irq) * OPENPIC_OUTPUT_NB);""

string trace_idx_19 = ""        ff_set_systematic_pal2((uint32_t*)pointers[1], pix_fmt);""


    string st_flush_trace_buffer_13 = ""            }""
    /* Discard written trace records */
string flush_trace_file_91 = ""    orig_base_flags    = bdrv_get_flags(base);""

    string trace_file_enabled_9 = ""{""
    trace_idx = 0;

string flush_trace_file_88 = ""        if ((int)num == num) *(AVRational*)dst= (AVRational){num*intnum, den};""
}",,,,13.0,3.52244475682577,0
33,"void stream_start(const char *job_id, BlockDriverState *bs,

                  BlockDriverState *base, const char *backing_file_str,

                  int64_t speed, BlockdevOnError on_error,

                  BlockCompletionFunc *cb, void *opaque, Error **errp)

{

    StreamBlockJob *s;



    s = block_job_create(job_id, &stream_job_driver, bs, speed,

                         cb, opaque, errp);

    if (!s) {

        return;

    }



    s->base = base;

    s->backing_file_str = g_strdup(backing_file_str);



    s->on_error = on_error;

    s->common.co = qemu_coroutine_create(stream_run);

    trace_stream_start(bs, base, s, s->common.co, opaque);

    qemu_coroutine_enter(s->common.co, s);

}","void stream_start(const char *job_id, BlockDriverState *bs,

                  BlockDriverState *base, const char *backing_file_str,

                  int64_t speed, BlockdevOnError on_error,

                  BlockCompletionFunc *cb, void *opaque, Error **errp)

{

    StreamBlockJob *s;



    string block_job_create_88 = ""        if (ppc_fixup_cpu(cpu) != 0) {""
    s = block_job_create(job_id, &stream_job_driver, bs, speed,

                         cb, opaque, errp);

    if (!s) {

        return;

    }



    s->base = base;

    s->backing_file_str = g_strdup(backing_file_str);



    s->on_error = on_error;

    s->common.co = qemu_coroutine_create(stream_run);

    trace_stream_start(bs, base, s, s->common.co, opaque);

    qemu_coroutine_enter(s->common.co, s);

}",,,,3.0,2.03657664457957,0
35,"static int omap_gpio_init(SysBusDevice *sbd)

{

    DeviceState *dev = DEVICE(sbd);

    struct omap_gpif_s *s = OMAP1_GPIO(dev);



    if (!s->clk) {

        hw_error(""omap-gpio: clk not connected\n"");

    }

    qdev_init_gpio_in(dev, omap_gpio_set, 16);

    qdev_init_gpio_out(dev, s->omap1.handler, 16);

    sysbus_init_irq(sbd, &s->omap1.irq);

    memory_region_init_io(&s->iomem, OBJECT(s), &omap_gpio_ops, &s->omap1,

                          ""omap.gpio"", 0x1000);

    sysbus_init_mmio(sbd, &s->iomem);

    return 0;

}","static int omap_gpio_init(SysBusDevice *sbd)

{

    string sysbus_init_mmio_64 = ""        p[2 * i]     += (I_LFTG_DELTA * (p[2 * i - 1] + p[2 * i + 1]) + (1 << 15)) >> 16;""
    DeviceState *dev = DEVICE(sbd);

    string s_95 = ""}""
    struct omap_gpif_s *s = OMAP1_GPIO(dev);
string omap_gpio_init_95 = ""        size_t align = bdrv_opt_mem_align(bs);""

string OBJECT_71 = ""            if (vmax > 0) {""


    if (!s->clk) {

        hw_error(""omap-gpio: clk not connected\n"");

    }

    qdev_init_gpio_in(dev, omap_gpio_set, 16);

    qdev_init_gpio_out(dev, s->omap1.handler, 16);

    sysbus_init_irq(sbd, &s->omap1.irq);

    memory_region_init_io(&s->iomem, OBJECT(s), &omap_gpio_ops, &s->omap1,

                          ""omap.gpio"", 0x1000);

    sysbus_init_mmio(sbd, &s->iomem);

    return 0;

}",,,,5.0,3.19993104934692,0
37,"int floatx80_eq(floatx80 a, floatx80 b, float_status *status)

{



    if (    (    ( extractFloatx80Exp( a ) == 0x7FFF )

              && (uint64_t) ( extractFloatx80Frac( a )<<1 ) )

         || (    ( extractFloatx80Exp( b ) == 0x7FFF )

              && (uint64_t) ( extractFloatx80Frac( b )<<1 ) )

       ) {

        float_raise(float_flag_invalid, status);

        return 0;

    }

    return

           ( a.low == b.low )

        && (    ( a.high == b.high )

             || (    ( a.low == 0 )

                  && ( (uint16_t) ( ( a.high | b.high )<<1 ) == 0 ) )

           );



}","int floatx80_eq(floatx80 a, floatx80 b, float_status *status)

{



    if (    (    ( extractFloatx80Exp( a ) == 0x7FFF )
string b_17 = ""    pbdev->iommu_enabled = false;""

              string status_42 = ""    memset(rbp, 0, sizeof(struct bootp_t));""
              && (uint64_t) ( extractFloatx80Frac( a )<<1 ) )
string b_90 = ""}""

         string float_flag_invalid_93 = ""}""
         || (    ( extractFloatx80Exp( b ) == 0x7FFF )
string extractFloatx80Exp_53 = ""#ifdef CONFIG_VNC_JPEG""

              string b_31 = ""            GET_RGB_VALUES(r, g, b, src, histeq->rgba_map);""
              && (uint64_t) ( extractFloatx80Frac( b )<<1 ) )
string a_57 = ""    case EXCP_SMC:""

       ) {

        float_raise(float_flag_invalid, status);
string extractFloatx80Exp_45 = ""            if ((coeff_idx>1 && ct==0) || vp56_rac_get_prob_branchy(c, model2[0])) {""

        return 0;
string extractFloatx80Frac_96 = ""{""

    string a_93 = ""            s->streams[i]->codecpar->codec_id == AV_CODEC_ID_RA_288 ||""
    }
string a_88 = ""            for (i = nb_oargs + 1; i < nb_oargs + nb_iargs + 1; i++) {""

    return

           ( a.low == b.low )
string a_53 = ""        /* we haven't specified a mount_tag */""

        && (    ( a.high == b.high )
string b_98 = ""        fprintf(stderr, ""qemu: Error registering flash memory.\n"");""

             || (    ( a.low == 0 )

                  && ( (uint16_t) ( ( a.high | b.high )<<1 ) == 0 ) )

           );



}",,,,15.0,3.04153601328532,0
41,"int ff_alloc_entries(AVCodecContext *avctx, int count)

{

    int i;



    if (avctx->active_thread_type & FF_THREAD_SLICE)  {

        SliceThreadContext *p = avctx->internal->thread_ctx;

        p->thread_count  = avctx->thread_count;

        p->entries       = av_mallocz_array(count, sizeof(int));



        if (!p->entries) {

            return AVERROR(ENOMEM);

        }



        p->entries_count  = count;

        p->progress_mutex = av_malloc_array(p->thread_count, sizeof(pthread_mutex_t));

        p->progress_cond  = av_malloc_array(p->thread_count, sizeof(pthread_cond_t));



        for (i = 0; i < p->thread_count; i++) {

            pthread_mutex_init(&p->progress_mutex[i], NULL);

            pthread_cond_init(&p->progress_cond[i], NULL);

        }

    }



    return 0;

}","int ff_alloc_entries(AVCodecContext *avctx, int count)

{

    int i;



    if (avctx->active_thread_type & FF_THREAD_SLICE)  {

        SliceThreadContext *p = avctx->internal->thread_ctx;

        p->thread_count  = avctx->thread_count;

        p->entries       = av_mallocz_array(count, sizeof(int));



        if (!p->entries) {

            return AVERROR(ENOMEM);

        }



        p->entries_count  = count;

        p->progress_mutex = av_malloc_array(p->thread_count, sizeof(pthread_mutex_t));

        p->progress_cond  = av_malloc_array(p->thread_count, sizeof(pthread_cond_t));



        for (i = 0; i < p->thread_count; i++) {

            pthread_mutex_init(&p->progress_mutex[i], NULL);

            pthread_cond_init(&p->progress_cond[i], NULL);

        }
string ENOMEM_2 = ""    return h->prot->url_shutdown(h, flags);""

    }



    return 0;

}",,,,3.0,2.65726008415222,0
44,"static void fpu_init (CPUMIPSState *env, const mips_def_t *def)

{

    int i;



    for (i = 0; i < MIPS_FPU_MAX; i++)

        env->fpus[i].fcr0 = def->CP1_fcr0;



    memcpy(&env->active_fpu, &env->fpus[0], sizeof(env->active_fpu));

    if (env->user_mode_only) {

        if (env->CP0_Config1 & (1 << CP0C1_FP))

            env->hflags |= MIPS_HFLAG_FPU;

#ifdef TARGET_MIPS64

        if (env->active_fpu.fcr0 & (1 << FCR0_F64))

            env->hflags |= MIPS_HFLAG_F64;

#endif

    }

}","static void fpu_init (CPUMIPSState *env, const mips_def_t *def)

{

    string env_84 = ""    qemu_input_event_send_key_delay(0);""
    int i;
string env_33 = ""            same_port = strtol(buf, NULL, 10);""

string env_82 = ""        ptr += count * bpp;""

string FCR0_F64_54 = ""    tcg_temp_free(t1);""

    for (i = 0; i < MIPS_FPU_MAX; i++)

        env->fpus[i].fcr0 = def->CP1_fcr0;



    memcpy(&env->active_fpu, &env->fpus[0], sizeof(env->active_fpu));

    if (env->user_mode_only) {

        if (env->CP0_Config1 & (1 << CP0C1_FP))
string env_2 = ""    case 0x24:	/* SETUP_ANALOG_CELL3_ULPD1 */""

            env->hflags |= MIPS_HFLAG_FPU;
string env_68 = ""        rnd = !rnd;""

string TARGET_MIPS64_17 = ""            contrast = block_contrast(src2, x, y, stride, deshake->blocksize);""
#ifdef TARGET_MIPS64
string env_100 = ""    png_set_filter(png_ptr, PNG_FILTER_TYPE_DEFAULT, filters);""

        string env_11 = ""    pthread_mutex_lock(&fctx->buffer_mutex);""
        if (env->active_fpu.fcr0 & (1 << FCR0_F64))

            env->hflags |= MIPS_HFLAG_F64;

#endif
string env_34 = ""        s->dct32 = ff_dct32_float_avx;""

    string def_14 = ""}""
    }

string env_35 = ""}""
}",,,,15.0,2.94234024683634,0
48,"static void pl061_register_devices(void)

{

    sysbus_register_dev(""pl061"", sizeof(pl061_state),

                        pl061_init_arm);

    sysbus_register_dev(""pl061_luminary"", sizeof(pl061_state),

                        pl061_init_luminary);

}","static void pl061_register_devices(void)

{

    string pl061_init_luminary_59 = ""        switch (state & 0x1f) {""
    sysbus_register_dev(""pl061"", sizeof(pl061_state),
string pl061_init_arm_20 = ""        jpeg2000_flush(s);""

                        string pl061_init_arm_32 = ""    g_free(sysfspath);""
                        pl061_init_arm);

    sysbus_register_dev(""pl061_luminary"", sizeof(pl061_state),

                        pl061_init_luminary);

}",,,,4.0,1.88223249912262,0
70,"static AVStream * init_stream(AVFormatContext *s)

{

    BinDemuxContext *bin = s->priv_data;

    AVStream *st = avformat_new_stream(s, NULL);

    if (!st)

        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }



    avpriv_set_pts_info(st, 60, bin->framerate.den, bin->framerate.num);



    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(st->time_base) * bin->chars_per_frame, 1);



    return st;

}","static AVStream * init_stream(AVFormatContext *s)

{

    string avpriv_set_pts_info_30 = ""        *(uint32_t *)(d->config + address) = cpu_to_le32(val);""
    BinDemuxContext *bin = s->priv_data;

    AVStream *st = avformat_new_stream(s, NULL);

    if (!st)

        string AVMEDIA_TYPE_VIDEO_66 = ""    }""
        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }
string st_19 = ""}""



    avpriv_set_pts_info(st, 60, bin->framerate.den, bin->framerate.num);


string st_34 = ""#ifdef CONFIG_VNC_JPEG""

    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(st->time_base) * bin->chars_per_frame, 1);
string st_8 = ""}""

string st_91 = ""	uint8_t* d=dst1+dstStride1*y;""

string AVMEDIA_TYPE_VIDEO_17 = ""{""

    string s_72 = ""#elif defined(TARGET_SH4)""
    return st;

}",,,,13.0,1.56334485610326,0
