Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
5," static void addDataToStreamTask(void* context)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = adoptPtr(static_cast<BlobRegistryContext*>(context));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }
"," static void addDataToStreamTask(void* period)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = areq_ctx(coreSeed<BlobRegistryContext*>(period));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }
",43.0,9.0,"context:period,static_cast:coreSeed,adoptPtr:areq_ctx,",127.0,0.0665718475977579,MHM
9,"bool TopSitesImpl::IsKnownURL(const GURL& url) {
  return loaded_ && cache_->IsKnownURL(url);
}
","bool TopSitesImpl::IsKnownURL(const GURL& octetline) {
  return loaded_ && restart->IsKnownURL(octetline);
}
",22.0,5.0,"cache_:restart,url:octetline,",64.0,0.020660130182902,MHM
11,"		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}
","		void CWebServer::MRB_PROC_STRICT_P(WebEmSession & session, const request& addr_len, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}
",78.0,13.0,"Cmd_GetAuth:MRB_PROC_STRICT_P,req:addr_len,",62.0,0.0332944432894388,MHM
12,"static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;

	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;

	qp_attr.max_dest_rd_atomic = 4;

	ret = ib_modify_qp(qp, &qp_attr, attr_mask);

out:
	return ret;
}
","static int IO(struct srpt_rdma_ch *ch, struct ib_qp *hlimit)
{
	struct ib_qp_attr u4_decoded_value;
	int attr_mask;
	int ret;

	u4_decoded_value.qp_state = input_compression;
	ret = datalen(ch->cm_id, &u4_decoded_value, &attr_mask);
	if (ret)
		goto out;

	u4_decoded_value.max_dest_rd_atomic = 4;

	ret = pdf(hlimit, &u4_decoded_value, attr_mask);

out:
	return ret;
}
",77.0,21.0,"ib_cm_init_qp_attr:datalen,srpt_ch_qp_rtr:IO,qp:hlimit,IB_QPS_RTR:input_compression,ib_modify_qp:pdf,qp_attr:u4_decoded_value,",182.0,0.0980805277824401,MHM
15,"static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t t, *tp = NULL;

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		t.tv64 = restart->futex.time;
		tp = &t;
	}
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}
","static long path(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t t, *tp = NULL;

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		t.tv64 = restart->futex.time;
		tp = &t;
	}
	restart->fn = a1;

	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}
",92.0,21.0,"do_no_restart_syscall:a1,futex_wait_restart:path,",63.0,0.0298718531926472,MHM
16,"status_t MediaPlayer::setDataSource(
 const sp<IMediaHTTPService> &httpService,
 const char *url, const KeyedVector<String8, String8> *headers)
{

     ALOGV(""setDataSource(%s)"", url);
     status_t err = BAD_VALUE;
     if (url != NULL) {
        const sp<IMediaPlayerService>& service(getMediaPlayerService());
         if (service != 0) {
             sp<IMediaPlayer> player(service->create(this, mAudioSessionId));
             if ((NO_ERROR != doSetRetransmitEndpoint(player)) ||
 (NO_ERROR != player->setDataSource(httpService, url, headers))) {
                player.clear();
 }
            err = attachNewPlayer(player);
 }
 }
 return err;
}
","status_t MediaPlayer::setDataSource(
 const sp<IMediaHTTPService> &httpService,
 const char *url, const KeyedVector<String8, String8> *headers)
{

     ALOGV(""setDataSource(%s)"", url);
     status_t err = BAD_VALUE;
     if (url != NULL) {
        const sp<IMediaPlayerService>& service(getMediaPlayerService());
         if (service != 0) {
             sp<IMediaPlayer> player(service->create(this, sourceStartBand));
             if ((NO_ERROR != doSetRetransmitEndpoint(player)) ||
 (NO_ERROR != player->setDataSource(httpService, url, headers))) {
                player.clear();
 }
            err = attachNewPlayer(player);
 }
 }
 return err;
}
",132.0,27.0,"mAudioSessionId:sourceStartBand,",33.0,0.0146551410357157,MHM
18,"static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;

	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
}
","static ssize_t show_ibdev(struct device *dev, struct device_attribute *file,
			  char *rhost)
{
	struct channel_handle *ucm_dev;

	ucm_dev = ESIL_A(dev, struct channel_handle, dev);
	return sprintf(rhost, ""%s\n"", ucm_dev->ib_dev->name);
}
",53.0,14.0,"container_of:ESIL_A,attr:file,buf:rhost,ib_ucm_device:channel_handle,",127.0,0.0587260961532592,MHM
19,"bool SocketStream::is_secure() const {
  return url_.SchemeIs(""wss"");
 }
","bool SocketStream::is_secure() const {
  return png_destroy_write_struct.SchemeIs(""wss"");
 }
",18.0,2.0,"url_:png_destroy_write_struct,",33.0,0.0093386451403299,MHM
21,"void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
}
","void extensions(WebSettings* settings,
                               const string16& font,
                               UScriptCode complex_images) {
  settings->setSerifFontFamily(font, complex_images);
}
",26.0,7.0,"setSerifFontFamilyWrapper:extensions,script:complex_images,",93.0,0.0342498699824015,MHM
22," void GpuVideoDecodeAccelerator::OnDecode(
    base::SharedMemoryHandle handle, int32 id, int32 size) {
   DCHECK(video_decode_accelerator_.get());
   video_decode_accelerator_->Decode(media::BitstreamBuffer(id, handle, size));
 }
"," void GpuVideoDecodeAccelerator::OnDecode(
    base::SharedMemoryHandle i4_dequeue_job, int32 id, int32 bytestream2_skip) {
   DCHECK(UINT32_MAX.get());
   UINT32_MAX->Decode(media::fbFinishAccess(id, i4_dequeue_job, bytestream2_skip));
 }
",43.0,11.0,"video_decode_accelerator_:UINT32_MAX,size:bytestream2_skip,BitstreamBuffer:fbFinishAccess,handle:i4_dequeue_job,",124.0,0.0709126273790995,MHM
