Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
5," static void addDataToStreamTask(void* context)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = adoptPtr(static_cast<BlobRegistryContext*>(context));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }
"," static void addDataToStreamTask(void* component)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = adoptPtr(static_cast<BlobRegistryContext*>(component));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }
",43.0,9.0,"context:component,",44.0,0.0229950984319051,Greedy
12,"static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;

	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;

	qp_attr.max_dest_rd_atomic = 4;

	ret = ib_modify_qp(qp, &qp_attr, attr_mask);

out:
	return ret;
}
","static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp * qpi)
{
	struct ib_qp_attr qp_att;
	int att_sk;
	int len;

	qp_att.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_att, &att_slen	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_att, &att_sk);
	if (len)
		goto out;

	qp_att.max_dest_rd_atomic = 4;

	ret = ib_modify_qp( qpi, &qp_att, att_sk)lenet = ib_modify_qp( qpi, &qp_att, att_sk);

out:
	return len;
}
",77.0,21.0,"ch:ch,qp: qpi,qp_attr:qp_att,attr_mask:att_sk,ret:len,",299.0,0.1382348497708638,GA
15,"static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t t, *tp = NULL;

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		t.tv64 = restart->futex.time;
		tp = &t;
	}
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}
","static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *hwaddr = restart->futex.hwaddr;
	ktime_t e, *tp = NULL;

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		e.tv64 = restart->futex.time;
		tp = &e;
	}
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait(hwaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}
",92.0,21.0,"uaddr:hwaddr,t:e,",106.0,0.0377483129501342,Greedy
16,"status_t MediaPlayer::setDataSource(
 const sp<IMediaHTTPService> &httpService,
 const char *url, const KeyedVector<String8, String8> *headers)
{

     ALOGV(""setDataSource(%s)"", url);
     status_t err = BAD_VALUE;
     if (url != NULL) {
        const sp<IMediaPlayerService>& service(getMediaPlayerService());
         if (service != 0) {
             sp<IMediaPlayer> player(service->create(this, mAudioSessionId));
             if ((NO_ERROR != doSetRetransmitEndpoint(player)) ||
 (NO_ERROR != player->setDataSource(httpService, url, headers))) {
                player.clear();
 }
            err = attachNewPlayer(player);
 }
 }
 return err;
}
","status_t MediaPlayer::setDataSource(
 const sp<IMediaHTTPService> &httpService,
 const char *host, const KeyedVector<String8, String8> *headers)
{

     ALOGV(""setDataSource(%s)"", host);
     status_t err = BAD_VALUE;
     if (host != NULL) {
        const sp<IMediaPlayerService>& service(getMediaPlayerService());
         if (service != 0) {
             sp<IMediaPlayer> player(service->create(this, mAudioSessionId));
             if ((NO_ERROR != doSetRetransmitEndpoint(player)) ||
 (NO_ERROR != player->setDataSource(httpService, host, headers))) {
                player.clear();
 }
            err = attachNewPlayer(player);
 }
 }
 return err;
}
",132.0,27.0,"url:host,",66.0,0.0254534482955932,Greedy
21,"void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
}
","void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode  Script) {
  settings->setSerifFontFamily(font,  Script);
}
",26.0,7.0,"script: Script,",45.0,0.0203795194625854,Greedy
27,"status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *pArg = ptr;
 return ret;
}
","status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t pret;
 binder_uintptr_t fp;
    pret = readAligned(&fp);
 if (!pret)
 *pArg = fp;
 return pret;
}
",39.0,11.0,"ret:pret,ptr:fp,",104.0,0.0412174423535664,Greedy
35,"void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
","void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *txt;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, txt, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
",144.0,35.0,"tmp:txt,",71.0,0.0375492533047994,Greedy
36,"int ipc_addid(struct ipc_ids *ids, struct kern_ipc_perm *new, int size)
{
	kuid_t euid;
	kgid_t egid;
	int id;
	int next_id = ids->next_id;

	if (size > IPCMNI)
		size = IPCMNI;

	if (ids->in_use >= size)
		return -ENOSPC;

	idr_preload(GFP_KERNEL);

	spin_lock_init(&new->lock);
	new->deleted = false;
 	rcu_read_lock();
 	spin_lock(&new->lock);
 
 	id = idr_alloc(&ids->ipcs_idr, new,
 		       (next_id < 0) ? 0 : ipcid_to_idx(next_id), 0,
 		       GFP_NOWAIT);
	idr_preload_end();
	if (id < 0) {
		spin_unlock(&new->lock);
		rcu_read_unlock();
		return id;
	}
 
 	ids->in_use++;
 
	current_euid_egid(&euid, &egid);
	new->cuid = new->uid = euid;
	new->gid = new->cgid = egid;
 	if (next_id < 0) {
 		new->seq = ids->seq++;
 		if (ids->seq > IPCID_SEQ_MAX)
			ids->seq = 0;
	} else {
		new->seq = ipcid_to_seqx(next_id);
		ids->next_id = -1;
	}

	new->id = ipc_buildid(id, new->seq);
	return id;
}
","int ipc_addid(struct ipc_ids *rows, struct kern_ipc_perm *changes, int six)
{
	kuid_t egide;
	kgid_t egid;
	int id;
	int next_id = rows->next_id;

	if (six > IPCMNI)
		six = IPCMNI;

	if (rows->inxuses >= six)
		return -ENOSPC;

	idr_preload(GFP_KERNEL);

	spin_lock_init(&changes->lock);
	changes->deleted = false;
 	rcu_read_lock();
 	spin_lock(&changes->lock);
 
 	id = idr_alloc(&rows->ipcs_idr, changes,
 		       (next_id < 0) ? 0 : ipcid_to_idx(next_id), 0,
 		       GFP_NOWAIT);
	idr_preload_end();
	if (id < 0) {
		spin_unlock(&changes->lock);
		rcu_read_unlock();
		return id;
	}
 
 	rows->inxuses++;
 
	current_euid_egid(&egide, &egid);
	changes->cuid = changes->uid = egide;
	changes->gid = changes->cgid = egid;
 	if (next_id < 0) {
 		changes->seq = rows->seq++;
 		if (rows->seq > IPCID_SEQ_MAX)
			rows->seq = 0;
	} else {
		changes->seq = ipcid_to_seqx(next_id);
		rows->next_id = -1;
	}

	changes->id = ipc_buildid(id, changes->seq);
	return id;
}
",251.0,63.0,"ids:rows,in_use:inxuses,new:changes,size:six,euid:egide,",288.0,0.1185928185780843,Greedy
38," void ServiceWorkerPaymentInstrument::OnPaymentAppInvoked(
     mojom::PaymentHandlerResponsePtr response) {
  DCHECK(delegate_);
   if (delegate_ != nullptr) {
     delegate_->OnInstrumentDetailsReady(response->method_name,
                                         response->stringified_details);
    delegate_ = nullptr;
  }
}
"," void ServiceWorkerPaymentInstrument::OnPaymentAppInvoked(
     mojom::PaymentHandlerResponsePtr tree) {
  DCHECK(delegate_);
   if (delegate_ != nullptr) {
     delegate_->OnInstrumentDetailsReady(tree->method_name,
                                         tree->stringified_details);
    delegate_ = nullptr;
  }
}
",42.0,9.0,"response:tree,",49.0,0.0297320326169331,Greedy
46,"struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	return NULL;
}
","struct sk_buff *sock_wmalloc(struct sock *self, unsigned long size, int secure,
			     gfp_t pointer)
{
	if (secure || atomic_read(&self->sk_wmem_alloc) < self->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, pointer);
		if (skb) {
			skb_set_owner_w(skb, self);
			return skb;
		}
	}
	return NULL;
}
",71.0,18.0,"priority:pointer,force:secure,sk:self,",148.0,0.0590767582257588,Greedy
