Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
9,"static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *cm;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}
","static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *unit)

{

    int i;

    int dc = unit[0];

    const uint8_t *cm;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}
",188.0,45.0,"block:unit,",81.0,0.0256337523460388,Greedy
33,"void stream_start(const char *job_id, BlockDriverState *bs,

                  BlockDriverState *base, const char *backing_file_str,

                  int64_t speed, BlockdevOnError on_error,

                  BlockCompletionFunc *cb, void *opaque, Error **errp)

{

    StreamBlockJob *s;



    s = block_job_create(job_id, &stream_job_driver, bs, speed,

                         cb, opaque, errp);

    if (!s) {

        return;

    }



    s->base = base;

    s->backing_file_str = g_strdup(backing_file_str);



    s->on_error = on_error;

    s->common.co = qemu_coroutine_create(stream_run);

    trace_stream_start(bs, base, s, s->common.co, opaque);

    qemu_coroutine_enter(s->common.co, s);

}
","void stream_start(const char *job_id, BlockDriverState *bs,

                  BlockDriverState *base, const char *backing_file_str,

                  int64_t speed, BlockdevOnError on_error,

                  BlockCompletionFunc *cb, void *opaque, Error **errp)

{

    StreamBlockJob *sg;



    sg = block_job_create(job_id, &stream_job_driver, bs, speed,

                         cb, opaque, errp);

    if (!sg) {

        return;

    }



    sg->base = base;

    sg->backing_file_str = g_strdup(backing_file_str);



    sg->on_error = on_error;

    sg->common.co = qemu_coroutine_create(stream_run);

    trace_stream_start(bs, base, sg, sg->common.co, opaque);

    qemu_coroutine_enter(sg->common.co, sg);

}
",135.0,40.0,"s:sg,",114.0,0.0515534361203511,Greedy
35,"static int omap_gpio_init(SysBusDevice *sbd)

{

    DeviceState *dev = DEVICE(sbd);

    struct omap_gpif_s *s = OMAP1_GPIO(dev);



    if (!s->clk) {

        hw_error(""omap-gpio: clk not connected\n"");

    }

    qdev_init_gpio_in(dev, omap_gpio_set, 16);

    qdev_init_gpio_out(dev, s->omap1.handler, 16);

    sysbus_init_irq(sbd, &s->omap1.irq);

    memory_region_init_io(&s->iomem, OBJECT(s), &omap_gpio_ops, &s->omap1,

                          ""omap.gpio"", 0x1000);

    sysbus_init_mmio(sbd, &s->iomem);

    return 0;

}
","static int omap_gpio_init(SysBusDevice *sbd)

{

    DeviceState *dev = DEVICE(sbd);

    struct omap_gpif_s *aws = OMAP1_GPIO(dev);



    if (!aws->clk) {

        hw_error(""omap-gpio: clk not connected\n"");

    }

    qdev_init_gpio_in(dev, omap_gpio_set, 16);

    qdev_init_gpio_out(dev, aws->omap1.handler, 16);

    sysbus_init_irq(sbd, &aws->omap1.irq);

    memory_region_init_io(&aws->iomem, OBJECT(aws), &omap_gpio_ops, &aws->omap1,

                          ""omap.gpio"", 0x1000);

    sysbus_init_mmio(sbd, &aws->iomem);

    return 0;

}
",118.0,28.0,"s:aws,",76.0,0.0341768383979797,Greedy
41,"int ff_alloc_entries(AVCodecContext *avctx, int count)

{

    int i;



    if (avctx->active_thread_type & FF_THREAD_SLICE)  {

        SliceThreadContext *p = avctx->internal->thread_ctx;

        p->thread_count  = avctx->thread_count;

        p->entries       = av_mallocz_array(count, sizeof(int));



        if (!p->entries) {

            return AVERROR(ENOMEM);

        }



        p->entries_count  = count;

        p->progress_mutex = av_malloc_array(p->thread_count, sizeof(pthread_mutex_t));

        p->progress_cond  = av_malloc_array(p->thread_count, sizeof(pthread_cond_t));



        for (i = 0; i < p->thread_count; i++) {

            pthread_mutex_init(&p->progress_mutex[i], NULL);

            pthread_cond_init(&p->progress_cond[i], NULL);

        }

    }



    return 0;

}
","int ff_alloc_entries(AVCodecContext *raftcontext, int list)

{

    int io;



    if (raftcontext->active_thread_type & FF_THREAD_SLICE)  {

        SliceThreadContext *np = raftcontext->internal->thread_ctx;

        np->thread_count  = raftcontext->thread_count;

        np->entries       = av_mallocz_array(list, sizeof(int));



        if (!np->entries) {

            return AVERROR(ENOMEM);

        }



        np->entries_count  = list;

        np->progress_mutex = av_malloc_array(np->thread_count, sizeof(pthread_mutex_t));

        np->progress_cond  = av_malloc_array(np->thread_count, sizeof(pthread_cond_t));



        for (io = 0; io < np->thread_count; io++) {

            pthread_mutex_init(&np->progress_mutex[io], NULL);

            pthread_cond_init(&np->progress_cond[io], NULL);

        }

    }



    return 0;

}
",156.0,36.0,"p:np,i:io,count:list,avctx:raftcontext,",232.0,0.1058229207992553,Greedy
44,"static void fpu_init (CPUMIPSState *env, const mips_def_t *def)

{

    int i;



    for (i = 0; i < MIPS_FPU_MAX; i++)

        env->fpus[i].fcr0 = def->CP1_fcr0;



    memcpy(&env->active_fpu, &env->fpus[0], sizeof(env->active_fpu));

    if (env->user_mode_only) {

        if (env->CP0_Config1 & (1 << CP0C1_FP))

            env->hflags |= MIPS_HFLAG_FPU;

#ifdef TARGET_MIPS64

        if (env->active_fpu.fcr0 & (1 << FCR0_F64))

            env->hflags |= MIPS_HFLAG_F64;

#endif

    }

}
","static void fpu_init (CPUMIPSState *ass, const mips_def_t *der)

{

    int i;



    for (i = 0; i < MIPS_FPU_MAX; i++)

        ass->fpus[i].fcr0 = der->CP1_fcr0;



    memcpy(&ass->active_fpu, &ass->fpus[0], sizeof(ass->active_fpu));

    if (ass->user_mode_only) {

        if (ass->CP0_Config1 & (1 << CP0C1_FP))

            ass->hflags |= MIPS_HFLAG_FPU;

#ifdef TARGET_MIPS64

        if (ass->active_fpu.fcr0 & (1 << FCR0_F64))

            ass->hflags |= MIPS_HFLAG_F64;

#endif

    }

}
",116.0,25.0,"def:der,env:ass,",133.0,0.0627169609069824,Greedy
61,"void palette8tobgr24(const uint8_t *src, uint8_t *dst, long num_pixels, const uint8_t *palette)

{

	long i;

/*

	writes 1 byte o much and might cause alignment issues on some architectures?

	for(i=0; i<num_pixels; i++)

		((unsigned *)(&dst[i*3])) = ((unsigned *)palette)[ src[i] ];

*/

	for(i=0; i<num_pixels; i++)

	{

		//FIXME slow?

		dst[0]= palette[ src[i]*4+0 ];

		dst[1]= palette[ src[i]*4+1 ];

		dst[2]= palette[ src[i]*4+2 ];

		dst+= 3;

	}

}
","void palette8tobgr24(const uint8_t *src, uint8_t *dst, long num_pipes, const uint8_t *pixelettes)

{

	long i;

/*

	writes 1 byte o much and might cause alignment issues on some architectures?

	for(i=0; i<num_pixels; i++)

		((unsigned *)(&dst[i*3])) = ((unsigned *)palette)[ src[i] ];

*/

	for(i=0; i<num_pipes; i++)

	{

		//FIXME slow?

		dst[0]= pixelettes[ src[i]*4+0 ];

		dst[1]= pixelettes[ src[i]*4+1 ];

		dst[2]= pixelettes[ src[i]*4+2 ];

		dst+= 3;

	}

}
",95.0,23.0,"num_pixels:num_pipes,palette:pixelettes,",110.0,0.0386831680933634,Greedy
70,"static AVStream * init_stream(AVFormatContext *s)

{

    BinDemuxContext *bin = s->priv_data;

    AVStream *st = avformat_new_stream(s, NULL);

    if (!st)

        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }



    avpriv_set_pts_info(st, 60, bin->framerate.den, bin->framerate.num);



    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(st->time_base) * bin->chars_per_frame, 1);



    return st;

}
","static AVStream * init_stream(AVFormatContext *sg)

{

    BinDemuxContext *con = sg->priv_data;

    AVStream *st = avformat_new_stream(sg, NULL);

    if (!st)

        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!con->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }



    avpriv_set_pts_info(st, 60, con->framerate.den, con->framerate.num);



    /* simulate tty display speed */

    con->chars_per_frame = FFMAX(av_q2d(st->time_base) * con->chars_per_frame, 1);



    return st;

}
",129.0,24.0,"bin:con,s:sg,",132.0,0.0443600296974182,Greedy
73,"static void device_initfn(Object *obj)

{

    DeviceState *dev = DEVICE(obj);

    Property *prop;



    if (qdev_hotplug) {

        dev->hotplugged = 1;

        qdev_hot_added = true;

    }



    dev->instance_id_alias = -1;

    dev->state = DEV_STATE_CREATED;



    qdev_prop_set_defaults(dev, qdev_get_props(dev));

    for (prop = qdev_get_props(dev); prop && prop->name; prop++) {

        qdev_property_add_legacy(dev, prop, NULL);

        qdev_property_add_static(dev, prop, NULL);

    }



    object_property_add_str(OBJECT(dev), ""type"", qdev_get_type, NULL, NULL);

}
","static void device_initfn(Object *obj)

{

    DeviceState *dev = DEVICE(obj);

    Property *rop;



    if (qdev_hotplug) {

        dev->hotplugged = 1;

        qdev_hot_added = true;

    }



    dev->instance_id_alias = -1;

    dev->state = DEV_STATE_CREATED;



    qdev_prop_set_defaults(dev, qdev_get_props(dev));

    for (rop = qdev_get_props(dev); rop && rop->name; rop++) {

        qdev_property_add_legacy(dev, rop, NULL);

        qdev_property_add_static(dev, rop, NULL);

    }



    object_property_add_str(OBJECT(dev), ""type"", qdev_get_type, NULL, NULL);

}
",116.0,32.0,"prop:rop,",89.0,0.0296531756718953,Greedy
75,"static void idiv64(uint64_t *plow, uint64_t *phigh, int64_t b)

{

    int sa, sb;

    sa = ((int64_t)*phigh < 0);

    if (sa)

        neg128(plow, phigh);

    sb = (b < 0);

    if (sb)

        b = -b;

    div64(plow, phigh, b);

    if (sa ^ sb)

        *plow = - *plow;

    if (sa)

        *phigh = - *phigh;

}
","static void idiv64(uint64_t *ploom, uint64_t * phigg, int64_t beta)

{

    int sea, sf;

    sea = ((int64_t)* phigg < 0);

    if (sea)

        neg128(ploom,  phigg);

    sf = (beta < 0);

    if (sf)

        beta = -beta;

    div64(ploom,  phigg, beta);

    if (sea ^ sf)

        *ploom = - *ploom;

    if (sea)

        * phigg = - * phigg;

}
",95.0,28.0,"b:beta,sa:sea,phigh: phigg,plow:ploom,sb:sf,",291.0,0.0883970737457275,Greedy
79,"static void scsi_disk_realize(SCSIDevice *dev, Error **errp)

{

    DriveInfo *dinfo;

    Error *local_err = NULL;



    if (!dev->conf.bs) {

        scsi_realize(dev, &local_err);

        assert(local_err);

        error_propagate(errp, local_err);

        return;

    }



    dinfo = drive_get_by_blockdev(dev->conf.bs);

    if (dinfo->media_cd) {

        scsi_cd_realize(dev, errp);

    } else {

        scsi_hd_realize(dev, errp);

    }

}
","static void scsi_disk_realize(SCSIDevice *bug, Error **barr)

{

    DriveInfo * dinf;

    Error *localFer = NULL;



    if (!bug->conf.bs) {

        scsi_realize(bug, &localFer);

        assert(localFer);

        error_propagate(barr, localFer);

        return;

    }



     dinf = drive_get_by_blockdev(bug->conf.bs);

    if ( dinf->media_cd) {

        scsi_cd_realize(bug, barr);

    } else {

        scsi_hd_realize(bug, barr);

    }

}
",94.0,24.0,"local_err:localFer,dinfo: dinf,dev:bug,errp:barr,",198.0,0.0603449940681457,Greedy
