Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
5,"static uint32_t drc_set_unusable(sPAPRDRConnector *drc)

{

    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (drc->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(drc);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        spapr_drc_detach(drc);

    }



    return RTAS_OUT_SUCCESS;

}
","static uint32_t qdict_haskey(sPAPRDRConnector *drc)

{

    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (drc->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(drc);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        move_opt(drc);

    }



    return RTAS_OUT_SUCCESS;

}
",45.0,13.0,"spapr_drc_detach:move_opt,drc_set_unusable:qdict_haskey,",61.0,0.0275911887486775,MHM
9,"static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *cm;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}
","static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *tileno;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    tileno = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = tileno[dest[0]];

        dest[1] = tileno[dest[1]];

        dest[2] = tileno[dest[2]];

        dest[3] = tileno[dest[3]];

        dest[4] = tileno[dest[4]];

        dest[5] = tileno[dest[5]];

        dest[6] = tileno[dest[6]];

        dest[7] = tileno[dest[7]];

        dest += linesize;

    }

}
",188.0,45.0,"cm:tileno,",33.0,0.0119650920232137,MHM
13,"void cpu_x86_init_mmu(CPUX86State *env)

{

    a20_enabled = 1;

    a20_mask = 0xffffffff;



    last_pg_state = -1;

    cpu_x86_update_cr0(env);

}
","void be32_to_cpu(CPUX86State *get_buffer)

{

    out_i = 1;

    color_type = 0xffffffff;



    JOINT_STEREO = -1;

    qemu_coroutine_self(get_buffer);

}
",26.0,7.0,"cpu_x86_init_mmu:be32_to_cpu,env:get_buffer,a20_mask:color_type,a20_enabled:out_i,cpu_x86_update_cr0:qemu_coroutine_self,last_pg_state:JOINT_STEREO,",399.0,0.1708574414253235,MHM
14,"int qemu_cpu_self(void *env)

{

    return 1;

}
","int qemu_cpu_self(void *CHECK_PRIVILEGED)

{

    return 1;

}
",12.0,2.0,"env:CHECK_PRIVILEGED,",33.0,0.0145798762639363,MHM
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    s->nc.link_down = link_down;



    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;

    }



    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    }



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);

    }

}
","static void tcg_gen_xor_tl(VhostUserState *BF, bool machine_arch)

{

    BF->nc.machine_arch = machine_arch;



    if (BF->nc.peer) {

        BF->nc.peer->machine_arch = machine_arch;

    }



    if (BF->nc.info->link_status_changed) {

        BF->nc.info->link_status_changed(&BF->nc);

    }



    if (BF->nc.peer && BF->nc.peer->info->link_status_changed) {

        BF->nc.peer->info->link_status_changed(BF->nc.peer);

    }

}
",104.0,15.0,"s:BF,net_vhost_link_down:tcg_gen_xor_tl,link_down:machine_arch,",367.0,0.1652807037035624,MHM
26,"void st_flush_trace_buffer(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    trace_idx = 0;

}
","void CNT_NEAREST(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    trace_idx = 0;

}
",21.0,4.0,"st_flush_trace_buffer:CNT_NEAREST,",33.0,0.0138561924298604,MHM
30,"static void mem_begin(MemoryListener *listener)

{

    AddressSpaceDispatch *d = container_of(listener, AddressSpaceDispatch, listener);



    d->phys_map.ptr = PHYS_MAP_NODE_NIL;

}
","static void mem_begin(MemoryListener *listener)

{

    cpu_dump_state *d = R_EDX(listener, cpu_dump_state, listener);



    d->phys_map.ptr = new_val;

}
",31.0,9.0,"container_of:R_EDX,PHYS_MAP_NODE_NIL:new_val,AddressSpaceDispatch:cpu_dump_state,",127.0,0.0767441630363464,MHM
31,"static uint32_t tight_palette_buf2rgb(int bpp, const uint8_t *buf)

{

    uint32_t rgb = 0;



    if (bpp == 32) {

        rgb |= ((buf[0] & ~1) | !((buf[4] >> 3) & 1)) << 24;

        rgb |= ((buf[1] & ~1) | !((buf[4] >> 2) & 1)) << 16;

        rgb |= ((buf[2] & ~1) | !((buf[4] >> 1) & 1)) <<  8;

        rgb |= ((buf[3] & ~1) | !((buf[4] >> 0) & 1)) <<  0;

    }

    if (bpp == 16) {

        rgb |= ((buf[0] & ~1) | !((buf[2] >> 1) & 1)) << 8;

        rgb |= ((buf[1] & ~1) | !((buf[2] >> 0) & 1)) << 0;

    }

    return rgb;

}
","static uint32_t devtype(int bpp, const uint8_t *buf)

{

    uint32_t rgb = 0;



    if (bpp == 32) {

        rgb |= ((buf[0] & ~1) | !((buf[4] >> 3) & 1)) << 24;

        rgb |= ((buf[1] & ~1) | !((buf[4] >> 2) & 1)) << 16;

        rgb |= ((buf[2] & ~1) | !((buf[4] >> 1) & 1)) <<  8;

        rgb |= ((buf[3] & ~1) | !((buf[4] >> 0) & 1)) <<  0;

    }

    if (bpp == 16) {

        rgb |= ((buf[0] & ~1) | !((buf[2] >> 1) & 1)) << 8;

        rgb |= ((buf[1] & ~1) | !((buf[2] >> 0) & 1)) << 0;

    }

    return rgb;

}
",218.0,25.0,"tight_palette_buf2rgb:devtype,",33.0,0.0170095046361287,MHM
33,"void stream_start(const char *job_id, BlockDriverState *bs,

                  BlockDriverState *base, const char *backing_file_str,

                  int64_t speed, BlockdevOnError on_error,

                  BlockCompletionFunc *cb, void *opaque, Error **errp)

{

    StreamBlockJob *s;



    s = block_job_create(job_id, &stream_job_driver, bs, speed,

                         cb, opaque, errp);

    if (!s) {

        return;

    }



    s->base = base;

    s->backing_file_str = g_strdup(backing_file_str);



    s->on_error = on_error;

    s->common.co = qemu_coroutine_create(stream_run);

    trace_stream_start(bs, base, s, s->common.co, opaque);

    qemu_coroutine_enter(s->common.co, s);

}
","void stream_start(const char *job_id, BlockDriverState *bs,

                  BlockDriverState *base, const char *backing_file_str,

                  int64_t speed, BlockdevOnError on_error,

                  BlockCompletionFunc *cb, void *opaque, Error **errp)

{

    StreamBlockJob *s;



    s = block_job_create(job_id, &stream_job_driver, bs, speed,

                         cb, opaque, errp);

    if (!s) {

        return;

    }



    s->base = base;

    s->backing_file_str = g_strdup(backing_file_str);



    s->on_error = on_error;

    s->common.co = qemu_coroutine_create(stream_run);

    mixer_store(bs, base, s, s->common.co, opaque);

    qemu_coroutine_enter(s->common.co, s);

}
",135.0,40.0,"trace_stream_start:mixer_store,",33.0,0.0164853970209757,MHM
35,"static int omap_gpio_init(SysBusDevice *sbd)

{

    DeviceState *dev = DEVICE(sbd);

    struct omap_gpif_s *s = OMAP1_GPIO(dev);



    if (!s->clk) {

        hw_error(""omap-gpio: clk not connected\n"");

    }

    qdev_init_gpio_in(dev, omap_gpio_set, 16);

    qdev_init_gpio_out(dev, s->omap1.handler, 16);

    sysbus_init_irq(sbd, &s->omap1.irq);

    memory_region_init_io(&s->iomem, OBJECT(s), &omap_gpio_ops, &s->omap1,

                          ""omap.gpio"", 0x1000);

    sysbus_init_mmio(sbd, &s->iomem);

    return 0;

}
","static int omap_gpio_init(SysBusDevice *sbd)

{

    DeviceState *dev = DEVICE(sbd);

    struct omap_gpif_s *fl_idx = OMAP1_GPIO(dev);



    if (!fl_idx->clk) {

        hw_error(""omap-gpio: clk not connected\n"");

    }

    qdev_init_gpio_in(dev, omap_gpio_set, 16);

    qdev_init_gpio_out(dev, fl_idx->omap1.handler, 16);

    sysbus_init_irq(sbd, &fl_idx->omap1.irq);

    memory_region_init_io(&fl_idx->iomem, OBJECT(fl_idx), &CHECK_CODEC, &fl_idx->omap1,

                          ""omap.gpio"", 0x1000);

    sysbus_init_mmio(sbd, &fl_idx->iomem);

    return 0;

}
",118.0,28.0,"s:fl_idx,omap_gpio_ops:CHECK_CODEC,",63.0,0.0360100944836934,MHM
