Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,,,,,,,,0
2,,,,,,,,0
3,,,,,,,,0
4,,,,,,,,0
5,"void CrosLibrary::TestApi::SetBrightnessLibrary(
    BrightnessLibrary* library, bool own) {
  library_->brightness_lib_.SetImpl(library, own);
}
","void CrosLibrary::TestApi::SetBrightnessLibrary(
    BrightnessLibrary*  Library, bool olean) {
  library_->brightness_lib_.SetImpl( Library, olean);
}
",27.0,6.0,"library: Library,own:olean,",65.0,2.04501040776571,Greedy
6,,,,,,,,0
7,,,,,,,,0
9,,,,,,,,0
11,,,,,,,,0
12,,,,,,,,0
13,,,,,,,,0
14,,,,,,,,0
15,,,,,,,,0
16,"void SyncBackendHost::StartConfiguration(Callback0::Type* callback) {
  core_thread_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, callback));
}","void SyncBackendHost::StartConfiguration(Callback0::Type* metadata) {
  core_thread_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, metadata));
}",42.0,8.0,"callback:metadata,",33.0,1.04978884458542,Greedy
17,,,,,,,,0
18,,,,,,,,0
19,"void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& details) {
  host_->frontend_loop_->PostTask(
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, details));
}
","void SyncBackendHost::Core::RouteJsEvent(
    const std::string& version, const JsEventDetails&  Details) {
  host_->frontend_loop_->PostTask(
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, version,  Details));
}
",44.0,9.0,"name:version,details: Details,",65.0,2.09254507621129,Greedy
22,,,,,,,,0
23,,,,,,,,0
24,,,,,,,,0
26,,,,,,,,0
27,,,,,,,,0
28,,,,,,,,0
29,,,,,,,,0
30,,,,,,,,0
31,,,,,,,,0
32,,,,,,,,0
34,,,,,,,,0
35,,,,,,,,0
36,,,,,,,,0
37,,,,,,,,0
38,,,,,,,,0
39,,,,,,,,0
43,,,,,,,,0
45,,,,,,,,0
46,,,,,,,,0
47,,,,,,,,0
49,,,,,,,,0
51,,,,,,,,0
52,,,,,,,,0
54,,,,,,,,0
55,,,,,,,,0
56,,,,,,,,0
57,,,,,,,,0
58,,,,,,,,0
59,,,,,,,,0
60,,,,,,,,0
61,,,,,,,,0
63,,,,,,,,0
65,,,,,,,,0
69,,,,,,,,0
70,,,,,,,,0
71,"int WebContentsImpl::CreateOpenerRenderViewsForRenderManager(
    SiteInstance* instance) {
  if (!opener_)
    return MSG_ROUTING_NONE;

  return opener_->CreateOpenerRenderViews(instance);
}
","int WebContentsImpl::CreateOpenerRenderViewsForRenderManager(
    SiteInstance* Instance) {
  if (!opener_)
    return MSG_ROUTING_NONE;

  return opener_->CreateOpenerRenderViews(Instance);
}
",27.0,6.0,"instance:Instance,",33.0,0.980940743287404,Greedy
72,,,,,,,,0
75,,,,,,,,0
76,,,,,,,,0
