Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
3,,,,,,,,0
4,,,,,,,,0
7,,,,,,,,0
8,,,,,,,,0
13,"void do_tw (int flags)

{

    if (!likely(!(((int32_t)T0 < (int32_t)T1 && (flags & 0x10)) ||

                  ((int32_t)T0 > (int32_t)T1 && (flags & 0x08)) ||

                  ((int32_t)T0 == (int32_t)T1 && (flags & 0x04)) ||

                  ((uint32_t)T0 < (uint32_t)T1 && (flags & 0x02)) ||

                  ((uint32_t)T0 > (uint32_t)T1 && (flags & 0x01))))) {

        do_raise_exception_err(EXCP_PROGRAM, EXCP_TRAP);

    }

}","void do_tw (int strings)

{

    if (!likely(!(((int32_t)T0 < (int32_t)T1 && (strings & 0x10)) ||

                  ((int32_t)T0 > (int32_t)T1 && (strings & 0x08)) ||

                  ((int32_t)T0 == (int32_t)T1 && (strings & 0x04)) ||

                  ((uint32_t)T0 < (uint32_t)T1 && (strings & 0x02)) ||

                  ((uint32_t)T0 > (uint32_t)T1 && (strings & 0x01))))) {

        do_raise_exception_err(EXCP_PROGRAM, EXCP_TRAP);

    }

}",116.0,21.0,"flags:strings,",37.0,0.976550587018331,Greedy
15,,,,,,,,0
18,,,,,,,,0
20,,,,,,,,0
21,,,,,,,,0
22,,,,,,,,0
23,,,,,,,,0
25,,,,,,,,0
26,"static gboolean udp_chr_read(GIOChannel *chan, GIOCondition cond, void *opaque)

{

    CharDriverState *chr = opaque;

    NetCharDriver *s = chr->opaque;

    gsize bytes_read = 0;

    GIOStatus status;



    if (s->max_size == 0)

        return FALSE;

    status = g_io_channel_read_chars(s->chan, (gchar *)s->buf, sizeof(s->buf),

                                     &bytes_read, NULL);

    s->bufcnt = bytes_read;

    s->bufptr = s->bufcnt;

    if (status != G_IO_STATUS_NORMAL) {

        return FALSE;

    }



    s->bufptr = 0;

    while (s->max_size > 0 && s->bufptr < s->bufcnt) {

        qemu_chr_be_write(chr, &s->buf[s->bufptr], 1);

        s->bufptr++;

        s->max_size = qemu_chr_be_can_write(chr);

    }



    return TRUE;

}","static gboolean udp_chr_read(GIOChannel *proc, GIOCondition  pos, void *ipesc)

{

    CharDriverState * chcr = ipesc;

    NetCharDriver *http =  chcr->ipesc;

    gsize bytes_read = 0;

    GIOStatus step;



    if (http->max_size == 0)

        return FALSE;

    step = g_io_channel_read_chars(http->proc, (gchar *)http->buf, sizeof(http->buf),

                                     &bytes_read, NULL);

    http->bufcnt = bytes_read;

    http->buffpointer = http->bufcnt;

    if (step != G_IO_STATUS_NORMAL) {

        return FALSE;

    }



    http->buffpointer = 0;

    while (http->max_size > 0 && http->buffpointer < http->bufcnt) {

        qemu_chr_be_write( chcr, &http->buf[http->buffpointer], 1);

        http->buffpointer++;

        http->max_size = qemu_chr_be_can_write( chcr);

    }



    return TRUE;

}",162.0,35.0,"status:step,cond: pos,chan:proc,chr: chcr,opaque:ipesc,bufptr:buffpointer,s:http,",242.0,6.12971263329188,Greedy
27,,,,,,,,0
34,"void omap_mcbsp_i2s_attach(struct omap_mcbsp_s *s, I2SCodec *slave)

{

    s->codec = slave;

    slave->rx_swallow = qemu_allocate_irqs(omap_mcbsp_i2s_swallow, s, 1)[0];

    slave->tx_start = qemu_allocate_irqs(omap_mcbsp_i2s_start, s, 1)[0];

}","void omap_mcbsp_i2s_attach(struct omap_mcbsp_s *server, I2SCodec *slave)

{

    server->codec = slave;

    slave->rx_swallow = qemu_allocate_irqs(omap_mcbsp_i2s_swallow, server, 1)[0];

    slave->tx_start = qemu_allocate_irqs(omap_mcbsp_i2s_start, server, 1)[0];

}",52.0,13.0,"s:server,",39.0,1.00741385618846,Greedy
36,,,,,,,,0
40,,,,,,,,0
46,,,,,,,,0
47,,,,,,,,0
49,,,,,,,,0
50,,,,,,,,0
54,,,,,,,,0
56,,,,,,,,0
57,,,,,,,,0
58,,,,,,,,0
59,,,,,,,,0
60,,,,,,,,0
64,,,,,,,,0
66,,,,,,,,0
67,,,,,,,,0
69,,,,,,,,0
71,,,,,,,,0
75,,,,,,,,0
81,,,,,,,,0
84,,,,,,,,0
85,,,,,,,,0
88,,,,,,,,0
90,,,,,,,,0
91,,,,,,,,0
95,"static void vp8_idct_dc_add4uv_c(uint8_t *dst, int16_t block[4][16], ptrdiff_t stride)

{

    vp8_idct_dc_add_c(dst+stride*0+0, block[0], stride);

    vp8_idct_dc_add_c(dst+stride*0+4, block[1], stride);

    vp8_idct_dc_add_c(dst+stride*4+0, block[2], stride);

    vp8_idct_dc_add_c(dst+stride*4+4, block[3], stride);

}","static void vp8_idct_dc_add4uv_c(uint8_t *gst, int16_t end[4][16], ptrdiff_t Strace)

{

    vp8_idct_dc_add_c(gst+Strace*0+0, end[0], Strace);

    vp8_idct_dc_add_c(gst+Strace*0+4, end[1], Strace);

    vp8_idct_dc_add_c(gst+Strace*4+0, end[2], Strace);

    vp8_idct_dc_add_c(gst+Strace*4+4, end[3], Strace);

}",94.0,24.0,"dst:gst,block:end,stride:Strace,",110.0,2.67202919324239,Greedy
