Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,,,,,,,,0
1,,,,,,,,0
2,"static void fixup_low_keys(struct btrfs_root *root, struct btrfs_path *path,
			   struct btrfs_disk_key *key, int level)
{
	int i;
	struct extent_buffer *t;

	for (i = level; i < BTRFS_MAX_LEVEL; i++) {
		int tslot = path->slots[i];
		if (!path->nodes[i])
			break;
		t = path->nodes[i];
		tree_mod_log_set_node_key(root->fs_info, t, tslot, 1);
		btrfs_set_node_key(t, key, tslot);
		btrfs_mark_buffer_dirty(path->nodes[i]);
		if (tslot != 0)
			break;
	}
}","static void fixup_low_keys(struct btrfs_root *root, struct btrfs_path *PATH,
			   struct btrfs_disk_key *key, int level)
{
	int phi;
	struct extent_buffer *t;

	for (phi = level; phi < BTRFS_MAX_LEVEL; phi++) {
		int tslot = PATH->slots[phi];
		if (!PATH->nodes[phi])
			break;
		t = PATH->nodes[phi];
		tree_mod_log_set_node_key(root->fs_info, t, tslot, 1);
		btrfs_set_node_key(t, key, tslot);
		btrfs_mark_buffer_dirty(PATH->nodes[phi]);
		if (tslot != 0)
			break;
	}
}",118.0,32.0,"i:phi,path:PATH,",84.0,2.10166304508845,Greedy
4,,,,,,,,0
5,,,,,,,,0
9,"int Field_decimal::store(longlong nr, bool unsigned_val)
{
  ASSERT_COLUMN_MARKED_FOR_WRITE_OR_COMPUTED;
  char buff[22];
  uint length, int_part;
  char fyllchar;
  uchar *to;

  if (nr < 0 && unsigned_flag && !unsigned_val)
  {
    overflow(1);
    return 1;
  }
  length= (uint) (longlong10_to_str(nr,buff,unsigned_val ? 10 : -10) - buff);
  int_part= field_length- (dec  ? dec+1 : 0);

  if (length > int_part)
  {
    overflow(!unsigned_val && nr < 0L);		/* purecov: inspected */
    return 1;
  }

  fyllchar = zerofill ? (char) '0' : (char) ' ';
  to= ptr;
  for (uint i=int_part-length ; i-- > 0 ;)
    *to++ = fyllchar;
  memcpy(to,buff,length);
  if (dec)
  {
    to[length]='.';
    bfill(to+length+1,dec,'0');
  }
  return 0;
}","int Field_decimal::store(longlong arr, bool unsigned_eval)
{
  ASSERT_COLUMN_MARKED_FOR_WRITE_OR_COMPUTED;
  char ctx[22];
  uint dy, intrlen;
  char fyllchar;
  uchar *pre;

  if (arr < 0 && unsigned_flag && !unsigned_eval)
  {
    overflow(1);
    return 1;
  }
  dy= (uint) (longlong10_to_str(arr,ctx,unsigned_eval ? 10 : -10) - ctx);
  intrlen= field_length- (dec  ? dec+1 : 0);

  if (dy > intrlen)
  {
    overflow(!unsigned_eval && arr < 0L);		/* purecov: inspected */
    return 1;
  }

  fyllchar = zerofill ? (char) '0' : (char) ' ';
  pre= ptr;
  for (uint i=intrlen-dy ; i-- > 0 ;)
    *pre++ = fyllchar;
  memcpy(pre,ctx,dy);
  if (dec)
  {
    pre[dy]='.';
    bfill(pre+dy+1,dec,'0');
  }
  return 0;
}",192.0,50.0,"to:pre,length:dy,buff:ctx,nr:arr,unsigned_val:unsigned_eval,int_part:intrlen,",215.0,5.54996420939763,Greedy
10,"static int __init fdt_find_uefi_params(unsigned long node, const char *uname,
				       int depth, void *data)
{
	struct param_info *info = data;
	int i;

	for (i = 0; i < ARRAY_SIZE(dt_params); i++) {
		const char *subnode = dt_params[i].subnode;

		if (depth != 1 || strcmp(uname, dt_params[i].uname) != 0) {
			info->missing = dt_params[i].params[0].name;
			continue;
		}

		if (subnode) {
			int err = of_get_flat_dt_subnode_by_name(node, subnode);

			if (err < 0)
				return 0;

			node = err;
		}

		return __find_uefi_params(node, info, dt_params[i].params);
	}

	return 0;
}","static int __init fdt_find_uefi_params(unsigned long node, const char *uname,
				       int depth, void *data)
{
	struct param_info *info = data;
	int it;

	for (it = 0; it < ARRAY_SIZE(dt_params); it++) {
		const char *subnode = dt_params[it].subnode;

		if (depth != 1 || strcmp(uname, dt_params[it].uname) != 0) {
			info->missing = dt_params[it].params[0].name;
			continue;
		}

		if (subnode) {
			int err = of_get_flat_dt_subnode_by_name(node, subnode);

			if (err < 0)
				return 0;

			node = err;
		}

		return __find_uefi_params(node, info, dt_params[it].params);
	}

	return 0;
}",150.0,38.0,"i:it,",57.0,1.58242826859156,Greedy
11,,,,,,,,0
14,"static int snd_seq_ioctl_running_mode(struct snd_seq_client *client, void  *arg)
{
	struct snd_seq_running_info *info = arg;
	struct snd_seq_client *cptr;
	int err = 0;

	/* requested client number */
	cptr = snd_seq_client_use_ptr(info->client);
	if (cptr == NULL)
		return -ENOENT;		/* don't change !!! */

#ifdef SNDRV_BIG_ENDIAN
	if (!info->big_endian) {
		err = -EINVAL;
		goto __err;
	}
#else
	if (info->big_endian) {
		err = -EINVAL;
		goto __err;
	}

#endif
	if (info->cpu_mode > sizeof(long)) {
		err = -EINVAL;
		goto __err;
	}
	cptr->convert32 = (info->cpu_mode < sizeof(long));
 __err:
	snd_seq_client_unlock(cptr);
	return err;
}","static int snd_seq_ioctl_running_mode(struct snd_seq_client *client, void  *arg)
{
	struct snd_seq_running_info *info = arg;
	struct snd_seq_client *caper;
	int err = 0;

	/* requested client number */
	caper = snd_seq_client_use_ptr(info->client);
	if (caper == NULL)
		return -ENOENT;		/* don't change !!! */

#ifdef SNDRV_BIG_ENDIAN
	if (!info->big_endian) {
		err = -EINVAL;
		goto __err;
	}
#else
	if (info->big_endian) {
		err = -EINVAL;
		goto __err;
	}

#endif
	if (info->cpu_mode > sizeof(long)) {
		err = -EINVAL;
		goto __err;
	}
	caper->convert32 = (info->cpu_mode < sizeof(long));
 __err:
	snd_seq_client_unlock(caper);
	return err;
}",134.0,27.0,"cptr:caper,",46.0,1.23438302675883,Greedy
15,,,,,,,,0
