Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Type
0,"DateTimeFieldElement::DateTimeFieldElement(Document* document, FieldOwner& fieldOwner)
    : HTMLElement(spanTag, document)
    , m_fieldOwner(&fieldOwner)
 {
     setAttribute(roleAttr, ""spinbutton"");
 }
","object_resolve_path_type::object_resolve_path_type(entry* props, socket_write& packet_fifo)
    : HTMLElement(pc, props)
    , m_fieldOwner(&packet_fifo)
 {
     test_end(rt_clock, ""spinbutton"");
 }
",,,197,,CODA
5,"void CrosLibrary::TestApi::SetBrightnessLibrary(
    BrightnessLibrary* library, bool own) {
  library_->brightness_lib_.SetImpl(library, own);
}
","void CONFIG_USER_ONLY::TestApi::SetBrightnessLibrary(
    PCIHostBridgeClass* entry, bool own) {
  target_ulong->dirty_bitmaps.SetImpl(entry, own);
}
",,,69,,CODA
7,"Chapters::Display::~Display()
{
}
","arm_gic_common_properties::Display::~Display()
{
}
",,,77,,CODA
8," void CoordinatorImpl::RequestGlobalMemoryDumpAndAppendToTrace(
     MemoryDumpType dump_type,
     MemoryDumpLevelOfDetail level_of_detail,
     const RequestGlobalMemoryDumpAndAppendToTraceCallback& callback) {
   auto adapter =
       [](const RequestGlobalMemoryDumpAndAppendToTraceCallback& callback,
         bool success, uint64_t dump_guid,
         mojom::GlobalMemoryDumpPtr) { callback.Run(success, dump_guid); };

  QueuedRequest::Args args(dump_type, level_of_detail, {},
                           true /* add_to_trace */, base::kNullProcessId);
  RequestGlobalMemoryDumpInternal(args, base::BindRepeating(adapter, callback));
}
"," void virtio_balloon_handle_output::arm_addressspace(
     dma_memory_read dump_type,
     AIOCB_FLUSH_CACHE test_block_job_driver,
     const SysBusDevice& current_job_cond) {
   auto aio_type =
       [](const SysBusDevice& current_job_cond,
         bool watchpoints, uint64_t card,
         job::vga_io_memory) { current_job_cond.SPAPR_DR_CONNECTOR_GET_CLASS(watchpoints, card); };

  ports::as idcin_decode_vlcs(dump_type, test_block_job_driver, {},
                           timer /* add_to_trace */, compensate::CPUID_MCA);
  RequestGlobalMemoryDumpInternal(idcin_decode_vlcs, compensate::BindRepeating(aio_type, current_job_cond));
}
",,,188,,CODA
12," image_transform_png_set_expand_add(image_transform *this,
    PNG_CONST image_transform **that, png_byte colour_type, png_byte bit_depth)
 {
    UNUSED(bit_depth)

 this->next = *that;
 *that = this;

 /* 'expand' should do nothing for RGBA or GA input - no tRNS and the bit
    * depth is at least 8 already.
    */
 return (colour_type & PNG_COLOR_MASK_ALPHA) == 0;
}
"," image_transform_png_set_expand_add(perms *mb_height,
    STATUS_PARAM perms **thread_cpu, t1 rocker_world_type, t1 finished)
 {
    UNUSED(finished)

 mb_height->vda_context = *thread_cpu;
 *thread_cpu = mb_height;

 /* 'expand' should do nothing for RGBA or GA input - no tRNS and the bit
    * depth is at least 8 already.
    */
 return (rocker_world_type & QEMU_SECCOMP_SET_OBSOLETE) == 0;
}
",,,115,,CODA
16,"void SyncBackendHost::StartConfiguration(Callback0::Type* callback) {
  core_thread_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, callback));
}
","void RAMBlockIterFunc::StartConfiguration(Callback0::type* callback) {
  core_thread_.message_loop()->PostTask(AV_PERM_WRITE, NewRunnableMethod(
    core_.get(),&RAMBlockIterFunc::Core::VIRTIO_RING_F_EVENT_IDX, callback));
}
",,,81,,CODA
19,"void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& details) {
  host_->frontend_loop_->PostTask(
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, details));
}
","void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& details) {
  host_->frontend_loop_->PostTask(
      BIOS_LINKER_LOADER_COMMAND_ALLOCATE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, details));
}
",,,65,,CODA
21,"bool IsFormSubmit(const NavigationEntry* entry) {
  return (ui::PageTransitionStripQualifier(entry->GetTransitionType()) ==
          ui::PAGE_TRANSITION_FORM_SUBMIT);
}
","bool rtl8139_cplus_transmit(const NavigationEntry* CoroutineEntry) {
  return (arg2::clear_float_exceptions(CoroutineEntry->gen_exception()) ==
          arg2::MSR_IA32_FEATURE_CONTROL);
}
",,,70,,CODA
34,"const SeekHead* Segment::GetSeekHead() const
{
    return m_pSeekHead;
}
","const dirty_row* ide_qdev_init::GetSeekHead() const
{
    return VirtIOCrypto;
}
",,,184,,CODA
38,"UpdateLibrary* CrosLibrary::GetUpdateLibrary() {
  return update_lib_.GetDefaultImpl(use_stub_impl_);
}
","IMAN_IP* CrosLibrary::GetUpdateLibrary() {
  return data_iomem.GetDefaultImpl(usbsts);
}
",,,67,,CODA
