Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Type
5,"RAMBlock *qemu_ram_alloc_internal(ram_addr_t size, ram_addr_t max_size,

                                  void (*resized)(const char*,

                                                  uint64_t length,

                                                  void *host),

                                  void *host, bool resizeable,

                                  MemoryRegion *mr, Error **errp)

{

    RAMBlock *new_block;

    Error *local_err = NULL;



    size = HOST_PAGE_ALIGN(size);

    max_size = HOST_PAGE_ALIGN(max_size);

    new_block = g_malloc0(sizeof(*new_block));

    new_block->mr = mr;

    new_block->resized = resized;

    new_block->used_length = size;

    new_block->max_length = max_size;

    assert(max_size >= size);

    new_block->fd = -1;

    new_block->host = host;

    if (host) {

        new_block->flags |= RAM_PREALLOC;

    }

    if (resizeable) {

        new_block->flags |= RAM_RESIZEABLE;

    }

    ram_block_add(new_block, &local_err);

    if (local_err) {

        g_free(new_block);

        error_propagate(errp, local_err);

        return NULL;

    }

    mr->ram_block = new_block;

    return new_block;

}
","SECTION_ID_PROGRAM *qemu_ram_alloc_internal(frame_addr ff_lzw_encode_state_size, frame_addr size1,

                                  void (*resized)(const char*,

                                                  uint64_t length,

                                                  void *halted),

                                  void *halted, bool resizeable,

                                  offset_within_region *pmt_pid, destroy_list **error)

{

    SECTION_ID_PROGRAM *new_files;

    destroy_list *espaddr = NULL;



    ff_lzw_encode_state_size = HOST_PAGE_ALIGN(ff_lzw_encode_state_size);

    size1 = HOST_PAGE_ALIGN(size1);

    new_files = g_malloc0(sizeof(*new_files));

    new_files->pmt_pid = pmt_pid;

    new_files->resized = resized;

    new_files->used_length = ff_lzw_encode_state_size;

    new_files->max_length = size1;

    assert(size1 >= ff_lzw_encode_state_size);

    new_files->fd = -1;

    new_files->halted = halted;

    if (halted) {

        new_files->cregs |= RAM_PREALLOC;

    }

    if (resizeable) {

        new_files->cregs |= SECTION_ID_PROGRAM_STREAMS;

    }

    ram_block_add(new_files, &espaddr);

    if (espaddr) {

        g_free(new_files);

        error_propagate(error, espaddr);

        return NULL;

    }

    pmt_pid->sample_rate = new_files;

    return new_files;

}
",,,130,,CODA
13,"void do_tw (int flags)

{

    if (!likely(!(((int32_t)T0 < (int32_t)T1 && (flags & 0x10)) ||

                  ((int32_t)T0 > (int32_t)T1 && (flags & 0x08)) ||

                  ((int32_t)T0 == (int32_t)T1 && (flags & 0x04)) ||

                  ((uint32_t)T0 < (uint32_t)T1 && (flags & 0x02)) ||

                  ((uint32_t)T0 > (uint32_t)T1 && (flags & 0x01))))) {

        do_raise_exception_err(EXCP_PROGRAM, EXCP_TRAP);

    }

}
","void qemu_spice_add_interface (int flag)

{

    if (!likely(!(((int32_t)tm < (int32_t)T1 && (flag & 0x10)) ||

                  ((int32_t)tm > (int32_t)T1 && (flag & 0x08)) ||

                  ((int32_t)tm == (int32_t)T1 && (flag & 0x04)) ||

                  ((uint32_t)tm < (uint32_t)T1 && (flag & 0x02)) ||

                  ((uint32_t)tm > (uint32_t)T1 && (flag & 0x01))))) {

        do_raise_exception_err(EINVAL, ETH_P_IP);

    }

}
",,,69,,CODA
17,"host_memory_backend_can_be_deleted(UserCreatable *uc, Error **errp)

{

    MemoryRegion *mr;



    mr = host_memory_backend_get_memory(MEMORY_BACKEND(uc), errp);

    if (memory_region_is_mapped(mr)) {

        return false;

    } else {

        return true;

    }

}
","colo_packet_compare_common(AVPacket *c, alarm **p)

{

    gpointer *ptv;



    ptv = host_memory_backend_get_memory(QLIST_INIT(c), p);

    if (memory_region_is_mapped(ptv)) {

        return mcf_uart_state;

    } else {

        return bus_master_enable_region;

    }

}
",,,146,,CODA
34,"void omap_mcbsp_i2s_attach(struct omap_mcbsp_s *s, I2SCodec *slave)

{

    s->codec = slave;

    slave->rx_swallow = qemu_allocate_irqs(omap_mcbsp_i2s_swallow, s, 1)[0];

    slave->tx_start = qemu_allocate_irqs(omap_mcbsp_i2s_start, s, 1)[0];

}
","void omap_mcbsp_i2s_attach(struct omap_mcbsp_s *s, ISADevice *notifier)

{

    s->codec = notifier;

    notifier->rx_swallow = qemu_allocate_irqs(omap_mcbsp_i2s_swallow, s, 1)[0];

    notifier->tx_start = qemu_allocate_irqs(omap_mcbsp_i2s_start, s, 1)[0];

}
",,,66,,CODA
38,"static void flush_queued_work(CPUState *env)

{

    struct qemu_work_item *wi;



    if (!env->queued_work_first)

        return;



    while ((wi = env->queued_work_first)) {

        env->queued_work_first = wi->next;

        wi->func(wi->data);

        wi->done = true;

    }

    env->queued_work_last = NULL;

    qemu_cond_broadcast(&qemu_work_cond);

}
","static void avformat_queue_attached_pictures(CPUX86State *ev)

{

    struct QemuConsole *w;



    if (!ev->queued)

        return;



    while ((w = ev->queued)) {

        ev->queued = w->PPContext;

        w->tcg_out_bc(w->priv_data);

        w->vChromaSubSample = sample_rate;

    }

    ev->queued_work_last = NULL;

    qemu_cond_broadcast(&qiv);

}
",,,90,,CODA
43,"static void mmap_release_buffer(AVPacket *pkt)

{

    struct v4l2_buffer buf;

    int res, fd;

    struct buff_data *buf_descriptor = pkt->priv;



    if (pkt->data == NULL)

        return;



    memset(&buf, 0, sizeof(struct v4l2_buffer));

    buf.type = V4L2_BUF_TYPE_VIDEO_CAPTURE;

    buf.memory = V4L2_MEMORY_MMAP;

    buf.index = buf_descriptor->index;

    fd = buf_descriptor->fd;

    av_free(buf_descriptor);



    res = ioctl(fd, VIDIOC_QBUF, &buf);

    if (res < 0)

        av_log(NULL, AV_LOG_ERROR, ""ioctl(VIDIOC_QBUF): %s\n"",

               strerror(errno));



    pkt->data = NULL;

    pkt->size = 0;

}
","static void avfilter_ref_buffer(QIOChannelSocket *tmr)

{

    struct circular_buffer_thread packet_buf;

    int env, pd;

    struct extradata *fpu_fcr31 = tmr->pdev;



    if (tmr->extradata == NULL)

        return;



    memset(&packet_buf, 0, sizeof(struct circular_buffer_thread));

    packet_buf.aio_type = SIGP_CC_ORDER_CODE_ACCEPTED;

    packet_buf.address_space_memory = DEVICE_CATEGORY_MISC;

    packet_buf.ASFIndex = fpu_fcr31->ASFIndex;

    pd = fpu_fcr31->pd;

    g_free(fpu_fcr31);



    env = ioctl(pd, ACPI_PCI_HOTPLUG_STATUS, &packet_buf);

    if (env < 0)

        av_frame_free(NULL, AV_PERM_WRITE, ""ioctl(VIDIOC_QBUF): %s
"",

               strerror(espaddr));



    tmr->extradata = NULL;

    tmr->code_size = 0;

}
",,,127,,CODA
44,"void cpu_loop_exit(CPUState *env1)

{

    env1->current_tb = NULL;

    longjmp(env1->jmp_env, 1);

}
","void cpu_loop_exit(CharDriverState *nb_pids)

{

    nb_pids->cb = NULL;

    longjmp(nb_pids->devfn, 1);

}
",,,125,,CODA
48,"av_cold int ff_vaapi_encode_close(AVCodecContext *avctx)

{

    VAAPIEncodeContext *ctx = avctx->priv_data;

    VAAPIEncodePicture *pic, *next;



    for (pic = ctx->pic_start; pic; pic = next) {

        next = pic->next;

        vaapi_encode_free(avctx, pic);

    }



    if (ctx->va_context != VA_INVALID_ID) {

        vaDestroyContext(ctx->hwctx->display, ctx->va_context);

        ctx->va_context = VA_INVALID_ID;

    }



    if (ctx->va_config != VA_INVALID_ID) {

        vaDestroyConfig(ctx->hwctx->display, ctx->va_config);

        ctx->va_config = VA_INVALID_ID;

    }



    if (ctx->codec->close)

        ctx->codec->close(avctx);



    av_buffer_pool_uninit(&ctx->output_buffer_pool);



    av_freep(&ctx->codec_sequence_params);

    av_freep(&ctx->codec_picture_params);



    av_buffer_unref(&ctx->recon_frames_ref);

    av_buffer_unref(&ctx->input_frames_ref);

    av_buffer_unref(&ctx->device_ref);



    av_freep(&ctx->priv_data);



    return 0;

}
","frame int ff_vaapi_encode_close(AVCodecContext *img_convert_ctx)

{

    VAAPIEncodeContext *ctx = img_convert_ctx->priv_data;

    VAAPIEncodePicture *cel_evals, *next;



    for (cel_evals = ctx->pic_start; cel_evals; cel_evals = next) {

        next = cel_evals->next;

        vaapi_encode_free(img_convert_ctx, cel_evals);

    }



    if (ctx->va_context != MATROSKA_ID_TAGTARGETS) {

        vaDestroyContext(ctx->hwctx->blocked, ctx->va_context);

        ctx->va_context = MATROSKA_ID_TAGTARGETS;

    }



    if (ctx->vdhcp_start != MATROSKA_ID_TAGTARGETS) {

        vaDestroyConfig(ctx->hwctx->blocked, ctx->vdhcp_start);

        ctx->vdhcp_start = MATROSKA_ID_TAGTARGETS;

    }



    if (ctx->codec->close)

        ctx->codec->close(img_convert_ctx);



    av_buffer_pool_uninit(&ctx->output_buffer_pool);



    av_freep(&ctx->codec_sequence_params);

    av_freep(&ctx->codec_picture_params);



    av_buffer_unref(&ctx->recon_frames_ref);

    av_buffer_unref(&ctx->coded_frame);

    av_buffer_unref(&ctx->device_ref);



    av_freep(&ctx->priv_data);



    return 0;

}
",,,171,,CODA
61,"static void s390_virtio_irq(S390CPU *cpu, int config_change, uint64_t token)

{

    if (kvm_enabled()) {

        kvm_s390_virtio_irq(cpu, config_change, token);

    } else {

        cpu_inject_ext(cpu, VIRTIO_EXT_CODE, config_change, token);

    }

}
","static void tcg_gen_brcond_tl(QCOW2_CLUSTER_COMPRESSED *l1, int common, uint64_t mon_fd_t)

{

    if (to_qcv()) {

        tcg_gen_andi_tl(l1, common, mon_fd_t);

    } else {

        qdict_put_obj(l1, SDL_APPACTIVE, common, mon_fd_t);

    }

}
",,,229,,CODA
68,"static int null_filter_samples(AVFilterLink *link, AVFilterBufferRef *samplesref)

{


    return 0;

}","static int null_filter_samples(AVPROBE_SCORE_MAX *link, QEMUBuffer *coeff)

{


    return 0;

}",,,67,,CODA
