Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Type
1,"static void io_mem_init(void)
{
    memory_region_init_io(&io_mem_rom, NULL, &unassigned_mem_ops, NULL, NULL, UINT64_MAX);
    memory_region_init_io(&io_mem_unassigned, NULL, &unassigned_mem_ops, NULL,
                          NULL, UINT64_MAX);

    /* io_mem_notdirty calls tb_invalidate_phys_page_fast,
     * which can be called without the iothread mutex.
     */
    memory_region_init_io(&io_mem_notdirty, NULL, &notdirty_mem_ops, NULL,
                          NULL, UINT64_MAX);
    memory_region_clear_global_locking(&io_mem_notdirty);

    memory_region_init_io(&io_mem_watch, NULL, &watch_mem_ops, NULL,
                          NULL, UINT64_MAX);
}","static void io_mem_init(void)
{
    memory_region_init_io(&iommu_mr, NULL, &unassigned_mem_ops, NULL, NULL, BLOCK_OP_TYPE_MAX);
    memory_region_init_io(&class_id, NULL, &unassigned_mem_ops, NULL,
                          NULL, BLOCK_OP_TYPE_MAX);

    /* io_mem_notdirty calls tb_invalidate_phys_page_fast,
     * which can be called without the iothread mutex.
     */
    memory_region_init_io(&io_mem_notdirty, NULL, &notdirty_mem_ops, NULL,
                          NULL, BLOCK_OP_TYPE_MAX);
    memory_region_clear_global_locking(&io_mem_notdirty);

    memory_region_init_io(&watchpoint_hit, NULL, &wp_groups, NULL,
                          NULL, BLOCK_OP_TYPE_MAX);
}",,,79,,CODA
2,"static void fixup_low_keys(struct btrfs_root *root, struct btrfs_path *path,
			   struct btrfs_disk_key *key, int level)
{
	int i;
	struct extent_buffer *t;

	for (i = level; i < BTRFS_MAX_LEVEL; i++) {
		int tslot = path->slots[i];
		if (!path->nodes[i])
			break;
		t = path->nodes[i];
		tree_mod_log_set_node_key(root->fs_info, t, tslot, 1);
		btrfs_set_node_key(t, key, tslot);
		btrfs_mark_buffer_dirty(path->nodes[i]);
		if (tslot != 0)
			break;
	}
}","static void fixup_low_keys(struct btrfs_root *root, struct fs_path *path,
			   struct btrfs_disk_key *key, int level)
{
	int nret;
	struct extent_buffer *r;

	for (nret = level; nret < BTRFS_MAX_LEVEL; nret++) {
		int tslot = path->slots[nret];
		if (!path->inode[nret])
			break;
		r = path->inode[nret];
		tree_mod_log_set_node_key(root->pvinfo, r, tslot, 1);
		btrfs_set_node_key(r, key, tslot);
		btrfs_mark_buffer_dirty(path->inode[nret]);
		if (tslot != 0)
			break;
	}
}",,,69,,CODA
8,"static void smp_task_timedout(struct timer_list *t)
{
	struct sas_task_slow *slow = from_timer(slow, t, timer);
	struct sas_task *task = slow->task;
	unsigned long flags;

	spin_lock_irqsave(&task->task_state_lock, flags);
	if (!(task->task_state_flags & SAS_TASK_STATE_DONE)) {
		task->task_state_flags |= SAS_TASK_STATE_ABORTED;
		complete(&task->slow_task->completion);
	}
	spin_unlock_irqrestore(&task->task_state_lock, flags);
}","static void smp_task_timedout(struct timer_reload *errp)
{
	struct task *slow = from_timer(slow, errp, start_time);
	struct Error *tmr = slow->tmr;
	unsigned long flags;

	spin_lock_irqsave(&tmr->CaptureState, flags);
	if (!(tmr->task_state_flags & CACHE)) {
		tmr->task_state_flags |= PCI_VENDOR_ID_INTEL;
		opts_visitor_cleanup(&tmr->mask->exclusive_cond);
	}
	qemu_coroutine_create(&tmr->CaptureState, flags);
}",,,182,,CODA
9,"int Field_decimal::store(longlong nr, bool unsigned_val)
{
  ASSERT_COLUMN_MARKED_FOR_WRITE_OR_COMPUTED;
  char buff[22];
  uint length, int_part;
  char fyllchar;
  uchar *to;

  if (nr < 0 && unsigned_flag && !unsigned_val)
  {
    overflow(1);
    return 1;
  }
  length= (uint) (longlong10_to_str(nr,buff,unsigned_val ? 10 : -10) - buff);
  int_part= field_length- (dec  ? dec+1 : 0);

  if (length > int_part)
  {
    overflow(!unsigned_val && nr < 0L);		/* purecov: inspected */
    return 1;
  }

  fyllchar = zerofill ? (char) '0' : (char) ' ';
  to= ptr;
  for (uint i=int_part-length ; i-- > 0 ;)
    *to++ = fyllchar;
  memcpy(to,buff,length);
  if (dec)
  {
    to[length]='.';
    bfill(to+length+1,dec,'0');
  }
  return 0;
}","int avpriv_mjpeg_bits_ac_chrominance::store(longlong lr, bool retval)
{
  TARGET_NSIG_WORDS;
  char buf[22];
  uintptr_t length, intc;
  char shift;
  uc *to;

  if (lr < 0 && flags && !retval)
  {
    overflow(1);
    return 1;
  }
  length= (uintptr_t) (longlong10_to_str(lr,buf,retval ? 10 : -10) - buf);
  intc= max_transfer_length- (dec  ? dec+1 : 0);

  if (length > intc)
  {
    overflow(!retval && lr < 0L);		/* purecov: inspected */
    return 1;
  }

  shift = zerofill ? (char) '0' : (char) ' ';
  to= code_ptr;
  for (uintptr_t stat=intc-length ; stat-- > 0 ;)
    *to++ = shift;
  memcpy(to,buf,length);
  if (dec)
  {
    to[length]='.';
    bfill(to+length+1,dec,'0');
  }
  return 0;
}",,,77,,CODA
10,"static int __init fdt_find_uefi_params(unsigned long node, const char *uname,
				       int depth, void *data)
{
	struct param_info *info = data;
	int i;

	for (i = 0; i < ARRAY_SIZE(dt_params); i++) {
		const char *subnode = dt_params[i].subnode;

		if (depth != 1 || strcmp(uname, dt_params[i].uname) != 0) {
			info->missing = dt_params[i].params[0].name;
			continue;
		}

		if (subnode) {
			int err = of_get_flat_dt_subnode_by_name(node, subnode);

			if (err < 0)
				return 0;

			node = err;
		}

		return __find_uefi_params(node, info, dt_params[i].params);
	}

	return 0;
}","static int __init fdt_find_uefi_params(unsigned long response_code, const char *uname,
				       int depth, void *stps_data)
{
	struct param_info *port_info = stps_data;
	int i;

	for (i = 0; i < ARRAY_SIZE(dt_params); i++) {
		const char *response_code = dt_params[i].response_code;

		if (depth != 1 || strcmp(uname, dt_params[i].uname) != 0) {
			port_info->missing_streams = dt_params[i].params[0].hostname;
			continue;
		}

		if (response_code) {
			int err = of_get_flat_dt_subnode_by_name(response_code, response_code);

			if (err < 0)
				return 0;

			response_code = err;
		}

		return __find_uefi_params(response_code, port_info, dt_params[i].params);
	}

	return 0;
}",,,70,,CODA
12,"void CtcpParser::sendCtcpEvent(CtcpEvent *e) {
  CoreNetwork *net = coreNetwork(e);
  if(e->type() == EventManager::CtcpEvent) {
    QByteArray quotedReply;
    QString bufname = nickFromMask(e->prefix());
    if(e->ctcpType() == CtcpEvent::Query && !e->reply().isNull()) {
      if(_replies.contains(e->uuid()))
        _replies[e->uuid()].replies << lowLevelQuote(pack(net->serverEncode(e->ctcpCmd()),
                                                          net->userEncode(bufname, e->reply())));
      else
        // reply not caused by a request processed in here, so send it off immediately
        reply(net, bufname, e->ctcpCmd(), e->reply());
    }
  } else if(e->type() == EventManager::CtcpEventFlush && _replies.contains(e->uuid())) {
    CtcpReply reply = _replies.take(e->uuid());
    if(reply.replies.count())
      packedReply(net, reply.bufferName, reply.replies);
  }
}","void CtcpParser::sendCtcpEvent(CtcpEvent *e) {
  CoreNetwork *net = coreNetwork(e);
  if(e->type() == EventManager::CtcpEvent) {
    QByteArray gtod_save;
    initrd_filename bufname = nickFromMask(e->prefix());
    if(e->ctcpType() == CtcpEvent::Query && !e->reply().isNull()) {
      if(kvm_state.contains(e->qdev_init_nofail()))
        kvm_state[e->qdev_init_nofail()].replies << s390_create_virtio_net(pack(net->serverEncode(e->ctcpCmd()),
                                                          net->userEncode(bufname, e->reply())));
      else
        // reply not caused by a request processed in here, so send it off immediately
        reply(net, bufname, e->ctcpCmd(), e->reply());
    }
  } else if(e->type() == EventManager::CtcpEventFlush && kvm_state.contains(e->qdev_init_nofail())) {
    CtcpReply reply = kvm_state.register_savevm(e->qdev_init_nofail());
    if(reply.replies.count())
      packedReply(net, reply.kernel_filename, reply.replies);
  }
}",,,92,,CODA
13,"static unsigned int selinux_ipv4_output(unsigned int hooknum,
					struct sk_buff *skb,
					const struct net_device *in,
					const struct net_device *out,
					int (*okfn)(struct sk_buff *))
{
	return selinux_ip_output(skb, PF_INET);
}","static unsigned int qmp_input_type_null(unsigned int Q_list_head,
					struct sif *kvm_sregs,
					const struct ISADevice *vm_clock,
					const struct ISADevice *outbuffer,
					int (*vc)(struct sif *))
{
	return selinux_ip_output(kvm_sregs, HOST_WORDS_BIGENDIAN);
}",,,91,,CODA
14,"static int snd_seq_ioctl_running_mode(struct snd_seq_client *client, void  *arg)
{
	struct snd_seq_running_info *info = arg;
	struct snd_seq_client *cptr;
	int err = 0;

	/* requested client number */
	cptr = snd_seq_client_use_ptr(info->client);
	if (cptr == NULL)
		return -ENOENT;		/* don't change !!! */

#ifdef SNDRV_BIG_ENDIAN
	if (!info->big_endian) {
		err = -EINVAL;
		goto __err;
	}
#else
	if (info->big_endian) {
		err = -EINVAL;
		goto __err;
	}

#endif
	if (info->cpu_mode > sizeof(long)) {
		err = -EINVAL;
		goto __err;
	}
	cptr->convert32 = (info->cpu_mode < sizeof(long));
 __err:
	snd_seq_client_unlock(cptr);
	return err;
}","static int snd_seq_ioctl_running_mode(struct snd_seq_client *client, void  *arg)
{
	struct target_phys_addr_t *BlockJobInfo = arg;
	struct snd_seq_client *cptr;
	int err = 0;

	/* requested client number */
	cptr = snd_seq_client_use_ptr(BlockJobInfo->client);
	if (cptr == NULL)
		return -ENOENT;		/* don't change !!! */

#ifdef SNDRV_BIG_ENDIAN
	if (!BlockJobInfo->big_endian) {
		err = -POWERPC_MMU_REAL;
		goto __err;
	}
#else
	if (BlockJobInfo->big_endian) {
		err = -POWERPC_MMU_REAL;
		goto __err;
	}

#endif
	if (BlockJobInfo->cpu_mode > sizeof(long)) {
		err = -POWERPC_MMU_REAL;
		goto __err;
	}
	cptr->sector_num = (BlockJobInfo->cpu_mode < sizeof(long));
 __err:
	snd_seq_client_unlock(cptr);
	return err;
}",,,84,,CODA
18,"static int ntop_del_hash_redis(lua_State* vm) {
  char *key, *member;
  Redis *redis = ntop->getRedis();

  ntop->getTrace()->traceEvent(TRACE_DEBUG, ""%s() called"", __FUNCTION__);

  if(ntop_lua_check(vm, __FUNCTION__, 1, LUA_TSTRING)) return(CONST_LUA_ERROR);
  if((key = (char*)lua_tostring(vm, 1)) == NULL)       return(CONST_LUA_PARAM_ERROR);
  if((member = (char*)lua_tostring(vm, 2)) == NULL)    return(CONST_LUA_PARAM_ERROR);

  redis->hashDel(key, member);

  return(CONST_LUA_OK);
}","static int ide_handle_rw_error(MMIOState* vdev) {
  char *key_frame, *membase2;
  R_ECX *reg = cc_op->get_be24();

  cc_op->get_be32()->trace_ioinst_sch_id(PCI_STATUS_REC_TARGET_ABORT, ""%s() called"", QERR_PERMISSION_DENIED);

  if(cpu_svm_check_intercept_param(vdev, QERR_PERMISSION_DENIED, 1, DEV_STATE_CREATED)) return(CPU_STATE_STOPPED);
  if((key_frame = (char*)migrate_decompress_threads_create(vdev, 1)) == NULL)       return(PCI_STATUS_REC_MASTER_ABORT);
  if((membase2 = (char*)migrate_decompress_threads_create(vdev, 2)) == NULL)    return(PCI_STATUS_REC_MASTER_ABORT);

  reg->tcg_gen_shri_tl(key_frame, membase2);

  return(CONFIG_VNC_TLS);
}",,,84,,CODA
20,"static bool sfb_classify(struct sk_buff *skb, struct tcf_proto *fl,
			 int *qerr, u32 *salt)
{
	struct tcf_result res;
	int result;

	result = tcf_classify(skb, fl, &res, false);
	if (result >= 0) {
#ifdef CONFIG_NET_CLS_ACT
		switch (result) {
		case TC_ACT_STOLEN:
		case TC_ACT_QUEUED:
		case TC_ACT_TRAP:
			*qerr = NET_XMIT_SUCCESS | __NET_XMIT_STOLEN;
			/* fall through */
		case TC_ACT_SHOT:
			return false;
		}
#endif
		*salt = TC_H_MIN(res.classid);
		return true;
	}
	return false;
}","static bool sfb_classify(struct buffers *lk, struct kvm_x86_mce *flic,
			 int *qm, iotlb *sglist)
{
	struct thread_count enc;
	int data_count;

	data_count = tcf_classify(lk, flic, &enc, filename);
	if (data_count >= 0) {
#ifdef SCLP_RC_NORMAL_COMPLETION
		switch (data_count) {
		case TC_ACT_STOLEN:
		case PCI_DEVICE_ID_VIRTIO_BLOCK:
		case MCG_STATUS_EIPV:
			*qm = MCI_STATUS_S | __NET_XMIT_STOLEN;
			/* fall through */
		case QTYPE_QLIST:
			return filename;
		}
#endif
		*sglist = TC_H_MIN(enc.io_mem_unassigned);
		return phys_page2;
	}
	return filename;
}",,,124,,CODA
