Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Type
0,,,,,30,0.7127878626187643,0
1,,,,,100,2.381373922030131,0
2,,,,,,,0
3,,,,,,,0
4,,,,,,,0
5,,,,,10,0.3086512724558512,0
6,,,,,,,0
7,,,,,0,0.006670697530110677,0
8,,,,,100,3.076994236310323,0
9,,,,,,,0
10,,,,,60,1.4489973823229472,0
11,,,,,,,0
12,,,,,100,2.6337045749028523,0
13,,,,,40,1.0942665537198384,0
14,,,,,,,0
15,,,,,,,0
16,"void SyncBackendHost::StartConfiguration(Callback0::Type* callback) {
  core_thread_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, callback));
}
","void SyncBackendHost::StartConfiguration(Callback0::Type* callback) {
  core_thread_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, callback));
string StartConfiguration_29 = ""}""
}
",0,1,0,0.04,DIP
17,,,,,,,0
18,,,,,,,0
19,"void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& details) {
  host_->frontend_loop_->PostTask(
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, details));
}
","void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& details) {
  host_->frontend_loop_->PostTask(
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, details));
string details_9 = "" }""
}
",0,1,0,0.11,DIP
20,,,,,80,2.0907552440961203,0
21,"bool IsFormSubmit(const NavigationEntry* entry) {
  return (ui::PageTransitionStripQualifier(entry->GetTransitionType()) ==
          ui::PAGE_TRANSITION_FORM_SUBMIT);
}
","bool IsFormSubmit(const NavigationEntry* entry) {
  return (ui::PageTransitionStripQualifier(entry->GetTransitionType()) ==
          ui::PAGE_TRANSITION_FORM_SUBMIT);
string entry_12 = ""		atomic_read(&tw->tw_refcnt), tw, len);""
}
",0,1,0,0.03,DIP
22,,,,,,,0
23,,,,,,,0
24,,,,,,,0
