Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,"DateTimeFieldElement::DateTimeFieldElement(Document* document, FieldOwner& fieldOwner)
    : HTMLElement(spanTag, document)
    , m_fieldOwner(&fieldOwner)
 {
     setAttribute(roleAttr, ""spinbutton"");
 }
","player::player(Document* document, FieldOwner& fieldOwner)
    : HTMLElement(spanTag, document)
    , m_fieldOwner(&fieldOwner)
 {
     setAttribute(controller, ""spinbutton"");
 }
",35,8,"roleAttr:controller,DateTimeFieldElement:player,",121,3.6150033275286400,MHM
1,,,109,30,,511,13.263587252299000,0
2,,,,,,,,0
3,,,,,,,,0
4,,,,,,,,0
5,"void CrosLibrary::TestApi::SetBrightnessLibrary(
    BrightnessLibrary* library, bool own) {
  library_->brightness_lib_.SetImpl(library, own);
}
","void CrosLibrary::TestApi::SetBrightnessLibrary(
    BrightnessLibrary* pgd_none, bool own) {
  library_->brightness_lib_.SetImpl(pgd_none, own);
}
",27,6,"library:pgd_none,",31,0.977580451965332,MHM
6,,,,,,,,0
7,"Chapters::Display::~Display()
{
}
","Chapters::styleWillChange::~styleWillChange()
{
}
",10,1,"Display:styleWillChange,",31,0.8045316894849140,MHM
8,,,84,20,,511,16.028857827186600,0
9,,,,,,,,0
10,,,56,11,,511,15.324056009451500,0
11,,,,,,,,0
12,,,45,18,,511,13.122779782613100,0
13,,,43,8,,511,16.313229155540500,0
14,,,,,,,,0
15,,,,,,,,0
16,"void SyncBackendHost::StartConfiguration(Callback0::Type* callback) {
  core_thread_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, callback));
}","void SyncBackendHost::StartConfiguration(Callback0::Type* callback) {
  instance_map_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, callback));
}",42,8,"core_thread_:instance_map_,",31,0.9443811933199570,MHM
17,,,,,,,,0
18,,,,,,,,0
19,"void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& details) {
  host_->frontend_loop_->PostTask(
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, details));
}
","void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& gst_pngdec_sink_pad_template) {
  host_->frontend_loop_->PostTask(
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, gst_pngdec_sink_pad_template));
}
",44,9,"details:gst_pngdec_sink_pad_template,",31,0.9152966539065040,MHM
20,,,80,24,,511,15.649736674626700,0
21,"bool IsFormSubmit(const NavigationEntry* entry) {
  return (ui::PageTransitionStripQualifier(entry->GetTransitionType()) ==
          ui::PAGE_TRANSITION_FORM_SUBMIT);
}
","bool kfree(const NavigationEntry* entry) {
  return (ui::PageTransitionStripQualifier(entry->GetTransitionType()) ==
          ui::PAGE_TRANSITION_FORM_SUBMIT);
}
",28,5,"IsFormSubmit:kfree,",61,1.8453961769739800,MHM
22,,,,,,,,0
23,,,,,,,,0
24,,,,,,,,0
25,,,82,14,,511,12.41881468296050,0
26,,,,,,,,0
27,,,165,49,,511,14.230029090245600,0
28,,,,,,,,0
29,,,,,,,,0
30,,,,,,,,0
31,,,,,,,,0
32,,,,,,,,0
