Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
0,,,84,22,,511,12.811129713058500,0
1,,,78,15,,511,12.842442389329300,0
2,,,54,10,,511,12.807726192474400,0
3,,,,,,,,0
4,,,,,,,,0
5,,,186,53,,511,13.477371442318000,0
6,,,198,43,,511,13.325250705083200,0
7,,,,,,,,0
8,,,,,,,,0
9,,,40,10,,511,12.93638342221580,0
10,,,46,13,,511,12.446934044361100,0
11,,,94,21,,511,12.834619311491600,0
12,,,64,18,,511,12.900001160303800,0
13,"void do_tw (int flags)

{

    if (!likely(!(((int32_t)T0 < (int32_t)T1 && (flags & 0x10)) ||

                  ((int32_t)T0 > (int32_t)T1 && (flags & 0x08)) ||

                  ((int32_t)T0 == (int32_t)T1 && (flags & 0x04)) ||

                  ((uint32_t)T0 < (uint32_t)T1 && (flags & 0x02)) ||

                  ((uint32_t)T0 > (uint32_t)T1 && (flags & 0x01))))) {

        do_raise_exception_err(EXCP_PROGRAM, EXCP_TRAP);

    }

}","void do_tw (int flags)

{

    if (!likely(!(((int32_t)ff_thread_release_buffer < (int32_t)T1 && (flags & 0x10)) ||

                  ((int32_t)ff_thread_release_buffer > (int32_t)T1 && (flags & 0x08)) ||

                  ((int32_t)ff_thread_release_buffer == (int32_t)T1 && (flags & 0x04)) ||

                  ((uint32_t)ff_thread_release_buffer < (uint32_t)T1 && (flags & 0x02)) ||

                  ((uint32_t)ff_thread_release_buffer > (uint32_t)T1 && (flags & 0x01))))) {

        do_raise_exception_err(EXCP_PROGRAM, EXCP_TRAP);

    }

}",116,21,"T0:ff_thread_release_buffer,",31,0.7710876584053040,MHM
14,"uint16_t eeprom93xx_read(eeprom_t *eeprom)

{

    /* Return status of pin DO (0 or 1). */

    logout(""CS=%u DO=%u\n"", eeprom->eecs, eeprom->eedo);

    return (eeprom->eedo);

}","uint16_t eeprom93xx_read(eeprom_t *CONFIG_TRACE_SIMPLE)

{

    /* Return status of pin DO (0 or 1). */

    MO_64(""CS=%u DO=%u\n"", CONFIG_TRACE_SIMPLE->eecs, CONFIG_TRACE_SIMPLE->eedo);

    return (CONFIG_TRACE_SIMPLE->eedo);

}",31,6,"logout:MO_64,eeprom:CONFIG_TRACE_SIMPLE,",91,2.3121117115020800,MHM
15,,,,,,,,0
16,,,129,29,,511,13.090915509065000,0
17,,,47,11,,511,12.725128436088600,0
18,,,,,,,,0
19,,,196,49,,511,13.832881677150700,0
20,,,,,,,,0
21,,,,,,,,0
22,,,,,,,,0
23,,,,,,,,0
24,,,39,9,,511,13.121593133608500,0
25,,,,,,,,0
26,,,162,35,,511,14.109370843569400,0
27,,,,,,,,0
28,,,138,29,,511,13.713991312185900,0
29,,,48,11,,511,12.91753298441570,0
