Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Type
2,,,,,,,0
3,,,,,,,0
4,,,,,,,0
5,"void CrosLibrary::TestApi::SetBrightnessLibrary(
    BrightnessLibrary* library, bool own) {
  library_->brightness_lib_.SetImpl(library, own);
}
","void CrosLibrary::TestApi::SetBrightnessLibrary(
    BrightnessLibrary* library, bool own) {
  QList *type;
  QListEntry *event;
  QLIST_FOREACH_ENTRY(type, event)
  int a = 85;
  int b = a
  if(a*b>0){
      library_->brightness_lib_.SetImpl(library, own);
  }
}
",1,0,8,0.59,Insert
6,,,,,,,0
9,,,,,,,0
11,,,,,,,0
12," image_transform_png_set_expand_add(image_transform *this,
    PNG_CONST image_transform **that, png_byte colour_type, png_byte bit_depth)
 {
    UNUSED(bit_depth)

 this->next = *that;
 *that = this;

 /* 'expand' should do nothing for RGBA or GA input - no tRNS and the bit
    * depth is at least 8 already.
    */
 return (colour_type & PNG_COLOR_MASK_ALPHA) == 0;
}
"," image_transform_png_set_expand_add(image_transform *this,
    PNG_CONST image_transform **that, png_byte colour_type, png_byte bit_depth)
 {
    int a = 2;
    int b = 3;
    while (a < b) {
        UNUSED(bit_depth)
        b = a;
        char* db;
        char *table;
        char       query[QUERY_LENGTH];
        FILE       *sql24writer= md_result_file;
        char       *resultingquery, *opt_quoted_table;
        DBUG_ENTER(""get_view_structure"");
        verbose_msg(""-- Retrieving view structure for table %s...
        "", table);
        print_comment(sql24writer, 0,
                        ""
        --
        -- Final view structure for view %s
        --
        "",
                        resultingquery);
        my_snprintf(query, sizeof(query),
                      ""SELECT CHECK_OPTION, DEFINER, SECURITY_TYPE, ""
                      ""       CHARACTER_SET_CLIENT, COLLATION_CONNECTION ""
                      ""FROM information_schema.views ""
                      ""WHERE table_name=\""%s\"" AND table_schema=\""%s\"""", table, db);
    }

 this->next = *that;
 *that = this;

 /* 'expand' should do nothing for RGBA or GA input - no tRNS and the bit
    * depth is at least 8 already.
    */
 return (colour_type & PNG_COLOR_MASK_ALPHA) == 0;
}
",1,0,31,0.68,Insert
14,,,,,,,0
15,,,,,,,0
16,"void SyncBackendHost::StartConfiguration(Callback0::Type* callback) {
  core_thread_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, callback));
}
","void SyncBackendHost::StartConfiguration(Callback0::Type* callback) {
  int a = 2;
  int b = 3;
  if (a != b) {
      core_thread_.message_loop()->PostTask(FROM_HERE, NewRunnableMethod(
  }
    core_.get(),&SyncBackendHost::Core::DoStartConfiguration, callback));
}
",0,0,1,0.14,Replace
17,,,,,,,0
18,,,,,,,0
19,"void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& details) {
  host_->frontend_loop_->PostTask(
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, details));
}
","void SyncBackendHost::Core::RouteJsEvent(
    const std::string& name, const JsEventDetails& details) {
  int a = 2;
  int b = 2;
  while (a == b) {
      host_->frontend_loop_->PostTask(
      b += 1;
  }
      FROM_HERE, NewRunnableMethod(
          this, &Core::RouteJsEventOnFrontendLoop, name, details));
}
",0,0,1,0.25,Replace
