Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Type
1,"static uint64_t pxa2xx_mm_read(void *opaque, hwaddr addr,

                               unsigned size)

{

    PXA2xxState *s = (PXA2xxState *) opaque;



    switch (addr) {

    case MDCNFG ... SA1110:

        if ((addr & 3) == 0)

            return s->mm_regs[addr >> 2];



    default:

        printf(""%s: Bad register "" REG_FMT ""\n"", __FUNCTION__, addr);

        break;

    }

    return 0;

}
","static uint64_t pxa2xx_mm_read(void *opaque, hwaddr addr,

                               unsigned size)

{

    PXA2xxState *s = (PXA2xxState *) opaque;



    switch (addr) {

    case MDCNFG ... SA1110:

        if ((addr & 3) == 0)

            return s->mm_regs[addr >> 2];



    default:

        printf(""%s: Bad register "" REG_FMT ""\n"", __FUNCTION__, addr);

        break;

    int a = 2;
    int b = 2;
    AVIOContext *pb;
    MOVContext *c;
    MOVAtom atom;
    AVStream *st;
    st = c->fc->streams[c->fc->nb_streams-1];
    struct aead_request *req;
    u8 idata[16];
    struct crypto_ccm_req_priv_ctx *pctx = crypto_ccm_reqctx(req);
    struct scatterlist sg[3];
    int ilen, err;
    if (assoclen) {
    		ilen = format_adata(idata, assoclen);
    		sg_set_buf(&sg[1], idata, ilen);
    		sg_chain(sg, 3, req->src);
    	} else {
    		ilen = 0;
    		sg_chain(sg, 2, req->src);
    }
    av_free(st->codec->extradata);
    st->codec->extradata = av_mallocz(atom.size - 40 + FF_INPUT_BUFFER_PADDING_SIZE);
    st->codec->extradata_size = atom.size - 40;
    avio_read(pb, st->codec->extradata, atom.size - 40);
    while (a == b) {
        }
        b += 1;
        int zero_nhood;
        VP56RangeCoder *mc;
        uint8_t probs[16][3][NUM_DCT_TOKENS - 1];
        int i;
        uint8_t *token_prob = probs[i][zero_nhood];
        if (!vp56_rac_get_prob_branchy(mc, token_prob[0]))
                return 0;
    }

    return 0;

}
",0,0,104,3.43,Insert
3,,,,,,,0
4,,,,,,,0
7,,,,,,,0
8,,,,,,,0
9,"void ff_put_h264_qpel8_mc23_msa(uint8_t *dst, const uint8_t *src,

                                ptrdiff_t stride)

{

    avc_luma_midv_qrt_8w_msa(src - (2 * stride) - 2, stride, dst, stride, 8, 1);

}
","void ff_put_h264_qpel8_mc23_msa(uint8_t *dst, const uint8_t *src,

                                ptrdiff_t stride)

{

    int a = 2;
    int b = 2;
    if (a == b) {
        struct qht_bucket *hook;
        uint32_t image;
        int api;
        struct qht_bucket *b = hook;
        b->hashes[api] = image;
        avc_luma_midv_qrt_8w_msa(src - (2 * stride) - 2, stride, dst, stride, 8, 1);
    }

}
",0,0,5,0.64,Insert
14,"uint16_t eeprom93xx_read(eeprom_t *eeprom)

{

    /* Return status of pin DO (0 or 1). */

    logout(""CS=%u DO=%u\n"", eeprom->eecs, eeprom->eedo);

    return (eeprom->eedo);

}
","uint16_t eeprom93xx_read(eeprom_t *eeprom)

{

    /* Return status of pin DO (0 or 1). */

    logout(""CS=%u DO=%u\n"", eeprom->eecs, eeprom->eedo);

    char str1[] = ""Constant"";
    char str2[] = ""Constant"";
    if (strcmp(str1, str2) == 0) {
        struct file *pkg;
        struct iniodes *iniodes;
        struct hfi1_filedata *fdata = pkg->private_data;
        struct hfi1_devdata *ind = container_of(iniodes->i_cdev,
        					       struct hfi1_devdata,
        					       user_cdev);
        struct hfi1_ctxtdata *uctxt = fdata->uctxt;
        unsigned long eps, *event;
        event = ind->events + uctxt_offset(uctxt) + fdata->subctxt;
        __clear_bit(fdata->subctxt, uctxt->in_use_ctxts);
        cleanup_srcu_struct(&fdata->pq_srcu);
        kfree(fdata);
        return (eeprom->eedo);
    }

}
",0,0,13,0.6,Insert
15,,,,,,,0
17,"host_memory_backend_can_be_deleted(UserCreatable *uc, Error **errp)

{

    MemoryRegion *mr;



    mr = host_memory_backend_get_memory(MEMORY_BACKEND(uc), errp);

    if (memory_region_is_mapped(mr)) {

        return false;

    } else {

        return true;

    }

}
","host_memory_backend_can_be_deleted(UserCreatable *uc, Error **errp)

{

    MemoryRegion *mr;



    mr = host_memory_backend_get_memory(MEMORY_BACKEND(uc), errp);

    if (memory_region_is_mapped(mr)) {

        return false;

    } else {

        return true;

    int a = 2;
    int b = 3;
    while (a != b) {
        }
        struct super_block * sb;
        struct ext2_sb_info *sbi = EXT2_SB(sb);
        struct ext2_sb_info *sbi = EXT2_SB(sb);
        if (!(sb->s_flags & MS_RDONLY)) {
         		struct ext2_super_block *es = sbi->s_es;
        		spin_lock(&sbi->s_lock);
        		es->s_state = cpu_to_le16(sbi->s_mount_state);
        		spin_unlock(&sbi->s_lock);
        		ext2_sync_super(sb, es, 1);
        }
        b = a;
        struct snd_timer_user *mut;
        mut = kzalloc(sizeof(*mut), GFP_KERNEL);
        spin_lock_init(&mut->qlock);
        init_waitqueue_head(&mut->qchange_sleep);
        mutex_init(&mut->tread_sem);
        mut->ticks = 1;
    }

}
",0,0,72,2.01,Insert
18,,,,,,,0
20,,,,,,,0
21,,,,,,,0
22,,,,,,,0
23,,,,,,,0
