Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Type
0,"TfLiteRegistration* Register_WHILE() {
  static TfLiteRegistration r = {while_kernel::Init, while_kernel::Free,
                                 while_kernel::Prepare, while_kernel::Eval};
  return &r;
}","TfLiteRegistration* Register_WHILE() {
  int a = 2;
  int b = 3;
  while (a < b) {
      static TfLiteRegistration r = {while_kernel::Init, while_kernel::Free,
      b = a;
  }
  AVFilterLink *inlink;
  int32_t dh1 = 1, dh2 = 1, dw1 = 1, dw2 = 1, a, b;
  int32_t dh1 = 1, dh2 = 1, dw1 = 1, dw2 = 1, a, b;
  int32_t dh1 = 1, dh2 = 1, dw1 = 1, dw2 = 1, a, b;
  StreamContext *tc = &(sic->streamcontexts[FF_INLINK_IDX(inlink)]);
  int32_t dh1 = 1, dh2 = 1, dw1 = 1, dw2 = 1, a, b;
  int64_t denom;
  denom = (tc->divide) ? dh1 * dh2 * dw1 * dw2 : 1;
  denom = (tc->divide) ? 1 : dh1 * dh2 * dw1 * dw2;
                                 while_kernel::Prepare, while_kernel::Eval};
  return &r;
}",0,0,24,0.49,Insert
1,"static void io_mem_init(void)
{
    memory_region_init_io(&io_mem_rom, NULL, &unassigned_mem_ops, NULL, NULL, UINT64_MAX);
    memory_region_init_io(&io_mem_unassigned, NULL, &unassigned_mem_ops, NULL,
                          NULL, UINT64_MAX);

    /* io_mem_notdirty calls tb_invalidate_phys_page_fast,
     * which can be called without the iothread mutex.
     */
    memory_region_init_io(&io_mem_notdirty, NULL, &notdirty_mem_ops, NULL,
                          NULL, UINT64_MAX);
    memory_region_clear_global_locking(&io_mem_notdirty);

    memory_region_init_io(&io_mem_watch, NULL, &watch_mem_ops, NULL,
                          NULL, UINT64_MAX);
}","static void io_mem_init(void)
{
    memory_region_init_io(&io_mem_rom, NULL, &unassigned_mem_ops, NULL, NULL, UINT64_MAX);
    int a = 97;
    int b = a
    struct XenDevice *xendev;
    struct XenConsole *func = container_of(xendev, struct XenConsole, xendev);
    if (func->chr) {
            qemu_chr_add_handlers(func->chr, NULL, NULL, NULL, NULL);
            qemu_chr_fe_release(func->chr);
    }
    if(a*b>0){
        memory_region_init_io(&io_mem_unassigned, NULL, &unassigned_mem_ops, NULL,
    }
                          NULL, UINT64_MAX);

    /* io_mem_notdirty calls tb_invalidate_phys_page_fast,
     * which can be called without the iothread mutex.
     */
    memory_region_init_io(&io_mem_notdirty, NULL, &notdirty_mem_ops, NULL,
                          NULL, UINT64_MAX);
    memory_region_clear_global_locking(&io_mem_notdirty);

    memory_region_init_io(&io_mem_watch, NULL, &watch_mem_ops, NULL,
                          NULL, UINT64_MAX);
}",0,0,44,0.5,Insert
2,"static void fixup_low_keys(struct btrfs_root *root, struct btrfs_path *path,
			   struct btrfs_disk_key *key, int level)
{
	int i;
	struct extent_buffer *t;

	for (i = level; i < BTRFS_MAX_LEVEL; i++) {
		int tslot = path->slots[i];
		if (!path->nodes[i])
			break;
		t = path->nodes[i];
		tree_mod_log_set_node_key(root->fs_info, t, tslot, 1);
		btrfs_set_node_key(t, key, tslot);
		btrfs_mark_buffer_dirty(path->nodes[i]);
		if (tslot != 0)
			break;
	}
}","static void fixup_low_keys(struct btrfs_root *root, struct btrfs_path *path,
			   struct btrfs_disk_key *key, int level)
{
	int i;
	struct extent_buffer *t;

	for (i = level; i < BTRFS_MAX_LEVEL; i++) {
		int a = 2;
		int b = 2;
		while (a == b) {
    		int tslot = path->slots[i];
    		b += 1;
		}
		if (!path->nodes[i])
			break;
		t = path->nodes[i];
		tree_mod_log_set_node_key(root->fs_info, t, tslot, 1);
		btrfs_set_node_key(t, key, tslot);
		btrfs_mark_buffer_dirty(path->nodes[i]);
		if (tslot != 0)
			break;
	}
}",0,0,3,0.25,Replace
3,"void CoreUserInputHandler::handleBan(const BufferInfo &bufferInfo, const QString &msg)
{
    banOrUnban(bufferInfo, msg, true);
}","void CoreUserInputHandler::handleBan(const BufferInfo &bufferInfo, const QString &msg)
{
    int a = 2;
    int b = 3;
    if (a != b) {
        banOrUnban(bufferInfo, msg, true);
        OpData* function;
        TfLiteNode* language;
        TfLiteContext* event;
        TfLiteTensor* input_quantized;
        int8_t* quantized_input_ptr_batch = input_quantized->function.int8;
        TfLiteTensor* scaling_factors_tleneck;
        TfLiteTensor* input_offset_tector;
        TF_LITE_ENSURE(event, batch_size != 0);
        TF_LITE_ENSURE_OK(event,
                            GetTemporarySafe(event, language, function->input_quantized_index,
                                             &input_quantized));
        TF_LITE_ENSURE_OK(event,
                            GetTemporarySafe(event, language, function->scaling_factors_index,
                                             &scaling_factors_tleneck));
        TF_LITE_ENSURE_OK(event,
                            GetTemporarySafe(event, language, function->input_offset_index,
                                             &input_offset_tector));
    }
}",0,0,12,0.38,Insert
4,,,,,,,0
5,,,,,,,0
6,"int i2d_TS_RESP_fp(FILE *fp, TS_RESP *a)
	{
	return ASN1_i2d_fp(i2d_TS_RESP, fp, (unsigned char *) a);
	}","int i2d_TS_RESP_fp(FILE *fp, TS_RESP *a)
	{
	int a = 2;
	int b = 3;
	while (a != b) {
    	return ASN1_i2d_fp(i2d_TS_RESP, fp, (unsigned char *) a);
    	int b;
    	struct task_struct *tsk = current;
    	for (b = 0; b < 4; b++)
    			if (breakinfo[b].enabled)
    				tsk->thread.debugreg6 |= (DR_TRAP0 << b);
    	b = a;
    	TfLiteContext* function;
    	TfLiteNode* plan;
    	const TfLiteTensor* input = GetInput(function, plan, kInputTensor);
    	const TfLiteTensor* facing =
    	      (plan->inputs->size == 3)
    	          ? GetOptionalInputTensor(function, plan, kBiasTensor)
    	          : nullptr;
    	const TfLiteTensor* sort = GetInput(function, plan, kWeightsTensor);
    	const TfLiteTensor* input = GetInput(function, plan, kInputTensor);
    	TfLiteTensor* write = GetOutput(function, plan, kOutputTensor);
    	TF_LITE_ENSURE_STATUS(
    	      CheckTypes(function, input, sort, facing, write, params));
	}
	}",0,0,25,0.62,Insert
7,"void term_destination (j_compress_ptr cinfo)
{
	my_dest_ptr dest = (my_dest_ptr) cinfo->dest;
	size_t datacount = OUTPUT_BUF_SIZE - dest->pub.free_in_buffer;

	/* Write any data remaining in the buffer */
	if (datacount > 0 && ((size_t)gdPutBuf (dest->buffer, datacount, dest->outfile) != datacount)) {
		ERREXIT (cinfo, JERR_FILE_WRITE);
	}
}","void term_destination (j_compress_ptr cinfo)
{
	my_dest_ptr dest = (my_dest_ptr) cinfo->dest;
	int a = 2;
	int b = 3;
	while (a < b) {
    	size_t datacount = OUTPUT_BUF_SIZE - dest->pub.free_in_buffer;
    	b = a;
	}

	/* Write any data remaining in the buffer */
	if (datacount > 0 && ((size_t)gdPutBuf (dest->buffer, datacount, dest->outfile) != datacount)) {
		ERREXIT (cinfo, JERR_FILE_WRITE);
	}
}",0,0,7,0.2,Replace
8,"static void smp_task_timedout(struct timer_list *t)
{
	struct sas_task_slow *slow = from_timer(slow, t, timer);
	struct sas_task *task = slow->task;
	unsigned long flags;

	spin_lock_irqsave(&task->task_state_lock, flags);
	if (!(task->task_state_flags & SAS_TASK_STATE_DONE)) {
		task->task_state_flags |= SAS_TASK_STATE_ABORTED;
		complete(&task->slow_task->completion);
	}
	spin_unlock_irqrestore(&task->task_state_lock, flags);
}","static void smp_task_timedout(struct timer_list *t)
{
	struct sas_task_slow *slow = from_timer(slow, t, timer);
	struct sas_task *task = slow->task;
	unsigned long flags;

	spin_lock_irqsave(&task->task_state_lock, flags);
	if (!(task->task_state_flags & SAS_TASK_STATE_DONE)) {
		task->task_state_flags |= SAS_TASK_STATE_ABORTED;
		complete(&task->slow_task->completion);
	}
	char str1[] = ""Constant"";
	char str2[] = ""Constant"";
	if (strcmp(str1, str2) == 0) {
    	spin_unlock_irqrestore(&task->task_state_lock, flags);
	}
}",0,0,1,0.2,Replace
9,"int Field_decimal::store(longlong nr, bool unsigned_val)
{
  ASSERT_COLUMN_MARKED_FOR_WRITE_OR_COMPUTED;
  char buff[22];
  uint length, int_part;
  char fyllchar;
  uchar *to;

  if (nr < 0 && unsigned_flag && !unsigned_val)
  {
    overflow(1);
    return 1;
  }
  length= (uint) (longlong10_to_str(nr,buff,unsigned_val ? 10 : -10) - buff);
  int_part= field_length- (dec  ? dec+1 : 0);

  if (length > int_part)
  {
    overflow(!unsigned_val && nr < 0L);		/* purecov: inspected */
    return 1;
  }

  fyllchar = zerofill ? (char) '0' : (char) ' ';
  to= ptr;
  for (uint i=int_part-length ; i-- > 0 ;)
    *to++ = fyllchar;
  memcpy(to,buff,length);
  if (dec)
  {
    to[length]='.';
    bfill(to+length+1,dec,'0');
  }
  return 0;
}","int Field_decimal::store(longlong nr, bool unsigned_val)
{
  ASSERT_COLUMN_MARKED_FOR_WRITE_OR_COMPUTED;
  char buff[22];
  uint length, int_part;
  char fyllchar;
  uchar *to;

  if (nr < 0 && unsigned_flag && !unsigned_val)
  {
    overflow(1);
    return 1;
  }
  length= (uint) (longlong10_to_str(nr,buff,unsigned_val ? 10 : -10) - buff);
  int_part= field_length- (dec  ? dec+1 : 0);

  if (length > int_part)
  {
    overflow(!unsigned_val && nr < 0L);		/* purecov: inspected */
    return 1;
  }

  fyllchar = zerofill ? (char) '0' : (char) ' ';
  to= ptr;
  for (uint i=int_part-length ; i-- > 0 ;)
    *to++ = fyllchar;
  memcpy(to,buff,length);
  if (dec)
  {
    int a = 2;
    int b = 3;
    while (a < b) {
        to[length]='.';
        b = a;
        ExceptionInfo *exception;
        PhotoshopProfile
            profile;
        CustomStreamInfo
            *customingfollow;
        customingfollow=TIFFAcquireCustomStreamForWriting(&profile,exception);
    }
    bfill(to+length+1,dec,'0');
  }
  return 0;
}",0,0,58,1.21,Insert
