Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
5,"static uint32_t drc_set_unusable(sPAPRDRConnector *drc)

{

    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (drc->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(drc);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        spapr_drc_detach(drc);

    }



    return RTAS_OUT_SUCCESS;

}
","static uint32_t drc_set_unusable(sPAPRDRConnector *proc)

{

    proc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (proc->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(proc);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        spapr_drc_detach(proc);

    }



    return RTAS_OUT_SUCCESS;

}
",45.0,13.0,"drc:proc,",65.0,0.0302842855453491,Greedy
9,"static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *cm;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}
","static void vc1_inv_trans_8x8_dc_c(uint8_t *route, int codespace, DCTELEM *event)

{

    int api;

    int dc = event[0];

    const uint8_t *address;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    address = ff_cropTbl + MAX_NEG_CROP + dc;

    for(api = 0; api < 8; api++){

        route[0] = address[route[0]];

        route[1] = address[route[1]];

        route[2] = address[route[2]];

        route[3] = address[route[3]];

        route[4] = address[route[4]];

        route[5] = address[route[5]];

        route[6] = address[route[6]];

        route[7] = address[route[7]];

        route += codespace;

    }

}
",188.0,45.0,"block:event,i:api,linesize:codespace,cm:address,dest:route,",300.0,0.1423769831657409,Greedy
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    s->nc.link_down = link_down;



    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;

    }



    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    }



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);

    }

}
","static void net_vhost_link_down(VhostUserState *rs, bool link_down)

{

    rs->nc.link_down = link_down;



    if (rs->nc.peer) {

        rs->nc.peer->link_down = link_down;

    }



    if (rs->nc.info->link_status_changed) {

        rs->nc.info->link_status_changed(&rs->nc);

    }



    if (rs->nc.peer && rs->nc.peer->info->link_status_changed) {

        rs->nc.peer->info->link_status_changed(rs->nc.peer);

    }

}
",104.0,15.0,"s:rs,",78.0,0.0382810433705647,Greedy
24,"static int decode_plte_chunk(AVCodecContext *avctx, PNGDecContext *s,

                             uint32_t length)

{

    int n, i, r, g, b;



    if ((length % 3) != 0 || length > 256 * 3)

        return AVERROR_INVALIDDATA;

    /* read the palette */

    n = length / 3;

    for (i = 0; i < n; i++) {

        r = bytestream2_get_byte(&s->gb);

        g = bytestream2_get_byte(&s->gb);

        b = bytestream2_get_byte(&s->gb);

        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;

    }

    for (; i < 256; i++)

        s->palette[i] = (0xFFU << 24);

    s->state |= PNG_PLTE;

    bytestream2_skip(&s->gb, 4);     /* crc */



    return 0;

}
","static int decode_plte_chunk(AVCodecContext *afcontext, PNGDecContext *s,

                             uint32_t library)

{

    int j, i, w, k, lib;



    if ((library % 3) != 0 || library > 256 * 3)

        return AVERROR_INVALIDDATA;

    /* read the palette */

    j = library / 3;

    for (i = 0; i < j; i++) {

        w = bytestream2_get_byte(&s->gb);

        k = bytestream2_get_byte(&s->gb);

        lib = bytestream2_get_byte(&s->gb);

        s->palette[i] = (0xFFU << 24) | (w << 16) | (k << 8) | lib;

    }

    for (; i < 256; i++)

        s->palette[i] = (0xFFU << 24);

    s->state |= PNG_PLTE;

    bytestream2_skip(&s->gb, 4);     /* crc */



    return 0;

}
",167.0,40.0,"avctx:afcontext,b:lib,g:k,n:j,r:w,length:library,",260.0,0.1340498050053914,Greedy
28,"static size_t header_ext_add(char *buf, uint32_t magic, const void *s,

    size_t len, size_t buflen)

{

    QCowExtension *ext_backing_fmt = (QCowExtension*) buf;

    size_t ext_len = sizeof(QCowExtension) + ((len + 7) & ~7);



    if (buflen < ext_len) {

        return -ENOSPC;

    }



    *ext_backing_fmt = (QCowExtension) {

        .magic  = cpu_to_be32(magic),

        .len    = cpu_to_be32(len),

    };

    memcpy(buf + sizeof(QCowExtension), s, len);



    return ext_len;

}
","static size_t header_ext_add(char *func, uint32_t generic, const void *service,

    size_t len, size_t buflen)

{

    QCowExtension *ext_backing_fmt = (QCowExtension*) func;

    size_t ext_len = sizeof(QCowExtension) + ((len + 7) & ~7);



    if (buflen < ext_len) {

        return -ENOSPC;

    }



    *ext_backing_fmt = (QCowExtension) {

        .generic  = cpu_to_be32(generic),

        .len    = cpu_to_be32(len),

    };

    memcpy(func + sizeof(QCowExtension), service, len);



    return ext_len;

}
",107.0,25.0,"buf:func,magic:generic,s:service,",158.0,0.0746642470359802,Greedy
30,"static void mem_begin(MemoryListener *listener)

{

    AddressSpaceDispatch *d = container_of(listener, AddressSpaceDispatch, listener);



    d->phys_map.ptr = PHYS_MAP_NODE_NIL;

}
","static void mem_begin(MemoryListener * listencer)

{

    AddressSpaceDispatch *ded = container_of( listencer, AddressSpaceDispatch,  listencer);



    ded->phys_map.ptr = PHYS_MAP_NODE_NIL;

}
",31.0,9.0,"d:ded,listener: listencer,",91.0,0.0441467682520548,Greedy
35,"static int omap_gpio_init(SysBusDevice *sbd)

{

    DeviceState *dev = DEVICE(sbd);

    struct omap_gpif_s *s = OMAP1_GPIO(dev);



    if (!s->clk) {

        hw_error(""omap-gpio: clk not connected\n"");

    }

    qdev_init_gpio_in(dev, omap_gpio_set, 16);

    qdev_init_gpio_out(dev, s->omap1.handler, 16);

    sysbus_init_irq(sbd, &s->omap1.irq);

    memory_region_init_io(&s->iomem, OBJECT(s), &omap_gpio_ops, &s->omap1,

                          ""omap.gpio"", 0x1000);

    sysbus_init_mmio(sbd, &s->iomem);

    return 0;

}
","static int omap_gpio_init(SysBusDevice *lsbb)

{

    DeviceState *adv = DEVICE(lsbb);

    struct omap_gpif_s *service = OMAP1_GPIO(adv);



    if (!service->clk) {

        hw_error(""omap-gpio: clk not connected\n"");

    }

    qdev_init_gpio_in(adv, omap_gpio_set, 16);

    qdev_init_gpio_out(adv, service->omap1.handler, 16);

    sysbus_init_irq(lsbb, &service->omap1.irq);

    memory_region_init_io(&service->iomem, OBJECT(service), &omap_gpio_ops, &service->omap1,

                          ""omap.gpio"", 0x1000);

    sysbus_init_mmio(lsbb, &service->iomem);

    return 0;

}
",118.0,28.0,"sbd:lsbb,dev:adv,s:service,",178.0,0.0832805275917053,Greedy
36,"void omap_mcbsp_i2s_attach(struct omap_mcbsp_s *s, I2SCodec *slave)

{

    s->codec = slave;

    slave->rx_swallow = qemu_allocate_irqs(omap_mcbsp_i2s_swallow, s, 1)[0];

    slave->tx_start = qemu_allocate_irqs(omap_mcbsp_i2s_start, s, 1)[0];

}
","void omap_mcbsp_i2s_attach(struct omap_mcbsp_s *address, I2SCodec *oe)

{

    address->codec = oe;

    oe->rx_swallow = qemu_allocate_irqs(omap_mcbsp_i2s_swallow, address, 1)[0];

    oe->tx_start = qemu_allocate_irqs(omap_mcbsp_i2s_start, address, 1)[0];

}
",52.0,13.0,"s:address,slave:oe,",113.0,0.0504344900449117,Greedy
39,"BlockDriverAIOCB *paio_submit(BlockDriverState *bs, int fd,

        int64_t sector_num, QEMUIOVector *qiov, int nb_sectors,

        BlockDriverCompletionFunc *cb, void *opaque, int type)

{

    struct qemu_paiocb *acb;



    acb = qemu_aio_get(&raw_aio_pool, bs, cb, opaque);

    if (!acb)

        return NULL;

    acb->aio_type = type;

    acb->aio_fildes = fd;

    acb->ev_signo = SIGUSR2;

    acb->async_context_id = get_async_context_id();



    if (qiov) {

        acb->aio_iov = qiov->iov;

        acb->aio_niov = qiov->niov;

    }

    acb->aio_nbytes = nb_sectors * 512;

    acb->aio_offset = sector_num * 512;



    acb->next = posix_aio_state->first_aio;

    posix_aio_state->first_aio = acb;



    trace_paio_submit(acb, opaque, sector_num, nb_sectors, type);

    qemu_paio_submit(acb);

    return &acb->common;

}
","BlockDriverAIOCB *paio_submit(BlockDriverState *db, int dB,

        int64_t sector_num, QEMUIOVector *qoby, int nb_sectors,

        BlockDriverCompletionFunc *cb, void *OPaco, int type)

{

    struct qemu_paiocb * ace;



     ace = qemu_aio_get(&raw_aio_pool, db, cb, OPaco);

    if (! ace)

        return NULL;

     ace->aio_type = type;

     ace->aio_fildes = dB;

     ace->ev_signo = SIGUSR2;

     ace->async_context_id = get_async_context_id();



    if (qoby) {

         ace->aio_iov = qoby->iov;

         ace->aio_niov = qoby->niov;

    }

     ace->aio_nbytes = nb_sectors * 512;

     ace->aio_offset = sector_num * 512;



     ace->next = posix_aio_state->first_aio;

    posix_aio_state->first_aio =  ace;



    trace_paio_submit( ace, OPaco, sector_num, nb_sectors, type);

    qemu_paio_submit( ace);

    return & ace->common;

}
",163.0,47.0,"acb: ace,qiov:qoby,bs:db,opaque:OPaco,fd:dB,",326.0,0.1544445991516113,Greedy
41,"int ff_alloc_entries(AVCodecContext *avctx, int count)

{

    int i;



    if (avctx->active_thread_type & FF_THREAD_SLICE)  {

        SliceThreadContext *p = avctx->internal->thread_ctx;

        p->thread_count  = avctx->thread_count;

        p->entries       = av_mallocz_array(count, sizeof(int));



        if (!p->entries) {

            return AVERROR(ENOMEM);

        }



        p->entries_count  = count;

        p->progress_mutex = av_malloc_array(p->thread_count, sizeof(pthread_mutex_t));

        p->progress_cond  = av_malloc_array(p->thread_count, sizeof(pthread_cond_t));



        for (i = 0; i < p->thread_count; i++) {

            pthread_mutex_init(&p->progress_mutex[i], NULL);

            pthread_cond_init(&p->progress_cond[i], NULL);

        }

    }



    return 0;

}
","int ff_alloc_entries(AVCodecContext *avctx, int list)

{

    int info;



    if (avctx->active_thread_type & FF_THREAD_SLICE)  {

        SliceThreadContext *p = avctx->internal->thread_ctx;

        p->thread_count  = avctx->thread_count;

        p->entries       = av_mallocz_array(list, sizeof(int));



        if (!p->entries) {

            return AVERROR(ENOMEM);

        }



        p->entries_count  = list;

        p->progress_mutex = av_malloc_array(p->thread_count, sizeof(pthread_mutex_t));

        p->progress_cond  = av_malloc_array(p->thread_count, sizeof(pthread_cond_t));



        for (info = 0; info < p->thread_count; info++) {

            pthread_mutex_init(&p->progress_mutex[info], NULL);

            pthread_cond_init(&p->progress_cond[info], NULL);

        }

    }



    return 0;

}
",156.0,36.0,"count:list,i:info,",127.0,0.0676539619763692,Greedy
