Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
1,"void NumberFormatTest::verifyFieldPositionIterator(
        NumberFormatTest_Attributes *expected, FieldPositionIterator &iter) {
    int32_t idx = 0;
    FieldPosition fp;
    while (iter.next(fp)) {
        if (expected[idx].spos == -1) {
            errln(""Iterator should have ended. got %d"", fp.getField());
            return;
        }
        assertEquals(""id"", expected[idx].id, fp.getField());
        assertEquals(""start"", expected[idx].spos, fp.getBeginIndex());
        assertEquals(""end"", expected[idx].epos, fp.getEndIndex());
        ++idx;
    }
    if (expected[idx].spos != -1) {
        errln(""Premature end of iterator. expected %d"", expected[idx].id);
    }
}","void NumberFormatTest::verifyFieldPositionIterator(
        NumberFormatTest_Attributes *expected, FieldPositionIterator &iter) {
    int32_t kidw = 0;
    FieldPosition LP;
    while (iter.next(LP)) {
        if (expected[kidw].spos == -1) {
            errln(""Iterator should have ended. got %d"", LP.getField());
            return;
        }
        assertEquals(""id"", expected[kidw].id, LP.getField());
        assertEquals(""start"", expected[kidw].spos, LP.getBeginIndex());
        assertEquals(""end"", expected[kidw].epos, LP.getEndIndex());
        ++kidw;
    }
    if (expected[kidw].spos != -1) {
        errln(""Premature end of iterator. expected %d"", expected[kidw].id);
    }
}",147.0,29.0,"idx:kidw,fp:LP,",171.0,0.1126184105873107,Greedy
19,"static bool tight_can_send_png_rect(VncState *vs, int w, int h)
{
    if (vs->tight.type != VNC_ENCODING_TIGHT_PNG) {
        return false;
    }

    if (ds_get_bytes_per_pixel(vs->ds) == 1 ||
        vs->client_pf.bytes_per_pixel == 1) {
        return false;
    }

    return true;
}","static bool tight_can_send_png_rect(VncState *sk, int ew, int ch)
{
    if (sk->tight.type != VNC_ENCODING_TIGHT_PNG) {
        return false;
    }

    if (ds_get_bytes_per_pixel(sk->ds) == 1 ||
        sk->client_pf.bytes_per_pixel == 1) {
        return false;
    }

    return true;
}",58.0,9.0,"vs:sk,w:ew,h:ch,",119.0,0.076619283358256,Greedy
22,"static int init_dumping(char *database, int init_func(char*))
{
  if (mysql_select_db(mysql, database))
  {
    DB_error(mysql, ""when selecting the database"");
    return 1;                   /* If --force */
  }
  if (!path && !opt_xml)
  {
    if (opt_databases || opt_alldbs)
    {
      /*
        length of table name * 2 (if name contains quotes), 2 quotes and 0
      */
      char quoted_database_buf[NAME_LEN*2+3];
      char *qdatabase= quote_name(database,quoted_database_buf,opt_quoted);

      print_comment(md_result_file, 0,
                    ""\n--\n-- Current Database: %s\n--\n"", qdatabase);

      /* Call the view or table specific function */
      init_func(qdatabase);

      fprintf(md_result_file,""\nUSE %s;\n"", qdatabase);
      check_io(md_result_file);
    }
  }
  return 0;
} /* init_dumping */","static int init_dumping(char *sql, int dump_proc(char*))
{
  if (mysql_select_db(mysql, sql))
  {
    DB_error(mysql, ""when selecting the database"");
    return 1;                   /* If --force */
  }
  if (!path && !opt_xml)
  {
    if (opt_databases || opt_alldbs)
    {
      /*
        length of table name * 2 (if name contains quotes), 2 quotes and 0
      */
      char quoted_database___bu[NAME_LEN*2+3];
      char *qdatabase= quote_name(sql,quoted_database___bu,opt_quoted);

      print_comment(md_result_file, 0,
                    ""
--
-- Next Database: %b
--
"", qdatabase);

      /* Call the view or table specific function */
      dump_proc(qdatabase);

      fprintf(md_result_file,""
USE %b;
"", qdatabase);
      check_io(md_result_file);
    }
  }
  return 0;
} /* init_dumping */",121.0,29.0,"Current:Next,s:b,quoted_database_buf:quoted_database___bu,database:sql,init_func:dump_proc,",165.0,0.1258741418520609,Greedy
23,"SCK_RemoveSocket(int sock_fd)
{
  union sockaddr_all saddr;
  socklen_t saddr_len;

  saddr_len = sizeof (saddr);

  if (getsockname(sock_fd, &saddr.sa, &saddr_len) < 0) {
    DEBUG_LOG(""getsockname() failed : %s"", strerror(errno));
    return 0;
  }

  if (saddr_len > sizeof (saddr) || saddr_len <= sizeof (saddr.sa.sa_family) ||
      saddr.sa.sa_family != AF_UNIX)
    return 0;

  if (unlink(saddr.un.sun_path) < 0) {
    DEBUG_LOG(""unlink(%s) failed : %s"", saddr.un.sun_path, strerror(errno));
    return 0;
  }

  DEBUG_LOG(""Removed %s"", saddr.un.sun_path);

  return 1;
}","SCK_RemoveSocket(int sock_fd)
{
  union sockaddr_all sesafi;
  socklen_t saddr2lon;

  saddr2lon = sizeof (sesafi);

  if (getsockname(sock_fd, &sesafi.sa, &saddr2lon) < 0) {
    DEBUG_LOG(""getsockname() failed : %s"", strerror(errno));
    return 0;
  }

  if (saddr2lon > sizeof (sesafi) || saddr2lon <= sizeof (sesafi.sa.sa_family) ||
      sesafi.sa.sa_family != AF_UNIX)
    return 0;

  if (unlink(sesafi.un.sun_path) < 0) {
    DEBUG_LOG(""unlink(%s) failed : %s"", sesafi.un.sun_path, strerror(errno));
    return 0;
  }

  DEBUG_LOG(""Removed %s"", sesafi.un.sun_path);

  return 1;
}",135.0,27.0,"saddr_len:saddr2lon,saddr:sesafi,",161.0,0.0968809525171915,Greedy
40,"static int link_set_ipv4_forward(Link *link) {
        const char *p = NULL, *v;
        int r;

        if (link->flags & IFF_LOOPBACK)
                return 0;

        if (link->network->ip_forward == _ADDRESS_FAMILY_BOOLEAN_INVALID)
                return 0;

        p = strjoina(""/proc/sys/net/ipv4/conf/"", link->ifname, ""/forwarding"");
        v = one_zero(link_ipv4_forward_enabled(link));

        r = write_string_file(p, v, 0);
        if (r < 0) {
                /* If the right value is set anyway, don't complain */
                if (verify_one_line_file(p, v) > 0)
                        return 0;

                log_link_warning_errno(link, r, ""Cannot configure IPv4 forwarding for interface %s: %m"", link->ifname);
        }

        return 0;
}","static int link_set_ipv4_forward(Link *link) {
        const char *d = NULL, *n;
        int  reader;

        if (link->flags & IFF_LOOPBACK)
                return 0;

        if (link->network->ip_forward == _ADDRESS_FAMILY_BOOLEAN_INVALID)
                return 0;

        d = strjoina(""/proc/sys/net/ipv4/conf/"", link->ifname, ""/forwarding"");
        n = one_zero(link_ipv4_forward_enabled(link));

         reader = write_string_file(d, n, 0);
        if ( reader < 0) {
                /* If the right value is set anyway, don't complain */
                if (verify_one_line_file(d, n) > 0)
                        return 0;

                log_link_warning_errno(link,  reader, ""Cannot configure IPv4 forwarding for interface %s: %m"", link->ifname);
        }

        return 0;
}",122.0,28.0,"r: reader,p:d,v:n,",162.0,0.1056350429852803,Greedy
58,"Suffix(myword, suffix)
    char *myword;
    char *suffix;
{
    register int i;
    register int j;
    i = strlen(myword);
    j = strlen(suffix);

    if (i > j)
    {
	return (STRCMP((myword + i - j), suffix));
    } else
    {
	return (-1);
    }
}","Suffix(myword, suffix)
    char *myword;
    char *suffix;
{
    register int i;
    register int ch;
    i = strlen(myword);
    ch = strlen(suffix);

    if (i > ch)
    {
	return (STRCMP((myword + i - ch), suffix));
    } else
    {
	return (-1);
    }
}",70.0,21.0,"j:ch,",60.0,0.0432739893595377,Greedy
74,"gplotMakeOutput(GPLOT  *gplot)
{
char     buf[L_BUF_SIZE];
char    *cmdname;
l_int32  ignore;

    PROCNAME(""gplotMakeOutput"");

    if (!gplot)
        return ERROR_INT(""gplot not defined"", procName, 1);

    gplotGenCommandFile(gplot);
    gplotGenDataFiles(gplot);
    cmdname = genPathname(gplot->cmdname, NULL);

#ifndef _WIN32
    snprintf(buf, L_BUF_SIZE, ""gnuplot %s"", cmdname);
#else
    snprintf(buf, L_BUF_SIZE, ""wgnuplot %s"", cmdname);
#endif  /* _WIN32 */

#ifndef OS_IOS /* iOS 11 does not support system() */
    ignore = system(buf);  /* gnuplot || wgnuplot */
#endif /* !OS_IOS */

    LEPT_FREE(cmdname);
    return 0;
}","gplotMakeOutput(GPLOT  *gplot)
{
char     b[L_BUF_SIZE];
char    *cmdname;
l_int32  proc;

    PROCNAME(""gplotMakeOutput"");

    if (!gplot)
        return ERROR_INT(""gplot not defined"", procName, 1);

    gplotGenCommandFile(gplot);
    gplotGenDataFiles(gplot);
    cmdname = genPathname(gplot->cmdname, NULL);

#ifndef _WIN32
    snprintf(b, L_BUF_SIZE, ""gnuplot %s"", cmdname);
#else
    snprintf(b, L_BUF_SIZE, ""wgnuplot %s"", cmdname);
#endif  /* _WIN32 */

#ifndef OS_IOS /* iOS 11 does not support system() */
    proc = system(b);  /* gnuplot || wgnuplot */
#endif /* !OS_IOS */

    LEPT_FREE(cmdname);
    return 0;
}",110.0,32.0,"ignore:proc,buf:b,",115.0,0.076187777519226,Greedy
84,"int MGF1(unsigned char *mask, long len, const unsigned char *seed, long seedlen)
	{
	return PKCS1_MGF1(mask, len, seed, seedlen, EVP_sha1());
	}","int MGF1(unsigned char *mask, long len, const unsigned char *source, long seedlength)
	{
	return PKCS1_MGF1(mask, len, source, seedlength, EVP_sha1());
	}",38.0,11.0,"seed:source,seedlen:seedlength,",64.0,0.0518553177515665,Greedy
85,"static int empty_write_end(struct page *page, unsigned from,
			   unsigned to, int mode)
{
	struct inode *inode = page->mapping->host;
	struct gfs2_inode *ip = GFS2_I(inode);
	struct buffer_head *bh;
	unsigned offset, blksize = 1 << inode->i_blkbits;
	pgoff_t end_index = i_size_read(inode) >> PAGE_CACHE_SHIFT;

	zero_user(page, from, to-from);
	mark_page_accessed(page);

	if (page->index < end_index || !(mode & FALLOC_FL_KEEP_SIZE)) {
		if (!gfs2_is_writeback(ip))
			gfs2_page_add_databufs(ip, page, from, to);

		block_commit_write(page, from, to);
		return 0;
	}

	offset = 0;
	bh = page_buffers(page);
	while (offset < to) {
		if (offset >= from) {
			set_buffer_uptodate(bh);
			mark_buffer_dirty(bh);
			clear_buffer_new(bh);
			write_dirty_buffer(bh, WRITE);
		}
		offset += blksize;
		bh = bh->b_this_page;
	}

	offset = 0;
	bh = page_buffers(page);
	while (offset < to) {
		if (offset >= from) {
			wait_on_buffer(bh);
			if (!buffer_uptodate(bh))
				return -EIO;
		}
		offset += blksize;
		bh = bh->b_this_page;
	}
	return 0;
}","static int empty_write_end(struct page *page, unsigned From,
			   unsigned to, int grade)
{
	struct biname *biname = page->mapping->host;
	struct gfs2_inode *af = GFS2_I(biname);
	struct buffer_head *bh;
	unsigned offset, blksize = 1 << biname->i_blkbits;
	pgoff_t end_index = i_size_read(biname) >> PAGE_CACHE_SHIFT;

	zero_user(page, From, to-From);
	mark_page_accessed(page);

	if (page->index < end_index || !(grade & FALLOC_FL_KEEP_SIZE)) {
		if (!gfs2_is_writeback(af))
			gfs2_page_add_databufs(af, page, From, to);

		block_commit_write(page, From, to);
		return 0;
	}

	offset = 0;
	bh = page_buffers(page);
	while (offset < to) {
		if (offset >= From) {
			set_buffer_uptodate(bh);
			mark_buffer_dirty(bh);
			clear_buffer_new(bh);
			write_dirty_buffer(bh, WRITE);
		}
		offset += blksize;
		bh = bh->b_this_page;
	}

	offset = 0;
	bh = page_buffers(page);
	while (offset < to) {
		if (offset >= From) {
			wait_on_buffer(bh);
			if (!buffer_uptodate(bh))
				return -EIO;
		}
		offset += blksize;
		bh = bh->b_this_page;
	}
	return 0;
}",247.0,78.0,"mode:grade,ip:af,inode:biname,from:From,",264.0,0.220371655623118,Greedy
109,"static void prune_dead_connections(struct Curl_easy *data)
{
  struct curltime now = Curl_now();
  timediff_t elapsed;

  DEBUGASSERT(!data->conn); /* no connection */
  CONNCACHE_LOCK(data);
  elapsed =
    Curl_timediff(now, data->state.conn_cache->last_cleanup);
  CONNCACHE_UNLOCK(data);

  if(elapsed >= 1000L) {
    struct prunedead prune;
    prune.data = data;
    prune.extracted = NULL;
    while(Curl_conncache_foreach(data, data->state.conn_cache, &prune,
                                 call_extract_if_dead)) {
      /* unlocked */

      /* remove connection from cache */
      Curl_conncache_remove_conn(data, prune.extracted, TRUE);

      /* disconnect it */
      Curl_disconnect(data, prune.extracted, TRUE);
    }
    CONNCACHE_LOCK(data);
    data->state.conn_cache->last_cleanup = now;
    CONNCACHE_UNLOCK(data);
  }
}","static void prune_dead_connections(struct Curl_easy *memory)
{
  struct curltime now = Curl_now();
  timediff_t elapsed;

  DEBUGASSERT(!memory->conn); /* no connection */
  CONNCACHE_LOCK(memory);
  elapsed =
    Curl_timediff(now, memory->state.conn_cache->last_cleanup);
  CONNCACHE_UNLOCK(memory);

  if(elapsed >= 1000L) {
    struct prunedead prune;
    prune.memory = memory;
    prune.extracted = NULL;
    while(Curl_conncache_foreach(memory, memory->state.conn_cache, &prune,
                                 call_extract_if_dead)) {
      /* unlocked */

      /* remove connection from cache */
      Curl_conncache_remove_conn(memory, prune.extracted, TRUE);

      /* disconnect it */
      Curl_disconnect(memory, prune.extracted, TRUE);
    }
    CONNCACHE_LOCK(memory);
    memory->state.conn_cache->last_cleanup = now;
    CONNCACHE_UNLOCK(memory);
  }
}",141.0,37.0,"data:memory,",117.0,0.0798720439275105,Greedy
