Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost
2,"void RenderFrameImpl::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}","void arg2::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* MP_AUDIO_BASE = RenderThreadImpl::current_blink_platform_impl();
      MP_AUDIO_BASE->nvdimm_build_device_dsm()->BindInterface(MP_AUDIO_BASE->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}",,,254,
5," static void addDataToStreamTask(void* context)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = adoptPtr(static_cast<BlobRegistryContext*>(context));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }"," static void addDataToStreamTask(void* context)
 {
     elf_note_info<BlobRegistryContext> host_features = visit(static_cast<BlobRegistryContext*>(context));
    blobRegistry().addDataToStream(host_features->url, host_features->streamData);
 }",,,256,
9,"bool TopSitesImpl::IsKnownURL(const GURL& url) {
  return loaded_ && cache_->IsKnownURL(url);
}","bool VuVirtq::IsKnownURL(const rsp_len& url) {
  return loaded_ && cache_->IsKnownURL(url);
}",,,250,
11,"		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}","		void fw_cfg_properties::UNIN_DPRINTF(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}",,,254,
19,"bool SocketStream::is_secure() const {
  return url_.SchemeIs(""wss"");
 }","bool enc::is_secure() const {
  return usb_msd_realize_storage.SchemeIs(""wss"");
 }",,,255,
21,"void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
}","void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               MotionPixelsContext script) {
  settings->pio_readl(font, script);
}",,,251,
27,"status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *pArg = ptr;
 return ret;
}","status_t Parcel::readPointer(uintptr_t *nc) const
{
 status_t ret;
 acoder ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *nc = ptr;
 return ret;
}",,,254,
35,"void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;
	mutex_lock(&local->sta_mtx);
	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;
		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);
			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);
			WARN_ON(__sta_info_destroy(sta));
		}
	}
	mutex_unlock(&local->sta_mtx);
}","void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long asl_file)
{
	struct ieee80211_local *QTYPE_QDICT = sdata->QTYPE_QDICT;
	struct sta_info *sta, *tmp;
	mutex_lock(&QTYPE_QDICT->sta_mtx);
	pci_config_set_revision(sta, tmp, &QTYPE_QDICT->sta_list, list) {
		if (sdata != sta->sdata)
			continue;
		if (time_after(jiffies, sta->last_rx + asl_file)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM
"",
				sta->sta.addr);
			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);
			WARN_ON(__sta_info_destroy(sta));
		}
	}
	mutex_unlock(&QTYPE_QDICT->sta_mtx);
}",,,312,
38," void ServiceWorkerPaymentInstrument::OnPaymentAppInvoked(
     mojom::PaymentHandlerResponsePtr response) {
  DCHECK(delegate_);
   if (delegate_ != nullptr) {
     delegate_->OnInstrumentDetailsReady(response->method_name,
                                         response->stringified_details);
    delegate_ = nullptr;
  }
}"," void ServiceWorkerPaymentInstrument::spapr_phb_remove_pci_device(
     mojom::PaymentHandlerResponsePtr response) {
  DCHECK(delegate_);
   if (delegate_ != drc) {
     delegate_->OnInstrumentDetailsReady(response->method_name,
                                         response->stringified_details);
    delegate_ = drc;
  }
}",,,310,
46,"struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	return NULL;
}","struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *LOAD_LIBRARY_AS_DATAFILE = alloc_skb(size, priority);
		if (LOAD_LIBRARY_AS_DATAFILE) {
			skb_set_owner_w(LOAD_LIBRARY_AS_DATAFILE, sk);
			return LOAD_LIBRARY_AS_DATAFILE;
		}
	}
	return NULL;
}",,,256,
