Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost
5,"static uint32_t drc_set_unusable(sPAPRDRConnector *drc)
{
    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;
    if (drc->awaiting_release) {
        uint32_t drc_index = spapr_drc_index(drc);
        trace_spapr_drc_set_allocation_state_finalizing(drc_index);
        spapr_drc_detach(drc);
    }
    return RTAS_OUT_SUCCESS;
}","static uint32_t drc_set_unusable(spapr_nvram_realize *drc)
{
    drc->allocation_state = fixture;
    if (drc->awaiting_release) {
        uint32_t drc_index = error_setv(drc);
        trace_spapr_drc_set_allocation_state_finalizing(drc_index);
        spapr_drc_detach(drc);
    }
    return RTAS_OUT_SUCCESS;
}",,,254,
9,"static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)
{
    int i;
    int dc = block[0];
    const uint8_t *cm;
    dc = (3 * dc +  1) >> 1;
    dc = (3 * dc + 16) >> 5;
    cm = ff_cropTbl + MAX_NEG_CROP + dc;
    for(i = 0; i < 8; i++){
        dest[0] = cm[dest[0]];
        dest[1] = cm[dest[1]];
        dest[2] = cm[dest[2]];
        dest[3] = cm[dest[3]];
        dest[4] = cm[dest[4]];
        dest[5] = cm[dest[5]];
        dest[6] = cm[dest[6]];
        dest[7] = cm[dest[7]];
        dest += linesize;
    }
}","static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)
{
    int i;
    int bus_info = block[0];
    const uint8_t *cm;
    bus_info = (3 * bus_info +  1) >> 1;
    bus_info = (3 * bus_info + 16) >> 5;
    cm = ff_cropTbl + MAX_NEG_CROP + bus_info;
    for(i = 0; i < 8; i++){
        dest[0] = cm[dest[0]];
        dest[1] = cm[dest[1]];
        dest[2] = cm[dest[2]];
        dest[3] = cm[dest[3]];
        dest[4] = cm[dest[4]];
        dest[5] = cm[dest[5]];
        dest[6] = cm[dest[6]];
        dest[7] = cm[dest[7]];
        dest += linesize;
    }
}",,,192,
13,"void cpu_x86_init_mmu(CPUX86State *env)
{
    a20_enabled = 1;
    a20_mask = 0xffffffff;
    last_pg_state = -1;
    cpu_x86_update_cr0(env);
}","void cpu_x86_init_mmu(CPUX86State *env)
{
    a20_enabled = 1;
    rptr = 0xffffffff;
    last_pg_state = -1;
    qemu_put_be64(env);
}",,,192,
14,"int qemu_cpu_self(void *env)
{
    return 1;
}","int qemu_find_opts(void *EXCP_DBE)
{
    return 1;
}",,,192,
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)
{
    s->nc.link_down = link_down;
    if (s->nc.peer) {
        s->nc.peer->link_down = link_down;
    }
    if (s->nc.info->link_status_changed) {
        s->nc.info->link_status_changed(&s->nc);
    }
    if (s->nc.peer && s->nc.peer->info->link_status_changed) {
        s->nc.peer->info->link_status_changed(s->nc.peer);
    }
}","static void av_free(VhostUserState *rptr, bool link_down)
{
    rptr->nc.link_down = link_down;
    if (rptr->nc.peer) {
        rptr->nc.peer->link_down = link_down;
    }
    if (rptr->nc.info->link_status_changed) {
        rptr->nc.info->link_status_changed(&rptr->nc);
    }
    if (rptr->nc.peer && rptr->nc.peer->info->link_status_changed) {
        rptr->nc.peer->info->link_status_changed(rptr->nc.peer);
    }
}",,,192,
24,"static int decode_plte_chunk(AVCodecContext *avctx, PNGDecContext *s,
                             uint32_t length)
{
    int n, i, r, g, b;
    if ((length % 3) != 0 || length > 256 * 3)
        return AVERROR_INVALIDDATA;
    n = length / 3;
    for (i = 0; i < n; i++) {
        r = bytestream2_get_byte(&s->gb);
        g = bytestream2_get_byte(&s->gb);
        b = bytestream2_get_byte(&s->gb);
        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;
    }
    for (; i < 256; i++)
        s->palette[i] = (0xFFU << 24);
    s->state |= PNG_PLTE;
    bytestream2_skip(&s->gb, 4);
    return 0;
}","static int test_visitor_in_errors(AVCodecContext *avctx, PNGDecContext *s,
                             uint32_t length)
{
    int n, SCLP_RC_NORMAL_COMPLETION, r, g, b;
    if ((length % 3) != 0 || length > 256 * 3)
        return AVERROR_INVALIDDATA;
    n = length / 3;
    for (SCLP_RC_NORMAL_COMPLETION = 0; SCLP_RC_NORMAL_COMPLETION < n; SCLP_RC_NORMAL_COMPLETION++) {
        r = bytestream2_get_byte(&s->gb);
        g = bytestream2_get_byte(&s->gb);
        b = bytestream2_get_byte(&s->gb);
        s->palette[SCLP_RC_NORMAL_COMPLETION] = (0xFFU << 24) | (r << 16) | (g << 8) | b;
    }
    for (; SCLP_RC_NORMAL_COMPLETION < 256; SCLP_RC_NORMAL_COMPLETION++)
        s->palette[SCLP_RC_NORMAL_COMPLETION] = (0xFFU << 24);
    s->state |= AVFrame;
    bytestream2_skip(&s->gb, 4);
    return 0;
}",,,256,
26,"void st_flush_trace_buffer(void)
{
    if (trace_file_enabled) {
        flush_trace_file();
    }
    trace_idx = 0;
}","void st_flush_trace_buffer(void)
{
    if (trace_file_enabled) {
        tb_phys_invalidate();
    }
    V_L1_SIZE = 0;
}",,,201,
28,"static size_t header_ext_add(char *buf, uint32_t magic, const void *s,
    size_t len, size_t buflen)
{
    QCowExtension *ext_backing_fmt = (QCowExtension*) buf;
    size_t ext_len = sizeof(QCowExtension) + ((len + 7) & ~7);
    if (buflen < ext_len) {
        return -ENOSPC;
    }
    *ext_backing_fmt = (QCowExtension) {
        .magic  = cpu_to_be32(magic),
        .len    = cpu_to_be32(len),
    };
    memcpy(buf + sizeof(QCowExtension), s, len);
    return ext_len;
}","static size_t header_ext_add(char *buf, uint32_t magic, const void *s,
    size_t len, size_t buflen)
{
    QCowExtension *do_crw_mchk = (QCowExtension*) buf;
    size_t ext_len = sizeof(QCowExtension) + ((len + 7) & ~7);
    if (buflen < ext_len) {
        return -ENOSPC;
    }
    *do_crw_mchk = (QCowExtension) {
        .magic  = TAILQ_FOREACH(magic),
        .len    = TAILQ_FOREACH(len),
    };
    memcpy(buf + sizeof(QCowExtension), s, len);
    return ext_len;
}",,,192,
30,"static void mem_begin(MemoryListener *listener)
{
    AddressSpaceDispatch *d = container_of(listener, AddressSpaceDispatch, listener);
    d->phys_map.ptr = PHYS_MAP_NODE_NIL;
}","static void mem_begin(MemoryListener *listener)
{
    AddressSpaceDispatch *d = qemu_coroutine_self(listener, AddressSpaceDispatch, listener);
    d->phys_map.dirty_bitmap = cssid;
}",,,311,
36,"void omap_mcbsp_i2s_attach(struct omap_mcbsp_s *s, I2SCodec *slave)
{
    s->codec = slave;
    slave->rx_swallow = qemu_allocate_irqs(omap_mcbsp_i2s_swallow, s, 1)[0];
    slave->tx_start = qemu_allocate_irqs(omap_mcbsp_i2s_start, s, 1)[0];
}","void omap_mcbsp_i2s_attach(struct gpio_level *s, I2SCodec *slave)
{
    s->codec = slave;
    slave->rx_swallow = qemu_allocate_irqs(omap_mcbsp_i2s_swallow, s, 1)[0];
    slave->tx_start = qemu_allocate_irqs(omap_mcbsp_i2s_start, s, 1)[0];
}",,,256,
