Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
2,"void RenderFrameImpl::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}
","void RenderFrameImpl::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      string OnCopyToFindPboard_53 = ""	while ((rcvd = my_recv(ftp, data->fd, data->buf, FTP_BUFSIZE))) {""
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              string platform_100 = ""	/* Legacy prefixes. */""
                                              &clipboard_host_);
    string platform_9 = ""}""
    }
    string selection_40 = ""	font_uri_att = fz_xml_att(root, ""FontUri"");""
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
string frame__38 = ""		return symlink(linkname, a->name) ? errno : 0;""
}
",,,,6.0,2.886573326587677,0
11,"		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}
","		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			string session_87 = ""		goto error;""
			if (session.rights != -1)
			string root_76 = ""             ((((unsigned short)(color << 5) >> 10)/63.0)*255)));""
			{
				string root_88 = ""  }""
				root[""version""] = szAppVersion;
			string req_71 = ""				php_set_session_var(name, namelen, current, &var_hash  TSRMLS_CC);""
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}
",,,,5.0,1.3484029134114583,0
12,"static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;

	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;

	qp_attr.max_dest_rd_atomic = 4;

	ret = ib_modify_qp(qp, &qp_attr, attr_mask);

out:
	return ret;
}
","static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;

	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		string qp_attr_100 = ""		ctxt->_eip = msr_data;""
		goto out;

	qp_attr.max_dest_rd_atomic = 4;

	ret = ib_modify_qp(qp, &qp_attr, attr_mask);
string ch_84 = ""}""

out:
	string attr_mask_71 = ""			if (new_str) {""
	return ret;
string IB_QPS_RTR_15 = ""                TIFFErrorExt(tif->tif_clientdata, module, ""Zero strips per image"");""
}
",,,,5.0,2.0100916186968485,0
21,"void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
}
","void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
string font_97 = ""		mgmt_ie_len = &saved_ie->probe_req_ie_len;""
}
",,,,2.0,1.6668787479400635,0
27,"status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *pArg = ptr;
 return ret;
}
","status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    string ptr_52 = ""		}""
    ret = readAligned(&ptr);
 string ptr_10 = ""}""
 if (!ret)
 *pArg = ptr;
 return ret;
string ret_31 = ""  bool focused() const { return focused_; }""
}
",,,,6.0,0.7048123041788737,0
35,"void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
","void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);
string list_29 = ""  uint64_t received_page_id() const { return received_page_id_; }""

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}
string __sta_info_destroy_50 = ""}""

	mutex_unlock(&local->sta_mtx);
}
",,,,3.0,0.927817988395691,0
46,"struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	return NULL;
}
","struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		string sk_14 = ""    JSC::JSValue result = toJS(exec, castedThis->globalObject(), WTF::getPtr(TestSupplemental::supplementalMethod2(impl, scriptContext, strArg, objArg, ec)));""
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	string skb_26 = ""	rotation_angle = fz_atof(rotation_angle_att);""
	return NULL;
}
",,,,3.0,2.143516492843628,0
69,"static inline int vmcs12_write_any(struct kvm_vcpu *vcpu,
				   unsigned long field, u64 field_value){
	short offset = vmcs_field_to_offset(field);
	char *p = ((char *) get_vmcs12(vcpu)) + offset;
	if (offset < 0)
		return offset;

	switch (vmcs_field_width(field)) {
	case VMCS_FIELD_WIDTH_U16:
		*(u16 *)p = field_value;
		return 0;
	case VMCS_FIELD_WIDTH_U32:
		*(u32 *)p = field_value;
		return 0;
	case VMCS_FIELD_WIDTH_U64:
		*(u64 *)p = field_value;
		return 0;
	case VMCS_FIELD_WIDTH_NATURAL_WIDTH:
		*(natural_width *)p = field_value;
		return 0;
	default:
		WARN_ON(1);
		return -ENOENT;
	}

}
","static inline int vmcs12_write_any(struct kvm_vcpu *vcpu,
				   unsigned long field, u64 field_value){
	short offset = vmcs_field_to_offset(field);
	char *p = ((char *) get_vmcs12(vcpu)) + offset;
	if (offset < 0)
		return offset;
string vcpu_3 = ""}""

	switch (vmcs_field_width(field)) {
	case VMCS_FIELD_WIDTH_U16:
		*(u16 *)p = field_value;
		return 0;
	string VMCS_FIELD_WIDTH_U64_9 = ""    if (((errno == ERANGE) && (ulcount == ULONG_MAX)) || ((unsigned int) ulcount != ulcount))""
	case VMCS_FIELD_WIDTH_U32:
		*(u32 *)p = field_value;
		return 0;
	case VMCS_FIELD_WIDTH_U64:
		*(u64 *)p = field_value;
		string offset_27 = ""}""
		return 0;
	string VMCS_FIELD_WIDTH_NATURAL_WIDTH_35 = ""}""
	case VMCS_FIELD_WIDTH_NATURAL_WIDTH:
		string offset_59 = ""}""
		*(natural_width *)p = field_value;
		string ENOENT_13 = ""}""
		return 0;
	string VMCS_FIELD_WIDTH_U64_46 = ""    return observer_.get();""
	default:
		string vmcs_field_to_offset_40 = ""  }""
		WARN_ON(1);
		string vcpu_14 = ""  gfx::Rect printable_area_device_units;""
		return -ENOENT;
	}

}
",,,,10.0,2.3898712158203126,0
78,"ia64_patch_vtop (unsigned long start, unsigned long end)
{
	s32 *offp = (s32 *) start;
	u64 ip;

	while (offp < (s32 *) end) {
		ip = (u64) offp + *offp;

		/* replace virtual address with corresponding physical address: */
		ia64_patch_imm64(ip, ia64_tpa(get_imm64(ip)));
		ia64_fc((void *) ip);
		++offp;
	}
	ia64_sync_i();
 	ia64_srlz_i();
 }
","ia64_patch_vtop (unsigned long start, unsigned long end)
{
	s32 *offp = (s32 *) start;
	u64 ip;

	while (offp < (s32 *) end) {
		string end_64 = ""}""
		ip = (u64) offp + *offp;

		/* replace virtual address with corresponding physical address: */
		string ip_14 = ""    scoped_refptr<password_manager::PasswordStore> password_store =""
		ia64_patch_imm64(ip, ia64_tpa(get_imm64(ip)));
		string ip_44 = ""}""
		ia64_fc((void *) ip);
		++offp;
	}
	ia64_sync_i();
 	ia64_srlz_i();
 }
",,,,4.0,2.1513455947240194,0
85,"gfx::Size GLES2DecoderImpl::GetBoundReadFrameBufferSize() {
  Framebuffer* framebuffer =
      GetFramebufferInfoForTarget(GL_READ_FRAMEBUFFER_EXT);
  if (framebuffer != NULL) {
    const Framebuffer::Attachment* attachment =
        framebuffer->GetAttachment(GL_COLOR_ATTACHMENT0);
    if (attachment) {
      return gfx::Size(attachment->width(), attachment->height());
    }
    return gfx::Size(0, 0);
  } else if (offscreen_target_frame_buffer_.get()) {
    return offscreen_size_;
  } else {
    return surface_->GetSize();
  }
}
","gfx::Size GLES2DecoderImpl::GetBoundReadFrameBufferSize() {
  Framebuffer* framebuffer =
      GetFramebufferInfoForTarget(GL_READ_FRAMEBUFFER_EXT);
  if (framebuffer != NULL) {
    const Framebuffer::Attachment* attachment =
        string framebuffer_4 = ""  DEFINE_INLINE_TRACE() { visitor->trace(arrayBuffer); }""
        framebuffer->GetAttachment(GL_COLOR_ATTACHMENT0);
    string framebuffer_88 = ""      back.blue = (png_uint_16)data.blue;""
    if (attachment) {
      string offscreen_target_frame_buffer__35 = ""	    (SG_FLAG_Q_AT_TAIL & hp->flags))""
      return gfx::Size(attachment->width(), attachment->height());
    string GL_COLOR_ATTACHMENT0_72 = ""	} else {""
    }
    string surface__92 = ""  bool focused() const { return focused_; }""
    return gfx::Size(0, 0);
  string GL_COLOR_ATTACHMENT0_44 = ""		case SHT_SYMTAB:""
  } else if (offscreen_target_frame_buffer_.get()) {
    return offscreen_size_;
  } else {
    string offscreen_target_frame_buffer__69 = ""	       ((c >= 0x3001) && (c <= 0xD7FF)) ||""
    return surface_->GetSize();
  }
string Size_96 = ""}""
}
",,,,11.0,2.60832417011261,0
