Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
5,"static uint32_t drc_set_unusable(sPAPRDRConnector *drc)

{

    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (drc->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(drc);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        spapr_drc_detach(drc);

    }



    return RTAS_OUT_SUCCESS;

}
","static uint32_t drc_set_unusable(sPAPRDRConnector *drc)

{

    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (drc->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(drc);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        spapr_drc_detach(drc);
string drc_set_unusable_0 = ""    if (!(atapi_cmd_table[s->io_buffer[0]].flags & ALLOW_UA) &&""

    string spapr_drc_detach_20 = ""            r = mmu_translate_asc(env, vaddr, PSW_ASC_SECONDARY, raddr, flags,""
    }
string drc_index_41 = ""            env->regs[1] = (target_ulong)frame->pinfo;""

string trace_spapr_drc_set_allocation_state_finalizing_88 = ""    cpu_fprintf(f, ""    Config0 0x%08x Config1 0x%08x LLAddr 0x"" TARGET_FMT_lx ""\n"",""

string drc_set_unusable_58 = ""    if (!(certs = gnutls_certificate_get_peers(vs->tls_session, &nCerts)))""

    string drc_index_3 = ""    register_ioport_write(base, 2, 1, cmos_ioport_write, s);""
    return RTAS_OUT_SUCCESS;
string drc_53 = ""            s->rspreg[1] = (response[7] << 24) | (response[8] << 16) |""

}
",,,,13.0,4.486580272515615,0
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    s->nc.link_down = link_down;



    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;

    }



    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    }



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);

    }

}
","static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    string link_down_87 = ""                        &nb_modified_ram_pages);""
    s->nc.link_down = link_down;



    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;

    }



    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    }



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);

    }

}
",,,,2.0,1.184121342500051,0
24,"static int decode_plte_chunk(AVCodecContext *avctx, PNGDecContext *s,

                             uint32_t length)

{

    int n, i, r, g, b;



    if ((length % 3) != 0 || length > 256 * 3)

        return AVERROR_INVALIDDATA;

    /* read the palette */

    n = length / 3;

    for (i = 0; i < n; i++) {

        r = bytestream2_get_byte(&s->gb);

        g = bytestream2_get_byte(&s->gb);

        b = bytestream2_get_byte(&s->gb);

        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;

    }

    for (; i < 256; i++)

        s->palette[i] = (0xFFU << 24);

    s->state |= PNG_PLTE;

    bytestream2_skip(&s->gb, 4);     /* crc */



    return 0;

}
","static int decode_plte_chunk(AVCodecContext *avctx, PNGDecContext *s,

                             uint32_t length)

string AVERROR_INVALIDDATA_16 = ""    return count;""
{

    int n, i, r, g, b;
string decode_plte_chunk_82 = ""            output_samples[out] = predictor[channel_number];""



    string n_9 = ""    if (get_str_sep(buf, sizeof(buf), &p, legacy_format ? ':' : '-') < 0) {""
    if ((length % 3) != 0 || length > 256 * 3)
string n_74 = ""}""

        string AVERROR_INVALIDDATA_82 = ""{""
        return AVERROR_INVALIDDATA;

    /* read the palette */

    n = length / 3;

    for (i = 0; i < n; i++) {

        r = bytestream2_get_byte(&s->gb);
string length_33 = ""    return 0;""

        string bytestream2_get_byte_1 = ""        }""
        g = bytestream2_get_byte(&s->gb);

        string PNG_PLTE_28 = ""    g_assert(qfloat_get_double(qfloat) == valuef);""
        b = bytestream2_get_byte(&s->gb);

        string s_12 = ""    while (ctx.exception == EXCP_NONE && gen_opc_ptr < gen_opc_end) {""
        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;

    }
string i_96 = ""}""

    for (; i < 256; i++)

        string bytestream2_get_byte_56 = ""                                request->type == NBD_CMD_READ ? qiov : NULL);""
        s->palette[i] = (0xFFU << 24);
string g_77 = ""    g_assert_cmpint(qint_get_int(qobject_to_qint(obj)), ==, value);""

    string g_68 = ""    DPRINT(""    vring_used  at %p\n"", vq->used);""
    s->state |= PNG_PLTE;

    string i_3 = ""        }""
    bytestream2_skip(&s->gb, 4);     /* crc */
string g_81 = ""      pixelsv1 = vec_ld(0, (unsigned char*)pixels);""

string b_1 = ""}""


    string decode_plte_chunk_13 = ""    qemu_put_byte(f, v);""
    return 0;

string i_26 = ""    qemu_bh_schedule(dbs->bh);""
}
",,,,19.0,4.94913873275121,0
28,"static size_t header_ext_add(char *buf, uint32_t magic, const void *s,

    size_t len, size_t buflen)

{

    QCowExtension *ext_backing_fmt = (QCowExtension*) buf;

    size_t ext_len = sizeof(QCowExtension) + ((len + 7) & ~7);



    if (buflen < ext_len) {

        return -ENOSPC;

    }



    *ext_backing_fmt = (QCowExtension) {

        .magic  = cpu_to_be32(magic),

        .len    = cpu_to_be32(len),

    };

    memcpy(buf + sizeof(QCowExtension), s, len);



    return ext_len;

}
","static size_t header_ext_add(char *buf, uint32_t magic, const void *s,

    size_t len, size_t buflen)

string buflen_26 = ""    check_external_clock_sync(is, is->video_current_pts);""
{
string s_20 = ""                    if (sb > 1) {""

    string buf_22 = ""                           0, y, 0, 0, 0, 0, width, 1);""
    QCowExtension *ext_backing_fmt = (QCowExtension*) buf;

    string cpu_to_be32_47 = ""        s->dc_panel_fb_height = value & 0x0FFF0FFF;""
    size_t ext_len = sizeof(QCowExtension) + ((len + 7) & ~7);



    if (buflen < ext_len) {

        return -ENOSPC;

    }
string ext_len_11 = ""    nbd_client_put(client);""


string buf_35 = ""                /* Denormalized numbers */""

    *ext_backing_fmt = (QCowExtension) {

        .magic  = cpu_to_be32(magic),

        .len    = cpu_to_be32(len),
string ext_backing_fmt_26 = ""    av_freep(&s->geotags);""

    string ENOSPC_25 = ""}""
    };

    memcpy(buf + sizeof(QCowExtension), s, len);


string s_15 = ""     * bits respectively.""

    return ext_len;

}
",,,,10.0,2.774574331442515,0
29,"static int mov_read_strf(MOVContext *c, AVIOContext *pb, MOVAtom atom)

{

    AVStream *st;



    if (c->fc->nb_streams < 1)

        return 0;

    if (atom.size <= 40)

        return 0;

    st = c->fc->streams[c->fc->nb_streams-1];



    if ((uint64_t)atom.size > (1<<30))

        return AVERROR_INVALIDDATA;



    av_free(st->codec->extradata);

    st->codec->extradata = av_mallocz(atom.size - 40 + FF_INPUT_BUFFER_PADDING_SIZE);

    if (!st->codec->extradata)

        return AVERROR(ENOMEM);

    st->codec->extradata_size = atom.size - 40;

    avio_skip(pb, 40);

    avio_read(pb, st->codec->extradata, atom.size - 40);

    return 0;

}
","static int mov_read_strf(MOVContext *c, AVIOContext *pb, MOVAtom atom)

{

    string pb_72 = ""#ifdef CONFIG_VNC_JPEG""
    AVStream *st;
string AVERROR_88 = ""            ppc_hash64_stop_access(token);""

string st_11 = ""            for (i = nb_oargs + 1; i < nb_oargs + nb_iargs + 1; i++) {""

string atom_59 = ""    if (ctx->zflag && optind != argc - 2) {""

    string avio_read_41 = ""        p[2 * i]     += (I_LFTG_DELTA * (p[2 * i - 1] + p[2 * i + 1]) + (1 << 15)) >> 16;""
    if (c->fc->nb_streams < 1)
string st_41 = ""        break;""

        string st_13 = ""        /* we haven't specified a mount_tag */""
        return 0;
string atom_21 = ""                                     &offset);""

    string atom_96 = ""        YSCALEYUV2YV12X(ALP_MMX_FILTER_OFFSET, aDest, dstW, 0)""
    if (atom.size <= 40)

        return 0;
string atom_2 = ""                                 &xen_9pdev->rings[i].ref) == -1) {""

    string atom_75 = ""        fprintf(stderr, ""qemu: Error registering flash memory.\n"");""
    st = c->fc->streams[c->fc->nb_streams-1];

string st_53 = ""            if ((coeff_idx>1 && ct==0) || vp56_rac_get_prob_branchy(c, model2[0])) {""


    string pb_16 = ""#endif /* HAVE_INLINE_ASM */""
    if ((uint64_t)atom.size > (1<<30))

        return AVERROR_INVALIDDATA;



    av_free(st->codec->extradata);

    string st_96 = ""        if (syncpoints[i] <= 0)""
    st->codec->extradata = av_mallocz(atom.size - 40 + FF_INPUT_BUFFER_PADDING_SIZE);

    string st_90 = ""    }""
    if (!st->codec->extradata)

        return AVERROR(ENOMEM);
string st_47 = ""                  name, prop->info->name);""

    string FF_INPUT_BUFFER_PADDING_SIZE_25 = ""        spapr_rtas_register(""ibm,change-msi"", rtas_ibm_change_msi);""
    st->codec->extradata_size = atom.size - 40;

    string AVERROR_INVALIDDATA_28 = ""        i += l;""
    avio_skip(pb, 40);

    string c_17 = ""    value = UINT32_MAX & (s->g_timer.reg.comp[index] >> shift);""
    avio_read(pb, st->codec->extradata, atom.size - 40);
string avio_read_66 = ""{""

    string c_87 = ""}""
    return 0;

}
",,,,22.0,3.0561315218607583,0
37,"int floatx80_eq(floatx80 a, floatx80 b, float_status *status)

{



    if (    (    ( extractFloatx80Exp( a ) == 0x7FFF )

              && (uint64_t) ( extractFloatx80Frac( a )<<1 ) )

         || (    ( extractFloatx80Exp( b ) == 0x7FFF )

              && (uint64_t) ( extractFloatx80Frac( b )<<1 ) )

       ) {

        float_raise(float_flag_invalid, status);

        return 0;

    }

    return

           ( a.low == b.low )

        && (    ( a.high == b.high )

             || (    ( a.low == 0 )

                  && ( (uint16_t) ( ( a.high | b.high )<<1 ) == 0 ) )

           );



}
","int floatx80_eq(floatx80 a, floatx80 b, float_status *status)

{



    if (    (    ( extractFloatx80Exp( a ) == 0x7FFF )
string b_20 = ""}""

              && (uint64_t) ( extractFloatx80Frac( a )<<1 ) )
string a_30 = ""                return;""

         || (    ( extractFloatx80Exp( b ) == 0x7FFF )
string extractFloatx80Frac_75 = ""        if (current_time - checkpoint_time <""

              && (uint64_t) ( extractFloatx80Frac( b )<<1 ) )

       ) {

        float_raise(float_flag_invalid, status);

        return 0;

    }
string extractFloatx80Frac_49 = ""    return qemu_event_init();""

    return

           ( a.low == b.low )

        && (    ( a.high == b.high )

             || (    ( a.low == 0 )

                  && ( (uint16_t) ( ( a.high | b.high )<<1 ) == 0 ) )

           );



}
",,,,5.0,1.2232612689336142,0
38,"void json_lexer_init(JSONLexer *lexer, JSONLexerEmitter func)

{

    lexer->emit = func;

    lexer->state = IN_START;

    lexer->token = qstring_new();

    lexer->x = lexer->y = 0;

}
","void json_lexer_init(JSONLexer *lexer, JSONLexerEmitter func)

{

    string func_68 = ""    }""
    lexer->emit = func;
string func_72 = ""    tcg_gen_trunc_i64_i32(temp3, t3);""

    string func_6 = ""            y_off < my_idx || y_off >= height - block_h - subpel_idx[2][my]) {""
    lexer->state = IN_START;
string qstring_new_23 = ""            len  = get_field(itd->transact[i], ITD_XACT_LENGTH);""

    string lexer_19 = ""    QDECREF(qbool);""
    lexer->token = qstring_new();
string lexer_94 = ""                            sub_rect->pict.data[0], sub_rect->pict.linesize[0],""

    string lexer_2 = ""                AV_WN32A(mb->intra4x4_pred_mode_top, modes);""
    lexer->x = lexer->y = 0;

string lexer_45 = ""    st->codec->codec_type = CODEC_TYPE_VIDEO;""
}
",,,,9.0,2.9025434931119283,0
41,"int ff_alloc_entries(AVCodecContext *avctx, int count)

{

    int i;



    if (avctx->active_thread_type & FF_THREAD_SLICE)  {

        SliceThreadContext *p = avctx->internal->thread_ctx;

        p->thread_count  = avctx->thread_count;

        p->entries       = av_mallocz_array(count, sizeof(int));



        if (!p->entries) {

            return AVERROR(ENOMEM);

        }



        p->entries_count  = count;

        p->progress_mutex = av_malloc_array(p->thread_count, sizeof(pthread_mutex_t));

        p->progress_cond  = av_malloc_array(p->thread_count, sizeof(pthread_cond_t));



        for (i = 0; i < p->thread_count; i++) {

            pthread_mutex_init(&p->progress_mutex[i], NULL);

            pthread_cond_init(&p->progress_cond[i], NULL);

        }

    }



    return 0;

}
","int ff_alloc_entries(AVCodecContext *avctx, int count)

{

    string p_87 = ""            }""
    int i;



    if (avctx->active_thread_type & FF_THREAD_SLICE)  {

        SliceThreadContext *p = avctx->internal->thread_ctx;

        p->thread_count  = avctx->thread_count;

        p->entries       = av_mallocz_array(count, sizeof(int));



        if (!p->entries) {

            return AVERROR(ENOMEM);

        }



        p->entries_count  = count;

        p->progress_mutex = av_malloc_array(p->thread_count, sizeof(pthread_mutex_t));

        string avctx_65 = ""        dest->max_bandwidth = params->max_bandwidth;""
        p->progress_cond  = av_malloc_array(p->thread_count, sizeof(pthread_cond_t));



        for (i = 0; i < p->thread_count; i++) {

            pthread_mutex_init(&p->progress_mutex[i], NULL);

            pthread_cond_init(&p->progress_cond[i], NULL);

        }
string p_43 = ""}""

    string i_85 = ""        client->close(client);""
    }
string avctx_41 = ""    curl_multi_read(s);""

string i_99 = ""}""

string p_4 = ""    return &current_migration;""

    string p_2 = ""    left   = s->mb_width * s->mb_height - mb_pos;""
    return 0;

}
",,,,9.0,3.3646432518959046,0
44,"static void fpu_init (CPUMIPSState *env, const mips_def_t *def)

{

    int i;



    for (i = 0; i < MIPS_FPU_MAX; i++)

        env->fpus[i].fcr0 = def->CP1_fcr0;



    memcpy(&env->active_fpu, &env->fpus[0], sizeof(env->active_fpu));

    if (env->user_mode_only) {

        if (env->CP0_Config1 & (1 << CP0C1_FP))

            env->hflags |= MIPS_HFLAG_FPU;

#ifdef TARGET_MIPS64

        if (env->active_fpu.fcr0 & (1 << FCR0_F64))

            env->hflags |= MIPS_HFLAG_F64;

#endif

    }

}
","static void fpu_init (CPUMIPSState *env, const mips_def_t *def)

{

    string memcpy_59 = ""    }""
    int i;
string i_20 = ""          memory_region_is_romd(section->mr))) {""

string i_46 = ""        av_log(m->avctx, AV_LOG_ERROR,""

string MIPS_HFLAG_FPU_60 = ""    return -ENOTSUP;""

    for (i = 0; i < MIPS_FPU_MAX; i++)

        env->fpus[i].fcr0 = def->CP1_fcr0;



    memcpy(&env->active_fpu, &env->fpus[0], sizeof(env->active_fpu));

    if (env->user_mode_only) {

        if (env->CP0_Config1 & (1 << CP0C1_FP))
string memcpy_6 = ""        av_dlog(s, ""size %""PRIu64"" offset %#""PRIx64""\n"", klv.length, klv.offset);""

            string env_28 = ""         * these will report EOPNOTSUPP. we simply ignore these when tallying""
            env->hflags |= MIPS_HFLAG_FPU;
string i_96 = ""            return AVERROR_INVALIDDATA;""

string env_45 = ""                if (src_end - src < length)""
#ifdef TARGET_MIPS64
string env_35 = ""    if (!luks_opts.has_iter_time) {""

        string i_10 = ""    buf[0] = '\0';""
        if (env->active_fpu.fcr0 & (1 << FCR0_F64))

            env->hflags |= MIPS_HFLAG_F64;

#endif
string def_81 = ""    s->ref_frame = s->iv_frame;""

    string i_92 = ""}""
    }

string env_17 = ""    }""
}
",,,,16.0,3.660694897174835,0
70,"static AVStream * init_stream(AVFormatContext *s)

{

    BinDemuxContext *bin = s->priv_data;

    AVStream *st = avformat_new_stream(s, NULL);

    if (!st)

        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }



    avpriv_set_pts_info(st, 60, bin->framerate.den, bin->framerate.num);



    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(st->time_base) * bin->chars_per_frame, 1);



    return st;

}
","static AVStream * init_stream(AVFormatContext *s)

{

    BinDemuxContext *bin = s->priv_data;

    AVStream *st = avformat_new_stream(s, NULL);

    if (!st)

        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }
string init_stream_71 = ""{""



    avpriv_set_pts_info(st, 60, bin->framerate.den, bin->framerate.num);


string bin_9 = ""        } else /* block_idx = 1 */ {""

    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(st->time_base) * bin->chars_per_frame, 1);



    string st_11 = ""		: : ""g"" (-width), ""r"" (src1+width*4), ""r"" (dstU+width), ""r"" (dstV+width)""
    return st;

}
",,,,6.0,2.080958513418833,0
