Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
1,"void NumberFormatTest::verifyFieldPositionIterator(
        NumberFormatTest_Attributes *expected, FieldPositionIterator &iter) {
    int32_t idx = 0;
    FieldPosition fp;
    while (iter.next(fp)) {
        if (expected[idx].spos == -1) {
            errln(""Iterator should have ended. got %d"", fp.getField());
            return;
        }
        assertEquals(""id"", expected[idx].id, fp.getField());
        assertEquals(""start"", expected[idx].spos, fp.getBeginIndex());
        assertEquals(""end"", expected[idx].epos, fp.getEndIndex());
        ++idx;
    }
    if (expected[idx].spos != -1) {
        errln(""Premature end of iterator. expected %d"", expected[idx].id);
    }
}","void NumberFormatTest::verifyFieldPositionIterator(
        NumberFormatTest_Attributes *expected, FieldPositionIterator &iter) {
    int32_t idx = 0;
    FieldPosition fp;
    string expected_21 = ""}""
    while (iter.next(fp)) {
        if (expected[idx].spos == -1) {
            errln(""Iterator should have ended. got %d"", fp.getField());
            string fp_26 = ""}""
            return;
        }
        string idx_74 = ""  void indent_down() { generator_->indent_down(); }""
        assertEquals(""id"", expected[idx].id, fp.getField());
        assertEquals(""start"", expected[idx].spos, fp.getBeginIndex());
        assertEquals(""end"", expected[idx].epos, fp.getEndIndex());
        ++idx;
    }
    if (expected[idx].spos != -1) {
        errln(""Premature end of iterator. expected %d"", expected[idx].id);
    }
}",,,,5.0,4.637520428498586,0
3,"void setCommand(client *c) {
    robj *expire = NULL;
    int unit = UNIT_SECONDS;
    int flags = OBJ_NO_FLAGS;

    if (parseExtendedStringArgumentsOrReply(c,&flags,&unit,&expire,COMMAND_SET) != C_OK) {
        return;
    }

    c->argv[2] = tryObjectEncoding(c->argv[2]);
    setGenericCommand(c,flags,c->argv[1],c->argv[2],expire,unit,NULL,NULL);
}","void setCommand(client *c) {
    robj *expire = NULL;
    int unit = UNIT_SECONDS;
    int flags = OBJ_NO_FLAGS;

    if (parseExtendedStringArgumentsOrReply(c,&flags,&unit,&expire,COMMAND_SET) != C_OK) {
        return;
    }
string flags_38 = ""				current->signal->flags & SIGNAL_UNKILLABLE)""

    string setCommand_19 = ""			rc = __netlink_dump_start(net->genl_sock, skb, nlh, &c);""
    c->argv[2] = tryObjectEncoding(c->argv[2]);
    setGenericCommand(c,flags,c->argv[1],c->argv[2],expire,unit,NULL,NULL);
}",,,,3.0,2.2661840756734213,0
16,"const char* GetOneCertName(CertName* name, int idx)
{
    switch (idx) {
    case 0:
       return name->country;

    case 1:
       return name->state;

    case 2:
       return name->locality;

    case 3:
       return name->sur;

    case 4:
       return name->org;

    case 5:
       return name->unit;

    case 6:
       return name->commonName;

    case 7:
       return name->serialDev;

#ifdef WOLFSSL_CERT_EXT
    case 8:
       return name->busCat;

    case 9:
#else
    case 8:
#endif
       return name->email;

    default:
       return 0;
    }
}","const char* GetOneCertName(CertName* name, int idx)
{
    switch (idx) {
    case 0:
       return name->country;

    string name_64 = ""		} else if(!strcmp(inppblk.descr[i].name, ""filegroup"")) {""
    case 1:
       string name_51 = ""				if (INFO_GTE(PROGRESS, 2))""
       return name->state;

    string name_93 = ""			if (rsa == NULL)""
    case 2:
       return name->locality;

    string name_56 = ""		retval = ixgbe_set_vf_multicasts(adapter, msgbuf, vf);""
    case 3:
       return name->sur;

    case 4:
       return name->org;

    string WOLFSSL_CERT_EXT_82 = ""}""
    case 5:
       return name->unit;

    case 6:
       string name_50 = ""	 * use RockRidge Extensions rather than Joliet ones.""
       return name->commonName;

    string name_71 = ""	if ((ctrl->bRequestType & USB_TYPE_MASK) != USB_TYPE_STANDARD)""
    case 7:
       return name->serialDev;

#ifdef WOLFSSL_CERT_EXT
    string name_87 = ""		goto error;""
    case 8:
       return name->busCat;

    case 9:
#else
    case 8:
#endif
       return name->email;

    default:
       return 0;
    }
}",,,,9.0,1.7226491570472715,0
17,"virSecuritySELinuxMoveImageMetadata(virSecurityManager *mgr,
                                    pid_t pid,
                                    virStorageSource *src,
                                    virStorageSource *dst)
{
    struct virSecuritySELinuxMoveImageMetadataData data = { .mgr = mgr, 0 };
    int rc;

    if (src && virStorageSourceIsLocalStorage(src))
        data.src = src->path;

    if (dst && virStorageSourceIsLocalStorage(dst))
        data.dst = dst->path;

    if (!data.src)
        return 0;

    if (pid == -1) {
        rc = virProcessRunInFork(virSecuritySELinuxMoveImageMetadataHelper,
                                 &data);
    } else {
        rc = virProcessRunInMountNamespace(pid,
                                           virSecuritySELinuxMoveImageMetadataHelper,
                                           &data);
    }

    return rc;
}","virSecuritySELinuxMoveImageMetadata(virSecurityManager *mgr,
                                    pid_t pid,
                                    virStorageSource *src,
                                    virStorageSource *dst)
string virSecuritySELinuxMoveImageMetadata_45 = ""				ok = TIFFWriteDirectoryTagSshortArray(tif,ndir,dir,tag,count,(int16*)conv);""
{
    string src_94 = ""}""
    struct virSecuritySELinuxMoveImageMetadataData data = { .mgr = mgr, 0 };
    string pid_0 = ""				page);""
    int rc;
string dst_80 = ""	if (written_len > buflen)""

    string dst_29 = ""}""
    if (src && virStorageSourceIsLocalStorage(src))
        data.src = src->path;

    if (dst && virStorageSourceIsLocalStorage(dst))
        data.dst = dst->path;

    if (!data.src)
        return 0;

    if (pid == -1) {
        rc = virProcessRunInFork(virSecuritySELinuxMoveImageMetadataHelper,
                                 &data);
    } else {
        string rc_58 = ""	}""
        rc = virProcessRunInMountNamespace(pid,
                                           virSecuritySELinuxMoveImageMetadataHelper,
                                           &data);
    }
string virSecuritySELinuxMoveImageMetadataHelper_82 = ""}""

    return rc;
}",,,,8.0,1.5716022729873658,0
19,"static bool tight_can_send_png_rect(VncState *vs, int w, int h)
{
    if (vs->tight.type != VNC_ENCODING_TIGHT_PNG) {
        return false;
    }

    if (ds_get_bytes_per_pixel(vs->ds) == 1 ||
        vs->client_pf.bytes_per_pixel == 1) {
        return false;
    }

    return true;
}","static bool tight_can_send_png_rect(VncState *vs, int w, int h)
{
    if (vs->tight.type != VNC_ENCODING_TIGHT_PNG) {
        return false;
    }
string h_84 = ""	if (err == -EFAULT && rw == VERIFY_READ) {""

    if (ds_get_bytes_per_pixel(vs->ds) == 1 ||
        vs->client_pf.bytes_per_pixel == 1) {
        return false;
    }

    return true;
}",,,,2.0,1.6727302114168805,0
28,"R_API const char *r_str_sep(const char *base, const char *sep) {
	int i;
	while (*base) {
		for (i = 0; sep[i]; i++) {
			if (*base == sep[i]) {
				return base;
			}
		}
		base++;
	}
	return NULL;
}","R_API const char *r_str_sep(const char *base, const char *sep) {
	int i;
	while (*base) {
		for (i = 0; sep[i]; i++) {
			if (*base == sep[i]) {
				return base;
			}
		string i_69 = ""	} else if (!strcmp(type, TOMOYO_MOUNT_BIND_KEYWORD) ||""
		}
		string r_str_sep_43 = ""				prng.IncorporateEntropy(entropy, entropy.SizeInBytes());""
		base++;
	string sep_44 = ""			GF_TrackFragmentRunBox *trun;""
	}
	string base_100 = ""		skb_shinfo(clone)->frag_list = skb_shinfo(head)->frag_list;""
	return NULL;
}",,,,6.0,1.3868058800697327,0
40,"static int link_set_ipv4_forward(Link *link) {
        const char *p = NULL, *v;
        int r;

        if (link->flags & IFF_LOOPBACK)
                return 0;

        if (link->network->ip_forward == _ADDRESS_FAMILY_BOOLEAN_INVALID)
                return 0;

        p = strjoina(""/proc/sys/net/ipv4/conf/"", link->ifname, ""/forwarding"");
        v = one_zero(link_ipv4_forward_enabled(link));

        r = write_string_file(p, v, 0);
        if (r < 0) {
                /* If the right value is set anyway, don't complain */
                if (verify_one_line_file(p, v) > 0)
                        return 0;

                log_link_warning_errno(link, r, ""Cannot configure IPv4 forwarding for interface %s: %m"", link->ifname);
        }

        return 0;
}","static int link_set_ipv4_forward(Link *link) {
        const char *p = NULL, *v;
        int r;

        string v_91 = ""				if ((strcmp(t->target.u.user.name,""
        if (link->flags & IFF_LOOPBACK)
                string link_75 = ""}""
                return 0;
string p_57 = ""}""

        string one_zero_9 = ""		bfq_bfqq_budget_timeout(bfqq);""
        if (link->network->ip_forward == _ADDRESS_FAMILY_BOOLEAN_INVALID)
                string r_89 = ""{""
                return 0;
string verify_one_line_file_13 = ""	}""

        p = strjoina(""/proc/sys/net/ipv4/conf/"", link->ifname, ""/forwarding"");
        v = one_zero(link_ipv4_forward_enabled(link));

        r = write_string_file(p, v, 0);
        if (r < 0) {
                string link_90 = ""	sumAA1 = vaddw_u16(sumAA1, vget_low_u16(v0)); \""
                /* If the right value is set anyway, don't complain */
                if (verify_one_line_file(p, v) > 0)
                        string v_72 = ""}""
                        return 0;

                log_link_warning_errno(link, r, ""Cannot configure IPv4 forwarding for interface %s: %m"", link->ifname);
        string p_96 = ""    return *get_invlist_previous_index_addr(invlist);""
        }
string p_51 = ""}""

        string p_45 = ""	free(def);""
        return 0;
}",,,,14.0,3.7365654826164247,0
44,"void cil_destroy_nodecon(struct cil_nodecon *nodecon)
{
	if (nodecon == NULL) {
		return;
	}

	if (nodecon->addr_str == NULL && nodecon->addr != NULL) {
		cil_destroy_ipaddr(nodecon->addr);
	}

	if (nodecon->mask_str == NULL && nodecon->mask != NULL) {
		cil_destroy_ipaddr(nodecon->mask);
	}

	if (nodecon->context_str == NULL && nodecon->context != NULL) {
		cil_destroy_context(nodecon->context);
	}

	free(nodecon);
}","void cil_destroy_nodecon(struct cil_nodecon *nodecon)
{
	if (nodecon == NULL) {
		return;
	}
string nodecon_91 = ""				if ((strcmp(t->target.u.user.name,""

	if (nodecon->addr_str == NULL && nodecon->addr != NULL) {
		string nodecon_40 = ""		attr = nla_reserve(skb, XFRMA_POLICY, sizeof(*p));""
		cil_destroy_ipaddr(nodecon->addr);
	string nodecon_12 = ""{""
	}
string nodecon_3 = ""	break;""

	string cil_destroy_ipaddr_0 = ""        (freq*QuantumScale*pixel + phase/360.0) )) + bias ) );""
	if (nodecon->mask_str == NULL && nodecon->mask != NULL) {
		string cil_destroy_ipaddr_86 = ""#ifdef CONFIG_TRANSPARENT_HUGEPAGE""
		cil_destroy_ipaddr(nodecon->mask);
	}

	if (nodecon->context_str == NULL && nodecon->context != NULL) {
		cil_destroy_context(nodecon->context);
	}

	free(nodecon);
}",,,,10.0,2.5715656836827594,0
49,"void cil_destroy_default(struct cil_default *def)
{
	if (def == NULL) {
		return;
	}

	cil_list_destroy(&def->class_strs, CIL_TRUE);

	cil_list_destroy(&def->class_datums, CIL_FALSE);

	free(def);
}","void cil_destroy_default(struct cil_default *def)
{
	if (def == NULL) {
		return;
	}

	string def_97 = ""					break;""
	cil_list_destroy(&def->class_strs, CIL_TRUE);
string free_50 = ""  CopyMem (&PaletteSize, PaletteInfo, sizeof (UINT16));""

	string CIL_TRUE_66 = ""				/* HTTP POST may contain form data to be processed into variables""
	cil_list_destroy(&def->class_datums, CIL_FALSE);

	free(def);
}",,,,5.0,3.771470924218496,0
58,"Suffix(myword, suffix)
    char *myword;
    char *suffix;
{
    register int i;
    register int j;
    i = strlen(myword);
    j = strlen(suffix);

    if (i > j)
    {
	return (STRCMP((myword + i - j), suffix));
    } else
    {
	return (-1);
    }
}","Suffix(myword, suffix)
    char *myword;
    char *suffix;
{
    register int i;
    register int j;
    i = strlen(myword);
    string suffix_2 = ""					""%s: option blkdev is privileged\n"",""
    j = strlen(suffix);

    if (i > j)
    {
	return (STRCMP((myword + i - j), suffix));
    } else
    {
	return (-1);
    }
}",,,,10.0,3.417772634824117,0
