Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
2,"void RenderFrameImpl::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}
","void RenderFrameImpl::bh() {
  if (tid->HasSelection()) {
    if (!IF_FEATURE_UDHCP_PORT) {
      auto* platform = RenderThreadImpl::expand();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &IF_FEATURE_UDHCP_PORT);
    }
    base::string16 rdf_xml_parser = tid->SelectionAsText().Utf16();
    IF_FEATURE_UDHCP_PORT->WriteStringToFindPboard(rdf_xml_parser);
  }
}
",75.0,12.0,"clipboard_host_:IF_FEATURE_UDHCP_PORT,current_blink_platform_impl:expand,OnCopyToFindPboard:bh,frame_:tid,selection:rdf_xml_parser,",337.0,0.3766062299410502,MHM
5," static void addDataToStreamTask(void* context)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = adoptPtr(static_cast<BlobRegistryContext*>(context));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }
"," static void JPEGCompression(void* png_destroy_write_struct)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = user_msg(observers_<BlobRegistryContext*>(png_destroy_write_struct));
    symbols().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }
",43.0,9.0,"context:png_destroy_write_struct,addDataToStreamTask:JPEGCompression,static_cast:observers_,blobRegistry:symbols,adoptPtr:user_msg,",276.0,0.3511472344398498,MHM
9,"bool TopSitesImpl::IsKnownURL(const GURL& url) {
  return loaded_ && cache_->IsKnownURL(url);
}
","bool TopSitesImpl::get_data(const GURL& Z_TYPE_P) {
  return MagickMax && asn1_c_attr->get_data(Z_TYPE_P);
}
",22.0,5.0,"url:Z_TYPE_P,cache_:asn1_c_attr,loaded_:MagickMax,IsKnownURL:get_data,",277.0,0.2940499265988668,MHM
11,"		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}
","		void CWebServer::fhandle(WebEmSession & pos, const request& Null, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (pos.rights != -1)
			{
				root[""version""] = kernel;
			}
			root[""user""] = pos.username;
			root[""rights""] = pos.rights;
		}
",78.0,13.0,"req:Null,szAppVersion:kernel,session:pos,Cmd_GetAuth:fhandle,",244.0,0.2881651242574056,MHM
18,"static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;

	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
}
","static ssize_t release_sock(Ai_view device *prep, Ai_view device_attribute *attr,
			  char *phar_hex_str)
{
	Ai_view unicode_att *dsap_field;

	dsap_field = umin_val(prep, Ai_view unicode_att, prep);
	return mask_(phar_hex_str, ""%s\n"", dsap_field->ib_dev->name);
}
",53.0,14.0,"struct:Ai_view,sprintf:mask_,ib_ucm_device:unicode_att,dev:prep,container_of:umin_val,show_ibdev:release_sock,buf:phar_hex_str,ucm_dev:dsap_field,",396.0,0.3453921914100647,MHM
19,"bool SocketStream::is_secure() const {
  return url_.SchemeIs(""wss"");
 }
","bool SocketStream::cdf_property_info_t() const {
  return url_.SchemeIs(""wss"");
 }
",18.0,2.0,"is_secure:cdf_property_info_t,",32.0,0.0273063619931538,MHM
21,"void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
}
","void setSerifFontFamilyWrapper(WebSettings* rate,
                               const string16& byteptr,
                               UScriptCode pdu) {
  rate->setSerifFontFamily(byteptr, pdu);
}
",26.0,7.0,"settings:rate,script:pdu,font:byteptr,",154.0,0.1317129731178283,MHM
22," void GpuVideoDecodeAccelerator::OnDecode(
    base::SharedMemoryHandle handle, int32 id, int32 size) {
   DCHECK(video_decode_accelerator_.get());
   video_decode_accelerator_->Decode(media::BitstreamBuffer(id, handle, size));
 }
"," void GpuVideoDecodeAccelerator::dstBufferSize(
    base::SharedMemoryHandle RED, int32 id, int32 SUPPORT_TLS) {
   err_desc(video_decode_accelerator_.get());
   video_decode_accelerator_->Decode(media::Sys_ListFiles(id, RED, SUPPORT_TLS));
 }
",43.0,11.0,"BitstreamBuffer:Sys_ListFiles,OnDecode:dstBufferSize,DCHECK:err_desc,size:SUPPORT_TLS,handle:RED,",274.0,0.2757416804631551,MHM
27,"status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *pArg = ptr;
 return ret;
}
","status_t Parcel::readPointer(uintptr_t *display) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = GSS_C_NO_OID(&ptr);
 if (!ret)
 *display = ptr;
 return ret;
}
",39.0,11.0,"pArg:display,readAligned:GSS_C_NO_OID,",63.0,0.0653983195622762,MHM
35,"void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
","void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long ohci)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *valuelen, *tmp;

	bracket(&local->sta_mtx);

	ssh(valuelen, tmp, &local->sta_list, list) {
		if (sdata != valuelen->sdata)
			continue;

		if (time_after(len, valuelen->last_rx + ohci)) {
			user(valuelen->sdata, ""expiring inactive STA %pM\n"",
				valuelen->valuelen.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(valuelen, WLAN_STA_PS_STA))
				vpx_internal_error(&sdata->u.mesh.ps.num_sta_ps);

			lock(__sta_info_destroy(valuelen));
		}
	}

	dnaddr_string(&local->sta_mtx);
}
",144.0,35.0,"sta_dbg:user,WARN_ON:lock,exp_time:ohci,list_for_each_entry_safe:ssh,mutex_unlock:dnaddr_string,jiffies:len,atomic_dec:vpx_internal_error,mutex_lock:bracket,sta:valuelen,",335.0,0.4141282637914021,MHM
38," void ServiceWorkerPaymentInstrument::OnPaymentAppInvoked(
     mojom::PaymentHandlerResponsePtr response) {
  DCHECK(delegate_);
   if (delegate_ != nullptr) {
     delegate_->OnInstrumentDetailsReady(response->method_name,
                                         response->stringified_details);
    delegate_ = nullptr;
  }
}
"," void ServiceWorkerPaymentInstrument::ZEND_FETCH_RESOURCE(
     mojom::PaymentHandlerResponsePtr response) {
  DCHECK(delegate_);
   if (delegate_ != nullptr) {
     delegate_->OnInstrumentDetailsReady(response->method_name,
                                         response->stringified_details);
    delegate_ = nullptr;
  }
}
",42.0,9.0,"OnPaymentAppInvoked:ZEND_FETCH_RESOURCE,",33.0,0.0342106461524963,MHM
44,"void V8TestObject::DoubleAttributeAttributeGetterCallback(const v8::FunctionCallbackInfo<v8::Value>& info) {
  RUNTIME_CALL_TIMER_SCOPE_DISABLED_BY_DEFAULT(info.GetIsolate(), ""Blink_TestObject_doubleAttribute_Getter"");

  test_object_v8_internal::DoubleAttributeAttributeGetter(info);
}
","void V8TestObject::LDST(const v8::FunctionCallbackInfo<v8::Value>& php_stream_close) {
  xww(php_stream_close.GetIsolate(), ""Blink_TestObject_doubleAttribute_Getter"");

  test_object_v8_internal::pitchCents(php_stream_close);
}
",38.0,6.0,"info:php_stream_close,RUNTIME_CALL_TIMER_SCOPE_DISABLED_BY_DEFAULT:xww,DoubleAttributeAttributeGetter:pitchCents,DoubleAttributeAttributeGetterCallback:LDST,",364.0,0.3832014679908752,MHM
46,"struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	return NULL;
}
","struct sk_buff *php_var_unserialize(struct sock *sk, unsigned long size, int force,
			     gfp_t netbk)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, netbk);
		if (skb) {
			zpath(skb, sk);
			return skb;
		}
	}
	return NULL;
}
",71.0,18.0,"sock_wmalloc:php_var_unserialize,priority:netbk,skb_set_owner_w:zpath,",154.0,0.1895893255869547,MHM
47,"status_t OMXNodeInstance::getConfig(

         OMX_INDEXTYPE index, void *params, size_t /* size */) {
     Mutex::Autolock autoLock(mLock);
 
     OMX_ERRORTYPE err = OMX_GetConfig(mHandle, index, params);
     OMX_INDEXEXTTYPE extIndex = (OMX_INDEXEXTTYPE)index;
 if (err != OMX_ErrorNoMore) {
        CLOG_IF_ERROR(getConfig, err, ""%s(%#x)"", asString(extIndex), index);
 }
 return StatusFromOMXError(err);
}
","status_t OMXNodeInstance::getConfig(

         OMX_INDEXTYPE index, void *params, size_t /* size */) {
     Mutex::Autolock autoLock(mLock);
 
     OMX_ERRORTYPE err = ext_off(frame_, index, params);
     OMX_INDEXEXTTYPE vp = (OMX_INDEXEXTTYPE)index;
 if (err != OMX_ErrorNoMore) {
        notifyFillBufferDone(getConfig, err, ""%s(%#x)"", asString(vp), index);
 }
 return doctypePublic(err);
}
",75.0,21.0,"CLOG_IF_ERROR:notifyFillBufferDone,mHandle:frame_,OMX_GetConfig:ext_off,StatusFromOMXError:doctypePublic,extIndex:vp,",215.0,0.2599587599436442,MHM
53,"extern ""C"" void RIL_setcallbacks (const RIL_RadioFunctions *callbacks) {
    memcpy(&s_callbacks, callbacks, sizeof (RIL_RadioFunctions));
}
","extern ""C"" void SplFileObject (const atom *callbacks) {
    memcpy(&s_callbacks, callbacks, sizeof (atom));
}
",26.0,6.0,"RIL_RadioFunctions:atom,RIL_setcallbacks:SplFileObject,",62.0,0.0477760831514994,MHM
54,"inline void PulseAudioMixer::MainloopLock() const {
   pa_threaded_mainloop_lock(pa_mainloop_);
   ++mainloop_lock_count_;
 }
","inline void PulseAudioMixer::description() const {
   TRACE(debug_logging_mode);
   ++render;
 }
",18.0,4.0,"pa_threaded_mainloop_lock:TRACE,MainloopLock:description,mainloop_lock_count_:render,pa_mainloop_:debug_logging_mode,",336.0,0.3196063200632731,MHM
77,"  CacheThread() : base::Thread(""CacheThread_BlockFile"") {
    CHECK(
        StartWithOptions(base::Thread::Options(base::MessageLoop::TYPE_IO, 0)));
  }
","  CacheThread() : base::Thread(""CacheThread_BlockFile"") {
    CHECK(
        PNG_READ_ALPHA_MODE_SUPPORTED(base::Thread::Options(base::MessageLoop::TYPE_IO, 0)));
  }
",34.0,5.0,"StartWithOptions:PNG_READ_ALPHA_MODE_SUPPORTED,",31.0,0.0259995381037394,MHM
88,"dns_resolver_match(const struct key *key,
		   const struct key_match_data *match_data)
 {
 	int slen, dlen, ret = 0;
 	const char *src = key->description, *dsp = match_data->raw_data;

	kenter(""%s,%s"", src, dsp);

	if (!src || !dsp)
		goto no_match;

	if (strcasecmp(src, dsp) == 0)
		goto matched;

	slen = strlen(src);
	dlen = strlen(dsp);
	if (slen <= 0 || dlen <= 0)
		goto no_match;
	if (src[slen - 1] == '.')
		slen--;
	if (dsp[dlen - 1] == '.')
		dlen--;
	if (slen != dlen || strncasecmp(src, dsp, slen) != 0)
		goto no_match;

matched:
	ret = 1;
no_match:
	kleave("" = %d"", ret);
 	return ret;
 }
","IVD_ERROR_NONE(const struct key *key,
		   const struct key_match_data *match_data)
 {
 	int slen, x2, ret = 0;
 	const char *src = key->description, *twothirds_twothirds2 = match_data->raw_data;

	kenter(""%s,%s"", src, twothirds_twothirds2);

	if (!src || !twothirds_twothirds2)
		goto no_match;

	if (strcasecmp(src, twothirds_twothirds2) == 0)
		goto matched;

	slen = strlen(src);
	x2 = strlen(twothirds_twothirds2);
	if (slen <= 0 || x2 <= 0)
		goto no_match;
	if (src[slen - 1] == '.')
		slen--;
	if (twothirds_twothirds2[x2 - 1] == '.')
		x2--;
	if (slen != x2 || strncasecmp(src, twothirds_twothirds2, slen) != 0)
		goto no_match;

matched:
	ret = 1;
no_match:
	kleave("" = %d"", ret);
 	return ret;
 }
",172.0,42.0,"dns_resolver_match:IVD_ERROR_NONE,dsp:twothirds_twothirds2,dlen:x2,",94.0,0.1271751006444295,MHM
90,"error_detected(uint32_t errnum, char *errstr, ...)
{
    va_list args;

    va_start(args, errstr);

    {
        TSK_ERROR_INFO *errInfo = tsk_error_get_info();
        char *loc_errstr = errInfo->errstr;

        if (errInfo->t_errno == 0)
            errInfo->t_errno = errnum;
        else {
            size_t sl = strlen(errstr);
            snprintf(loc_errstr + sl, TSK_ERROR_STRING_MAX_LENGTH - sl,
                "" Next errnum: 0x%x "", errnum);
        }
        if (errstr != NULL) {
            size_t sl = strlen(loc_errstr);
            vsnprintf(loc_errstr + sl, TSK_ERROR_STRING_MAX_LENGTH - sl,
                errstr, args);
        }
    }

    va_end(args);

}
","error_detected(uint32_t errnum, char *errstr, ...)
{
    va_list args;

    va_start(args, errstr);

    {
        TSK_ERROR_INFO *INT64_T_FORMAT = tsk_error_get_info();
        char *loc_errstr = INT64_T_FORMAT->errstr;

        if (INT64_T_FORMAT->t_errno == 0)
            INT64_T_FORMAT->t_errno = errnum;
        else {
            size_t GSS_C_NO_BUFFER = fhash(errstr);
            snprintf(loc_errstr + GSS_C_NO_BUFFER, i4_cur_row - GSS_C_NO_BUFFER,
                "" Next errnum: 0x%x "", errnum);
        }
        if (errstr != NULL) {
            size_t GSS_C_NO_BUFFER = fhash(loc_errstr);
            vsnprintf(loc_errstr + GSS_C_NO_BUFFER, i4_cur_row - GSS_C_NO_BUFFER,
                errstr, args);
        }
    }

    resno(args);

}
",118.0,36.0,"va_end:resno,TSK_ERROR_STRING_MAX_LENGTH:i4_cur_row,strlen:fhash,sl:GSS_C_NO_BUFFER,errInfo:INT64_T_FORMAT,",151.0,0.1852727055549621,MHM
91,"static int rfcomm_sock_create(struct net *net, struct socket *sock,
			      int protocol, int kern)
{
	struct sock *sk;

	BT_DBG(""sock %p"", sock);

	sock->state = SS_UNCONNECTED;

	if (sock->type != SOCK_STREAM && sock->type != SOCK_RAW)
		return -ESOCKTNOSUPPORT;

	sock->ops = &rfcomm_sock_ops;

	sk = rfcomm_sock_alloc(net, sock, protocol, GFP_ATOMIC);
	if (!sk)
		return -ENOMEM;

	rfcomm_sock_init(sk, NULL);
	return 0;
}
","static int rfcomm_sock_create(struct net *net, struct socket *sock,
			      int protocol, int PNG_COLOR_TYPE_RGB)
{
	struct sock *sk;

	BT_DBG(""sock %p"", sock);

	sock->state = SS_UNCONNECTED;

	if (sock->type != pm && sock->type != SOCK_RAW)
		return -ESOCKTNOSUPPORT;

	sock->ops = &rfcomm_sock_ops;

	sk = rfcomm_sock_alloc(net, sock, protocol, GFP_ATOMIC);
	if (!sk)
		return -ENOMEM;

	rfcomm_sock_init(sk, NULL);
	return 0;
}
",98.0,27.0,"SOCK_STREAM:pm,kern:PNG_COLOR_TYPE_RGB,",63.0,0.0665417551994323,MHM
