Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
5,"static uint32_t drc_set_unusable(sPAPRDRConnector *drc)

{

    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (drc->awaiting_release) {

        uint32_t drc_index = spapr_drc_index(drc);

        trace_spapr_drc_set_allocation_state_finalizing(drc_index);

        spapr_drc_detach(drc);

    }



    return RTAS_OUT_SUCCESS;

}
","static uint32_t device_name(sPAPRDRConnector *ro)

{

    ro->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;

    if (ro->awaiting_release) {

        uint32_t EXCP_INTERRUPT = spapr_drc_index(ro);

        startaddr(EXCP_INTERRUPT);

        av_fast_padded_malloc(ro);

    }



    return srcStride;

}
",45.0,13.0,"trace_spapr_drc_set_allocation_state_finalizing:startaddr,drc:ro,drc_set_unusable:device_name,RTAS_OUT_SUCCESS:srcStride,spapr_drc_detach:av_fast_padded_malloc,drc_index:EXCP_INTERRUPT,",245.0,0.1749149044354756,MHM
9,"static void vc1_inv_trans_8x8_dc_c(uint8_t *dest, int linesize, DCTELEM *block)

{

    int i;

    int dc = block[0];

    const uint8_t *cm;

    dc = (3 * dc +  1) >> 1;

    dc = (3 * dc + 16) >> 5;

    cm = ff_cropTbl + MAX_NEG_CROP + dc;

    for(i = 0; i < 8; i++){

        dest[0] = cm[dest[0]];

        dest[1] = cm[dest[1]];

        dest[2] = cm[dest[2]];

        dest[3] = cm[dest[3]];

        dest[4] = cm[dest[4]];

        dest[5] = cm[dest[5]];

        dest[6] = cm[dest[6]];

        dest[7] = cm[dest[7]];

        dest += linesize;

    }

}
","static void VQA_HEADER_SIZE(uint8_t *dest, int cpu_fregs, DCTELEM *block)

{

    int i;

    int TS_PACKET_SIZE = block[0];

    const uint8_t *__msa_insve_w;

    TS_PACKET_SIZE = (3 * TS_PACKET_SIZE +  1) >> 1;

    TS_PACKET_SIZE = (3 * TS_PACKET_SIZE + 16) >> 5;

    __msa_insve_w = ff_cropTbl + MAX_NEG_CROP + TS_PACKET_SIZE;

    for(i = 0; i < 8; i++){

        dest[0] = __msa_insve_w[dest[0]];

        dest[1] = __msa_insve_w[dest[1]];

        dest[2] = __msa_insve_w[dest[2]];

        dest[3] = __msa_insve_w[dest[3]];

        dest[4] = __msa_insve_w[dest[4]];

        dest[5] = __msa_insve_w[dest[5]];

        dest[6] = __msa_insve_w[dest[6]];

        dest[7] = __msa_insve_w[dest[7]];

        dest += cpu_fregs;

    }

}
",188.0,45.0,"dc:TS_PACKET_SIZE,vc1_inv_trans_8x8_dc_c:VQA_HEADER_SIZE,cm:__msa_insve_w,linesize:cpu_fregs,",124.0,0.1144937713940938,MHM
13,"void cpu_x86_init_mmu(CPUX86State *env)

{

    a20_enabled = 1;

    a20_mask = 0xffffffff;



    last_pg_state = -1;

    cpu_x86_update_cr0(env);

}
","void cpu_x86_init_mmu(CPUX86State *env)

{

    av_get_cpu_flags = 1;

    a20_mask = 0xffffffff;



    ram_memories = -1;

    cpu_x86_update_cr0(env);

}
",26.0,7.0,"last_pg_state:ram_memories,a20_enabled:av_get_cpu_flags,",64.0,0.0396983822186787,MHM
14,"int qemu_cpu_self(void *env)

{

    return 1;

}
","int opts(void *env)

{

    return 1;

}
",12.0,2.0,"qemu_cpu_self:opts,",33.0,0.0207793672879536,MHM
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    s->nc.link_down = link_down;



    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;

    }



    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    }



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);

    }

}
","static void net_vhost_link_down(VhostUserState *INT_MAX, bool link_down)

{

    INT_MAX->nc.link_down = link_down;



    if (INT_MAX->nc.peer) {

        INT_MAX->nc.peer->link_down = link_down;

    }



    if (INT_MAX->nc.info->link_status_changed) {

        INT_MAX->nc.info->link_status_changed(&INT_MAX->nc);

    }



    if (INT_MAX->nc.peer && INT_MAX->nc.peer->info->link_status_changed) {

        INT_MAX->nc.peer->info->link_status_changed(INT_MAX->nc.peer);

    }

}
",104.0,15.0,"s:INT_MAX,",33.0,0.020027490456899,MHM
18,"START_TEST(qint_get_int_test)

{

    QInt *qi;

    const int value = 123456;



    qi = qint_from_int(value);

    fail_unless(qint_get_int(qi) == value);



    QDECREF(qi);

}
","is_write(qint_get_int_test)

{

    QInt *qi;

    const int value = 123456;



    qi = logfile(value);

    fail_unless(qint_get_int(qi) == value);



    QDECREF(qi);

}
",38.0,12.0,"qint_from_int:logfile,START_TEST:is_write,",66.0,0.0396329998970031,MHM
23,"static av_cold int hevc_init_context(AVCodecContext *avctx)
{
    HEVCContext *s = avctx->priv_data;
    int i;
    s->avctx = avctx;
    s->HEVClc = av_mallocz(sizeof(HEVCLocalContext));
    if (!s->HEVClc)
        goto fail;
    s->HEVClcList[0] = s->HEVClc;
    s->sList[0] = s;
    s->cabac_state = av_malloc(HEVC_CONTEXTS);
    if (!s->cabac_state)
        goto fail;
    s->output_frame = av_frame_alloc();
    if (!s->output_frame)
        goto fail;
    for (i = 0; i < FF_ARRAY_ELEMS(s->DPB); i++) {
        s->DPB[i].frame = av_frame_alloc();
        if (!s->DPB[i].frame)
            goto fail;
        s->DPB[i].tf.f = s->DPB[i].frame;
    }
    s->max_ra = INT_MAX;
    s->md5_ctx = av_md5_alloc();
    if (!s->md5_ctx)
        goto fail;
    ff_bswapdsp_init(&s->bdsp);
    s->context_initialized = 1;
    s->eos = 0;
    return 0;
fail:
    hevc_decode_free(avctx);
    return AVERROR(ENOMEM);
}","static av_cold int hevc_init_context(AVCodecContext *h263p_decode_umotion)
{
    HEVCContext *bytes = h263p_decode_umotion->priv_data;
    int i;
    bytes->h263p_decode_umotion = h263p_decode_umotion;
    bytes->HEVClc = av_mallocz(sizeof(HEVCLocalContext));
    if (!bytes->HEVClc)
        goto fail;
    bytes->HEVClcList[0] = bytes->HEVClc;
    bytes->sList[0] = bytes;
    bytes->cabac_state = av_malloc(HEVC_CONTEXTS);
    if (!bytes->cabac_state)
        goto fail;
    bytes->output_frame = mem_index();
    if (!bytes->output_frame)
        goto fail;
    for (i = 0; i < page_sizes_prop(bytes->DPB); i++) {
        bytes->DPB[i].frame = mem_index();
        if (!bytes->DPB[i].frame)
            goto fail;
        bytes->DPB[i].tf.f = bytes->DPB[i].frame;
    }
    bytes->max_ra = INT_MAX;
    bytes->md5_ctx = av_md5_alloc();
    if (!bytes->md5_ctx)
        goto fail;
    ff_bswapdsp_init(&bytes->bdsp);
    bytes->context_initialized = 1;
    bytes->eos = 0;
    return 0;
fail:
    hevc_decode_free(h263p_decode_umotion);
    return AVERROR(pnum);
}",235.0,50.0,"av_frame_alloc:mem_index,ENOMEM:pnum,s:bytes,FF_ARRAY_ELEMS:page_sizes_prop,avctx:h263p_decode_umotion,",153.0,0.1479323188463847,MHM
24,"static int decode_plte_chunk(AVCodecContext *avctx, PNGDecContext *s,

                             uint32_t length)

{

    int n, i, r, g, b;



    if ((length % 3) != 0 || length > 256 * 3)

        return AVERROR_INVALIDDATA;

    /* read the palette */

    n = length / 3;

    for (i = 0; i < n; i++) {

        r = bytestream2_get_byte(&s->gb);

        g = bytestream2_get_byte(&s->gb);

        b = bytestream2_get_byte(&s->gb);

        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | b;

    }

    for (; i < 256; i++)

        s->palette[i] = (0xFFU << 24);

    s->state |= PNG_PLTE;

    bytestream2_skip(&s->gb, 4);     /* crc */



    return 0;

}
","static int volp(AVCodecContext *open_outputs, PNGDecContext *s,

                             uint32_t address_space_memory)

{

    int n, i, r, g, flow;



    if ((address_space_memory % 3) != 0 || address_space_memory > 256 * 3)

        return win32_argc;

    /* read the palette */

    n = address_space_memory / 3;

    for (i = 0; i < n; i++) {

        r = aml_method(&s->gb);

        g = aml_method(&s->gb);

        flow = aml_method(&s->gb);

        s->palette[i] = (0xFFU << 24) | (r << 16) | (g << 8) | flow;

    }

    for (; i < 256; i++)

        s->palette[i] = (0xFFU << 24);

    s->state |= CODEC_ID_ADPCM_IMA_AMV;

    bytestream2_skip(&s->gb, 4);     /* crc */



    return 0;

}
",167.0,40.0,"PNG_PLTE:CODEC_ID_ADPCM_IMA_AMV,AVERROR_INVALIDDATA:win32_argc,decode_plte_chunk:volp,avctx:open_outputs,b:flow,bytestream2_get_byte:aml_method,length:address_space_memory,",243.0,0.2009649833043416,MHM
26,"void st_flush_trace_buffer(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    trace_idx = 0;

}
","void st_flush_trace_buffer(void)

{

    if (board_type) {

        double_scan();

    }



    /* Discard written trace records */

    delayed_samples = 0;

}
",21.0,4.0,"flush_trace_file:double_scan,trace_file_enabled:board_type,trace_idx:delayed_samples,",277.0,0.1870864113171895,MHM
28,"static size_t header_ext_add(char *buf, uint32_t magic, const void *s,

    size_t len, size_t buflen)

{

    QCowExtension *ext_backing_fmt = (QCowExtension*) buf;

    size_t ext_len = sizeof(QCowExtension) + ((len + 7) & ~7);



    if (buflen < ext_len) {

        return -ENOSPC;

    }



    *ext_backing_fmt = (QCowExtension) {

        .magic  = cpu_to_be32(magic),

        .len    = cpu_to_be32(len),

    };

    memcpy(buf + sizeof(QCowExtension), s, len);



    return ext_len;

}
","static size_t poll(char *pulse_off, uint32_t magic, const void *s,

    size_t len, size_t sysbus_from_qdev)

{

    QCowExtension *ext_backing_fmt = (QCowExtension*) pulse_off;

    size_t ext_len = sizeof(QCowExtension) + ((len + 7) & ~7);



    if (sysbus_from_qdev < ext_len) {

        return -ENOSPC;

    }



    *ext_backing_fmt = (QCowExtension) {

        .magic  = cpu_to_be32(magic),

        .len    = cpu_to_be32(len),

    };

    memcpy(pulse_off + sizeof(QCowExtension), s, len);



    return ext_len;

}
",107.0,25.0,"buflen:sysbus_from_qdev,header_ext_add:poll,buf:pulse_off,",92.0,0.0740675926208496,MHM
