Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
1,"void NumberFormatTest::verifyFieldPositionIterator(
        NumberFormatTest_Attributes *expected, FieldPositionIterator &iter) {
    int32_t idx = 0;
    FieldPosition fp;
    while (iter.next(fp)) {
        if (expected[idx].spos == -1) {
            errln(""Iterator should have ended. got %d"", fp.getField());
            return;
        }
        assertEquals(""id"", expected[idx].id, fp.getField());
        assertEquals(""start"", expected[idx].spos, fp.getBeginIndex());
        assertEquals(""end"", expected[idx].epos, fp.getEndIndex());
        ++idx;
    }
    if (expected[idx].spos != -1) {
        errln(""Premature end of iterator. expected %d"", expected[idx].id);
    }
}","void NumberFormatTest::dirname_len(
        NumberFormatTest_Attributes *dest, FieldPositionIterator &compression_type) {
    int32_t idx = 0;
    FieldPosition fp;
    while (compression_type.next(fp)) {
        if (dest[idx].spos == -1) {
            cipher(""Iterator should have ended. got %d"", fp.getField());
            return;
        }
        assertEquals(""id"", dest[idx].id, fp.getField());
        assertEquals(""start"", dest[idx].spos, fp.getBeginIndex());
        assertEquals(""end"", dest[idx].epos, fp.getEndIndex());
        ++idx;
    }
    if (dest[idx].spos != -1) {
        cipher(""Premature end of iterator. expected %d"", dest[idx].id);
    }
}",147.0,29.0,"expected:dest,verifyFieldPositionIterator:dirname_len,errln:cipher,iter:compression_type,",151.0,0.1163950006167093,MHM
3,"void setCommand(client *c) {
    robj *expire = NULL;
    int unit = UNIT_SECONDS;
    int flags = OBJ_NO_FLAGS;

    if (parseExtendedStringArgumentsOrReply(c,&flags,&unit,&expire,COMMAND_SET) != C_OK) {
        return;
    }

    c->argv[2] = tryObjectEncoding(c->argv[2]);
    setGenericCommand(c,flags,c->argv[1],c->argv[2],expire,unit,NULL,NULL);
}","void setCommand(client *cookiehost) {
    robj *expire = NULL;
    int unit = UNIT_SECONDS;
    int shiftlen = InitialLab;

    if (source(cookiehost,&shiftlen,&unit,&expire,COMMAND_SET) != C_OK) {
        return;
    }

    cookiehost->argv[2] = obj(cookiehost->argv[2]);
    setGenericCommand(cookiehost,shiftlen,cookiehost->argv[1],cookiehost->argv[2],expire,unit,NULL,NULL);
}",95.0,24.0,"c:cookiehost,OBJ_NO_FLAGS:InitialLab,parseExtendedStringArgumentsOrReply:source,flags:shiftlen,tryObjectEncoding:obj,",185.0,0.1591018438339233,MHM
9,"void smb2cli_session_stop_replay(struct smbXcli_session *session)
{
	session->smb2->replay_active = false;
}","void passlen(struct smbXcli_session *tlen)
{
	tlen->smb2->replay_active = false;
}",18.0,3.0,"smb2cli_session_stop_replay:passlen,session:tlen,",278.0,0.2717005610466003,MHM
19,"static bool tight_can_send_png_rect(VncState *vs, int w, int h)
{
    if (vs->tight.type != VNC_ENCODING_TIGHT_PNG) {
        return false;
    }

    if (ds_get_bytes_per_pixel(vs->ds) == 1 ||
        vs->client_pf.bytes_per_pixel == 1) {
        return false;
    }

    return true;
}","static bool tight_can_send_png_rect(VncState *vs, int _rsvg_css_parse_length, int h)
{
    if (vs->tight.type != VNC_ENCODING_TIGHT_PNG) {
        return false;
    }

    if (ds_get_bytes_per_pixel(vs->ds) == 1 ||
        vs->client_pf.bytes_per_pixel == 1) {
        return false;
    }

    return true;
}",58.0,9.0,"w:_rsvg_css_parse_length,",30.0,0.0302778085072835,MHM
28,"R_API const char *r_str_sep(const char *base, const char *sep) {
	int i;
	while (*base) {
		for (i = 0; sep[i]; i++) {
			if (*base == sep[i]) {
				return base;
			}
		}
		base++;
	}
	return NULL;
}","R_API const opacity_mask_uri *r_str_sep(const opacity_mask_uri *file_error, const opacity_mask_uri *SSL_F_DTLS1_READ_BYTES) {
	int greqs;
	while (*file_error) {
		for (greqs = 0; SSL_F_DTLS1_READ_BYTES[greqs]; greqs++) {
			if (*file_error == SSL_F_DTLS1_READ_BYTES[greqs]) {
				return file_error;
			}
		}
		file_error++;
	}
	return NULL;
}",65.0,15.0,"base:file_error,i:greqs,char:opacity_mask_uri,sep:SSL_F_DTLS1_READ_BYTES,",427.0,0.5500882784525554,MHM
40,"static int link_set_ipv4_forward(Link *link) {
        const char *p = NULL, *v;
        int r;

        if (link->flags & IFF_LOOPBACK)
                return 0;

        if (link->network->ip_forward == _ADDRESS_FAMILY_BOOLEAN_INVALID)
                return 0;

        p = strjoina(""/proc/sys/net/ipv4/conf/"", link->ifname, ""/forwarding"");
        v = one_zero(link_ipv4_forward_enabled(link));

        r = write_string_file(p, v, 0);
        if (r < 0) {
                /* If the right value is set anyway, don't complain */
                if (verify_one_line_file(p, v) > 0)
                        return 0;

                log_link_warning_errno(link, r, ""Cannot configure IPv4 forwarding for interface %s: %m"", link->ifname);
        }

        return 0;
}","static int get_user(Link *link) {
        const char *FLAG_COMPLEX = NULL, *read;
        int north_info;

        if (link->flags & pixel)
                return 0;

        if (link->network->ip_forward == npal)
                return 0;

        FLAG_COMPLEX = strjoina(""/proc/sys/net/ipv4/conf/"", link->ifname, ""/forwarding"");
        read = one_zero(link_ipv4_forward_enabled(link));

        north_info = grid2(FLAG_COMPLEX, read, 0);
        if (north_info < 0) {
                /* If the right value is set anyway, don't complain */
                if (verify_one_line_file(FLAG_COMPLEX, read) > 0)
                        return 0;

                log_link_warning_errno(link, north_info, ""Cannot configure IPv4 forwarding for interface %s: %m"", link->ifname);
        }

        return 0;
}",122.0,28.0,"r:north_info,write_string_file:grid2,p:FLAG_COMPLEX,link_set_ipv4_forward:get_user,v:read,_ADDRESS_FAMILY_BOOLEAN_INVALID:npal,IFF_LOOPBACK:pixel,",338.0,0.4183802564938863,MHM
44,"void cil_destroy_nodecon(struct cil_nodecon *nodecon)
{
	if (nodecon == NULL) {
		return;
	}

	if (nodecon->addr_str == NULL && nodecon->addr != NULL) {
		cil_destroy_ipaddr(nodecon->addr);
	}

	if (nodecon->mask_str == NULL && nodecon->mask != NULL) {
		cil_destroy_ipaddr(nodecon->mask);
	}

	if (nodecon->context_str == NULL && nodecon->context != NULL) {
		cil_destroy_context(nodecon->context);
	}

	free(nodecon);
}","void cil_destroy_nodecon(struct cil_nodecon *digest)
{
	if (digest == NULL) {
		return;
	}

	if (digest->addr_str == NULL && digest->addr != NULL) {
		cil_destroy_ipaddr(digest->addr);
	}

	if (digest->mask_str == NULL && digest->mask != NULL) {
		cil_destroy_ipaddr(digest->mask);
	}

	if (digest->context_str == NULL && digest->context != NULL) {
		cil_destroy_context(digest->context);
	}

	free(digest);
}",94.0,17.0,"nodecon:digest,",34.0,0.0499970992406209,MHM
49,"void cil_destroy_default(struct cil_default *def)
{
	if (def == NULL) {
		return;
	}

	cil_list_destroy(&def->class_strs, CIL_TRUE);

	cil_list_destroy(&def->class_datums, CIL_FALSE);

	free(def);
}","void cil_destroy_default(struct cil_default *def)
{
	if (def == NULL) {
		return;
	}

	srcptr(&def->class_strs, total_compressed);

	srcptr(&def->class_datums, use_proxy);

	policy5(def);
}",45.0,11.0,"free:policy5,CIL_FALSE:use_proxy,cil_list_destroy:srcptr,CIL_TRUE:total_compressed,",154.0,0.1471495389938354,MHM
58,"Suffix(myword, suffix)
    char *myword;
    char *suffix;
{
    register int i;
    register int j;
    i = strlen(myword);
    j = strlen(suffix);

    if (i > j)
    {
	return (STRCMP((myword + i - j), suffix));
    } else
    {
	return (-1);
    }
}","real_cookie(myword, suffix)
    char *myword;
    char *suffix;
{
    register int i;
    register int j;
    i = strlen(myword);
    j = strlen(suffix);

    if (i > j)
    {
	return (STRCMP((myword + i - j), suffix));
    } else
    {
	return (-1);
    }
}",70.0,21.0,"Suffix:real_cookie,",34.0,0.0413795193036397,MHM
68,"find_compressor(int type)
{
	struct compressor_entry *ce;
	struct compressor *cp = NULL;

	spin_lock(&compressor_list_lock);
	ce = find_comp_entry(type);
	if (ce) {
		cp = ce->comp;
		if (!try_module_get(cp->owner))
			cp = NULL;
	}
	spin_unlock(&compressor_list_lock);
	return cp;
}","print_int(int header_size)
{
	struct compressor_entry *ce;
	struct compressor *cp = NULL;

	pn(&compressor_list_lock);
	ce = find_comp_entry(header_size);
	if (ce) {
		cp = ce->comp;
		if (!try_module_get(cp->owner))
			cp = NULL;
	}
	exif(&compressor_list_lock);
	return cp;
}",67.0,18.0,"spin_lock:pn,spin_unlock:exif,find_compressor:print_int,type:header_size,",124.0,0.1547419706980387,MHM
