Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Attack Type
2,"void RenderFrameImpl::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}","void RenderFrameImpl::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    int a = 2;
    int b = 2;
    while (a == b) {
        clipboard_host_->WriteStringToFindPboard(selection);
        b += 1;
    }
    const char
        *attribute,
        *content;
    QuantizationTable
        *table;
    XMLTreeInfo
        *description,
        *levels,
        *quantization_tables,
        *table_iterator;
    if (content != (char *) NULL)
        table->description=ConstantString(content);
  }
}",0,1,5,0.51,Insert
5," static void addDataToStreamTask(void* context)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = adoptPtr(static_cast<BlobRegistryContext*>(context));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }"," static void addDataToStreamTask(void* context)
 {
     char str1[] = ""Constant"";
     char str2[] = ""Constant"";
     if (strcmp(str1, str2) == 0) {
         CPUPPCState *env;
         CPUPPCState *env_6;
         spr_register_1(env_6, SPR_750_THRM4_1, ""THRM4"",
                          SPR_NOACCESS_6, SPR_NOACCESS_6,
                          &spr_read_generic_8, &spr_write_generic_8,
                          0x00000000);
         spr_register_1(env_6, SPR_HID0_10, ""HID0"",
                          SPR_NOACCESS_6, SPR_NOACCESS_6,
                          &spr_read_generic_8, &spr_write_generic_8,
                          0x00000000);
         spr_register_1(env_6, SPR_HID1_9, ""HID1"",
                          SPR_NOACCESS_6, SPR_NOACCESS_6,
                          &spr_read_generic_8, &spr_write_generic_8,
                          0x00000000);
         spr_register_1(env_6, SPR_750FX_HID2_10, ""HID2"",
                          SPR_NOACCESS_6, SPR_NOACCESS_6,
                          &spr_read_generic_8, &spr_write_generic_8,
                          0x00000000);
         gen_low_BATs_10(env_6);
         spr_register(env, SPR_750_THRM4, ""THRM4"",
                          SPR_NOACCESS, SPR_NOACCESS,
                          &spr_read_generic, &spr_write_generic,
                          0x00000000);
         spr_register(env, SPR_HID0, ""HID0"",
                          SPR_NOACCESS, SPR_NOACCESS,
                          &spr_read_generic, &spr_write_generic,
                          0x00000000);
         spr_register(env, SPR_HID1, ""HID1"",
                          SPR_NOACCESS, SPR_NOACCESS,
                          &spr_read_generic, &spr_write_generic,
                          0x00000000);
         spr_register(env, SPR_750FX_HID2, ""HID2"",
                          SPR_NOACCESS, SPR_NOACCESS,
                          &spr_read_generic, &spr_write_generic,
                          0x00000000);
         gen_low_BATs(env);
         OwnPtr<BlobRegistryContext> blobRegistryContext = adoptPtr(static_cast<BlobRegistryContext*>(context));
     }
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }",1,0,61,0.68,Insert
9,"bool TopSitesImpl::IsKnownURL(const GURL& url) {
  return loaded_ && cache_->IsKnownURL(url);
}","bool TopSitesImpl::IsKnownURL(const GURL& url) {
  AVStream *tmp;
  AVFormatContext *aws;
  uint32_t v, spf;
  MPADecodeHeader ch;
  MP3DecContext *MPthree = aws->priv_data;
  if (MPthree->frames)
          tmp->duration = av_rescale_q(MPthree->frames, (AVRational){spf, ch.sample_rate},
                                      tmp->time_base);
  return loaded_ && cache_->IsKnownURL(url);
}",0,1,3,0.15,Insert
11,"		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}","		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			int a = 2;
			int b = a;
			if(a*b>0){
    			XMLTreeInfo
    			    *description,
    			    *levels,
    			    *quantization_tables,
    			    *table_iterator;
    			XMLTreeInfo
    			    *description,
    			    *levels,
    			    *quantization_tables,
    			    *table_iterator;
    			const char
    			    *attribute,
    			    *content;
    			XMLTreeInfo
    			    *description,
    			    *levels,
    			    *quantization_tables,
    			    *table_iterator;
    			description=GetXMLTreeChild(table_iterator,""description"");
    			levels=GetXMLTreeChild(table_iterator,""levels"");
    			attribute=GetXMLTreeAttribute(table_iterator,""slot"");
    			root[""rights""] = session.rights;
			}
		}",0,1,12,0.42,Insert
12,"static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;
	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;
	qp_attr.max_dest_rd_atomic = 4;
	ret = ib_modify_qp(qp, &qp_attr, attr_mask);
out:
	return ret;
}","static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;
	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;
	qp_attr.max_dest_rd_atomic = 4;
	int a = 2;
	int b = 3;
	if (a != b) {
    	ret = ib_modify_qp(qp, &qp_attr, attr_mask);
    	struct client_session *c;
    	int http_status;
    	struct session_request *sr;
    	struct mk_list *host_list = &config->hosts;
    	struct mk_list *sr_list = &c->request_list;
    	if (http_status > 0) {
    	        if (!sr->host_conf) {
    	            sr->host_conf = mk_list_entry_first(host_list, struct host, _head);
    	        }
    	        mk_request_error(http_status, c, sr);
    	        mk_plugin_stage_run(MK_PLUGIN_STAGE_40, c->socket,
    	                            NULL, c, sr);
    	}
	}
out:
	return ret;
}",0,1,19,0.49,Insert
13,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,"static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;
	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
}","static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;
	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	char str[] = ""Constant"";
	while (strlen(str) > 5) {
    	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
	strcpy(str, ""a"");
	uint8_t *php;
	bytestream_put_le32(&php, 0);
	}
}",0,1,8,0.35,Insert
