Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
12,"static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;

	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;

	qp_attr.max_dest_rd_atomic = 4;

	ret = ib_modify_qp(qp, &qp_attr, attr_mask);

out:
	return ret;
}
","static int srpt_ch_qp_rtr(struct srpt_rdma_ch *arch, struct ib_qp * qr)
{
	struct ib_qp_attr qc_addr;
	int attr__sign;
	int len;

	qc_addr.qp_state = IB_QPS_RTR;
	len = ib_cm_init_qp_attr(arch->cm_id, &qc_addr, &attr__sign);
	if (len)
		goto out;

	qc_addr.max_dest_rd_atomic = 4;

	len = ib_modify_qp( qr, &qc_addr, attr__sign);

out:
	return len;
}
",77.0,21.0,"qp_attr:qc_addr,ret:len,attr_mask:attr__sign,ch:arch,qp: qr,",177.0,0.0580221056938171,Greedy
15,"static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t t, *tp = NULL;

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		t.tv64 = restart->futex.time;
		tp = &t;
	}
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}
","static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user * uhost = restart->futex. uhost;
	ktime_t token, *ptr = NULL;

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		token.tv64 = restart->futex.time;
		ptr = &token;
	}
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait( uhost, restart->futex.flags,
				restart->futex.val, ptr, restart->futex.bitset);
}
",92.0,21.0,"tp:ptr,uaddr: uhost,t:token,",146.0,0.0441898743311564,Greedy
18,"static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;

	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
}
","static ssize_t show_ibdev(struct device *dev, struct device_attribute *acc,
			  char *fd)
{
	struct ib_ucm_device *ucm_device;

	ucm_device = container_of(dev, struct ib_ucm_device, dev);
	return sprintf(fd, ""%s\n"", ucm_device->ib_dev->name);
}
",53.0,14.0,"attr:acc,buf:fd,ucm_dev:ucm_device,",95.0,0.033679449558258,Greedy
27,"status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *pArg = ptr;
 return ret;
}
","status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t proxy;
 binder_uintptr_t sb;
    proxy = readAligned(&sb);
 if (!proxy)
 *pArg = sb;
 return proxy;
}
",39.0,11.0,"ret:proxy,ptr:sb,",104.0,0.032500151793162,Greedy
35,"void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
","void ieee80211_sta_expire(struct ieee80211_sub_if_data *spos,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = spos->local;
	struct sta_info *stage, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(stage, tmp, &local->sta_list, list) {
		if (spos != stage->spos)
			continue;

		if (time_after(jiffies, stage->last_rx + exp_time)) {
			sta_dbg(stage->spos, ""expiring inactive STA %pM\n"",
				stage->stage.addr);

			if (ieee80211_vif_is_mesh(&spos->vif) &&
			    test_sta_flag(stage, WLAN_STA_PS_STA))
				atomic_dec(&spos->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(stage));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
",144.0,35.0,"sta:stage,sdata:spos,",160.0,0.0447687188784281,Greedy
36,"int ipc_addid(struct ipc_ids *ids, struct kern_ipc_perm *new, int size)
{
	kuid_t euid;
	kgid_t egid;
	int id;
	int next_id = ids->next_id;

	if (size > IPCMNI)
		size = IPCMNI;

	if (ids->in_use >= size)
		return -ENOSPC;

	idr_preload(GFP_KERNEL);

	spin_lock_init(&new->lock);
	new->deleted = false;
 	rcu_read_lock();
 	spin_lock(&new->lock);
 
 	id = idr_alloc(&ids->ipcs_idr, new,
 		       (next_id < 0) ? 0 : ipcid_to_idx(next_id), 0,
 		       GFP_NOWAIT);
	idr_preload_end();
	if (id < 0) {
		spin_unlock(&new->lock);
		rcu_read_unlock();
		return id;
	}
 
 	ids->in_use++;
 
	current_euid_egid(&euid, &egid);
	new->cuid = new->uid = euid;
	new->gid = new->cgid = egid;
 	if (next_id < 0) {
 		new->seq = ids->seq++;
 		if (ids->seq > IPCID_SEQ_MAX)
			ids->seq = 0;
	} else {
		new->seq = ipcid_to_seqx(next_id);
		ids->next_id = -1;
	}

	new->id = ipc_buildid(id, new->seq);
	return id;
}
","int ipc_addid(struct ipc_ids *works, struct kern_ipc_perm *num, int ize)
{
	kuid_t euid;
	kgid_t egid;
	int kid;
	int next_id = works->next_id;

	if (ize > IPCMNI)
		ize = IPCMNI;

	if (works->in_use >= ize)
		return -ENOSPC;

	idr_preload(GFP_KERNEL);

	spin_lock_init(&num->lock);
	num->deleted = false;
 	rcu_read_lock();
 	spin_lock(&num->lock);
 
 	kid = idr_alloc(&works->ipcs_idr, num,
 		       (next_id < 0) ? 0 : ipcid_to_idx(next_id), 0,
 		       GFP_NOWAIT);
	idr_preload_end();
	if (kid < 0) {
		spin_unlock(&num->lock);
		rcu_read_unlock();
		return kid;
	}
 
 	works->in_use++;
 
	current_euid_egid(&euid, &egid);
	num->cuid = num->uid = euid;
	num->gid = num->cgid = egid;
 	if (next_id < 0) {
 		num->seq = works->seq++;
 		if (works->seq > IPCID_SEQ_MAX)
			works->seq = 0;
	} else {
		num->seq = ipcid_to_seqx(next_id);
		works->next_id = -1;
	}

	num->kid = ipc_buildid(kid, num->seq);
	return kid;
}
",251.0,63.0,"new:num,ids:works,id:kid,size:ize,",300.0,0.0806757092475891,Greedy
46,"struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	return NULL;
}
","struct sk_buff *sock_wmalloc(struct sock *parent, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&parent->sk_wmem_alloc) < parent->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, parent);
			return skb;
		}
	}
	return NULL;
}
",71.0,18.0,"sk:parent,",69.0,0.0223345438639322,Greedy
59,"void FrameFetchContext::ProvideDocumentToContext(FetchContext& context,
                                                 Document* document) {
  DCHECK(document);
  CHECK(context.IsFrameFetchContext());
  static_cast<FrameFetchContext&>(context).document_ = document;
  static_cast<FrameFetchContext&>(context).fetch_client_settings_object_ =
      new FetchClientSettingsObjectImpl(*document);
}
","void FrameFetchContext::ProvideDocumentToContext(FetchContext& context,
                                                 Document* parent) {
  DCHECK(parent);
  CHECK(context.IsFrameFetchContext());
  static_cast<FrameFetchContext&>(context).document_ = parent;
  static_cast<FrameFetchContext&>(context).fetch_client_settings_object_ =
      new FetchClientSettingsObjectImpl(*parent);
}
",60.0,13.0,"document:parent,",58.0,0.0218976855278015,Greedy
88,"dns_resolver_match(const struct key *key,
		   const struct key_match_data *match_data)
 {
 	int slen, dlen, ret = 0;
 	const char *src = key->description, *dsp = match_data->raw_data;

	kenter(""%s,%s"", src, dsp);

	if (!src || !dsp)
		goto no_match;

	if (strcasecmp(src, dsp) == 0)
		goto matched;

	slen = strlen(src);
	dlen = strlen(dsp);
	if (slen <= 0 || dlen <= 0)
		goto no_match;
	if (src[slen - 1] == '.')
		slen--;
	if (dsp[dlen - 1] == '.')
		dlen--;
	if (slen != dlen || strncasecmp(src, dsp, slen) != 0)
		goto no_match;

matched:
	ret = 1;
no_match:
	kleave("" = %d"", ret);
 	return ret;
 }
","dns_resolver_match(const struct key *key,
		   const struct key_match_data *match_data)
 {
 	int  slener, dlen, ret = 0;
 	const char *sync = key->description, *ldbsp = match_data->raw_data;

	kenter(""%s,%s"", sync, ldbsp);

	if (!sync || !ldbsp)
		goto no_match;

	if (strcasecmp(sync, ldbsp) == 0)
		goto matched;

	 slener = strlen(sync);
	dlen = strlen(ldbsp);
	if ( slener <= 0 || dlen <= 0)
		goto no_match;
	if (sync[ slener - 1] == '.')
		 slener--;
	if (ldbsp[dlen - 1] == '.')
		dlen--;
	if ( slener != dlen || strncasecmp(sync, ldbsp,  slener) != 0)
		goto no_match;

matched:
	ret = 1;
no_match:
	kleave("" = %d"", ret);
 	return ret;
 }
",172.0,42.0,"dsp:ldbsp,src:sync,slen: slener,",236.0,0.068522028128306,Greedy
89,"int WebContentsImpl::DownloadImage(
    const GURL& url,
    bool is_favicon,
    uint32_t max_bitmap_size,
    bool bypass_cache,
    const WebContents::ImageDownloadCallback& callback) {
  DCHECK_CURRENTLY_ON(BrowserThread::UI);
  static int next_image_download_id = 0;
  const image_downloader::ImageDownloaderPtr& mojo_image_downloader =
      GetMainFrame()->GetMojoImageDownloader();
  const int download_id = ++next_image_download_id;
  if (!mojo_image_downloader) {
     BrowserThread::PostTask(
         BrowserThread::UI, FROM_HERE,
        base::Bind(&WebContents::ImageDownloadCallback::Run,
                   base::Owned(new ImageDownloadCallback(callback)),
                   download_id, 400, url, std::vector<SkBitmap>(),
                   std::vector<gfx::Size>()));
     return download_id;
   }
 
  image_downloader::DownloadRequestPtr req =
      image_downloader::DownloadRequest::New();

  req->url = mojo::String::From(url);
  req->is_favicon = is_favicon;
  req->max_bitmap_size = max_bitmap_size;
   req->bypass_cache = bypass_cache;
 
   mojo_image_downloader->DownloadImage(
      std::move(req),
      base::Bind(&DidDownloadImage, callback, download_id, url));
   return download_id;
 }
","int WebContentsImpl::DownloadImage(
    const GURL& gif,
    bool is_favicon,
    uint32_t max_bitmap_size,
    bool byviewfsize,
    const WebContents::ImageDownloadCallback& node) {
  DCHECK_CURRENTLY_ON(BrowserThread::UI);
  static int next_image_download_id = 0;
  const image_downloader::ImageDownloaderPtr& mojo_image_downloader =
      GetMainFrame()->GetMojoImageDownloader();
  const int download_id = ++next_image_download_id;
  if (!mojo_image_downloader) {
     BrowserThread::PostTask(
         BrowserThread::UI, FROM_HERE,
        base::Bind(&WebContents::ImageDownloadCallback::Run,
                   base::Owned(new ImageDownloadCallback(node)),
                   download_id, 400, gif, std::vector<SkBitmap>(),
                   std::vector<gfx::Size>()));
     return download_id;
   }
 
  image_downloader::DownloadRequestPtr req =
      image_downloader::DownloadRequest::New();

  req->gif = mojo::String::From(gif);
  req->is_favicon = is_favicon;
  req->max_bitmap_size = max_bitmap_size;
   req->byviewfsize = byviewfsize;
 
   mojo_image_downloader->DownloadImage(
      std::move(req),
      base::Bind(&DidDownloadImage, node, download_id, gif));
   return download_id;
 }
",206.0,46.0,"url:gif,bypass_cache:byviewfsize,callback:node,",146.0,0.047841203212738,Greedy
