Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
61,"void palette8tobgr24(const uint8_t *src, uint8_t *dst, long num_pixels, const uint8_t *palette)

{

	long i;

/*

	writes 1 byte o much and might cause alignment issues on some architectures?

	for(i=0; i<num_pixels; i++)

		((unsigned *)(&dst[i*3])) = ((unsigned *)palette)[ src[i] ];

*/

	for(i=0; i<num_pixels; i++)

	{

		//FIXME slow?

		dst[0]= palette[ src[i]*4+0 ];

		dst[1]= palette[ src[i]*4+1 ];

		dst[2]= palette[ src[i]*4+2 ];

		dst+= 3;

	}

}
","void palette8tobgr24(const uint8_t *desc, uint8_t *dst, long num_tips, const uint8_t *pixelette)

{

	long i;

/*

	writes 1 byte o much and might cause alignment issues on some architectures?

	for(i=0; i<num_pixels; i++)

		((unsigned *)(&dst[i*3])) = ((unsigned *)palette)[ src[i] ];

*/

	for(i=0; i<num_tips; i++)

	{

		//FIXME slow?

		dst[0]= pixelette[ desc[i]*4+0 ];

		dst[1]= pixelette[ desc[i]*4+1 ];

		dst[2]= pixelette[ desc[i]*4+2 ];

		dst+= 3;

	}

}
",95.0,23.0,"num_pixels:num_tips,src:desc,palette:pixelette,",164.0,0.0484796484311421,Greedy
70,"static AVStream * init_stream(AVFormatContext *s)

{

    BinDemuxContext *bin = s->priv_data;

    AVStream *st = avformat_new_stream(s, NULL);

    if (!st)

        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }



    avpriv_set_pts_info(st, 60, bin->framerate.den, bin->framerate.num);



    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(st->time_base) * bin->chars_per_frame, 1);



    return st;

}
","static AVStream * init_stream(AVFormatContext *s)

{

    BinDemuxContext *bin = s->priv_data;

    AVStream *ist = avformat_new_stream(s, NULL);

    if (!ist)

        return NULL;

    ist->codec->codec_tag   = 0;

    ist->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        ist->codec->width  = (80<<3);

        ist->codec->height = (25<<4);

    }



    avpriv_set_pts_info(ist, 60, bin->framerate.den, bin->framerate.num);



    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(ist->time_base) * bin->chars_per_frame, 1);



    return ist;

}
",129.0,24.0,"st:ist,",89.0,0.0272694905598958,Greedy
75,"static void idiv64(uint64_t *plow, uint64_t *phigh, int64_t b)

{

    int sa, sb;

    sa = ((int64_t)*phigh < 0);

    if (sa)

        neg128(plow, phigh);

    sb = (b < 0);

    if (sb)

        b = -b;

    div64(plow, phigh, b);

    if (sa ^ sb)

        *plow = - *plow;

    if (sa)

        *phigh = - *phigh;

}
","static void idiv64(uint64_t *pullowed, uint64_t *phai, int64_t lb)

{

    int pa, sb;

    pa = ((int64_t)*phai < 0);

    if (pa)

        neg128(pullowed, phai);

    sb = (lb < 0);

    if (sb)

        lb = -lb;

    div64(pullowed, phai, lb);

    if (pa ^ sb)

        *pullowed = - *pullowed;

    if (pa)

        *phai = - *phai;

}
",95.0,28.0,"sa:pa,phigh:phai,plow:pullowed,b:lb,",242.0,0.0658450047175089,Greedy
78,"static void tap_receive(void *opaque, const uint8_t *buf, size_t size)

{

    TAPState *s = opaque;

    int ret;

    for(;;) {

        ret = write(s->fd, buf, size);

        if (ret < 0 && (errno == EINTR || errno == EAGAIN)) {

        } else {

            break;

        }

    }

}
","static void tap_receive(void *ropaque, const uint8_t *bag, size_t size)

{

    TAPState *sym = ropaque;

    int usr;

    for(;;) {

        usr = write(sym->fd, bag, size);

        if (usr < 0 && (errno == EINTR || errno == EAGAIN)) {

        } else {

            break;

        }

    }

}
",70.0,17.0,"ret:usr,s:sym,buf:bag,opaque:ropaque,",165.0,0.0501616239547729,Greedy
82,"static char *enumerate_cpus(unsigned long *cpus, int max_cpus)

{

    int cpu;

    bool first = true;

    GString *s = g_string_new(NULL);



    for (cpu = find_first_bit(cpus, max_cpus);

        cpu < max_cpus;

        cpu = find_next_bit(cpus, max_cpus, cpu + 1)) {

        g_string_append_printf(s, ""%s%d"", first ? """" : "" "", cpu);

        first = false;

    }

    return g_string_free(s, FALSE);

}
","static char *enumerate_cpus(unsigned long *cpus, int max_cpuores)

{

    int currency;

    bool first = true;

    GString *s = g_string_new(NULL);



    for (currency = find_first_bit(cpus, max_cpuores);

        currency < max_cpuores;

        currency = find_next_bit(cpus, max_cpuores, currency + 1)) {

        g_string_append_printf(s, ""%s%d"", first ? """" : "" "", currency);

        first = false;

    }

    return g_string_free(s, FALSE);

}
",92.0,25.0,"cpu:currency,max_cpus:max_cpuores,",126.0,0.0371673464775085,Greedy
100,"int vhost_backend_invalidate_device_iotlb(struct vhost_dev *dev,

                                                 uint64_t iova, uint64_t len)

{

    struct vhost_iotlb_msg imsg;



    imsg.iova = iova;

    imsg.size = len;

    imsg.type = VHOST_IOTLB_INVALIDATE;



    return dev->vhost_ops->vhost_send_device_iotlb_msg(dev, &imsg);

}
","int vhost_backend_invalidate_device_iotlb(struct vhost_dev *p,

                                                 uint64_t iova, uint64_t len)

{

    struct vhost_iotlb_msg imsg;



    imsg.iova = iova;

    imsg.size = len;

    imsg.type = VHOST_IOTLB_INVALIDATE;



    return p->vhost_ops->vhost_send_device_iotlb_msg(p, &imsg);

}
",51.0,14.0,"dev:p,",71.0,0.0239241083463033,Greedy
111,"void qemu_cpu_kick(void *env)

{

    return;

}
","void qemu_cpu_kick(void *iv)

{

    return;

}
",11.0,2.0,"env:iv,",32.0,0.0161380728085835,Greedy
112,"static void temp_allocate_frame(TCGContext *s, int temp)

{

    TCGTemp *ts;

    ts = &s->temps[temp];

    s->current_frame_offset = (s->current_frame_offset + sizeof(tcg_target_long) - 1) & ~(sizeof(tcg_target_long) - 1);

    if (s->current_frame_offset + sizeof(tcg_target_long) > s->frame_end)

        tcg_abort();

    ts->mem_offset = s->current_frame_offset;

    ts->mem_reg = s->frame_reg;

    ts->mem_allocated = 1;

    s->current_frame_offset += sizeof(tcg_target_long);

}
","static void temp_allocate_frame(TCGContext *sym, int tmp)

{

    TCGTemp *test;

    test = &sym->temps[tmp];

    sym->current_frame_offset = (sym->current_frame_offset + sizeof(tcg_target_long) - 1) & ~(sizeof(tcg_target_long) - 1);

    if (sym->current_frame_offset + sizeof(tcg_target_long) > sym->frame_end)

        tcg_abort();

    test->mem_offset = sym->current_frame_offset;

    test->mem_reg = sym->frame_reg;

    test->mem_allocated = 1;

    sym->current_frame_offset += sizeof(tcg_target_long);

}
",104.0,22.0,"s:sym,ts:test,temp:tmp,",180.0,0.0530277172724405,Greedy
121,"static inline void RENAME(rgb32ToY)(uint8_t *dst, uint8_t *src, int width)

{

	int i;

	for(i=0; i<width; i++)

	{

		int r=  ((uint32_t*)src)[i]&0xFF;

		int g= (((uint32_t*)src)[i]>>8)&0xFF;

		int b= (((uint32_t*)src)[i]>>16)&0xFF;



		dst[i]= ((RY*r + GY*g + BY*b + (33<<(RGB2YUV_SHIFT-1)) )>>RGB2YUV_SHIFT);

	}

}
","static inline void RENAME(rgb32ToY)(uint8_t * dtd, uint8_t *src, int width)

{

	int i;

	for(i=0; i<width; i++)

	{

		int r=  ((uint32_t*)src)[i]&0xFF;

		int g= (((uint32_t*)src)[i]>>8)&0xFF;

		int b= (((uint32_t*)src)[i]>>16)&0xFF;



		 dtd[i]= ((RY*r + GY*g + BY*b + (33<<(RGB2YUV_SHIFT-1)) )>>RGB2YUV_SHIFT);

	}

}
",128.0,28.0,"dst: dtd,",43.0,0.0188418348630269,Greedy
122,"static uint32_t s390_pci_generate_fid(Error **errp)

{

    uint32_t fid = 0;



    while (fid <= ZPCI_MAX_FID) {

        if (!s390_pci_find_dev_by_fid(fid)) {

            return fid;

        }



        if (fid == ZPCI_MAX_FID) {

            break;

        }



        fid++;

    }



    error_setg(errp, ""no free fid could be found"");

    return 0;

}
","static uint32_t s390_pci_generate_fid(Error **errp)

{

    uint32_t vids = 0;



    while (vids <= ZPCI_MAX_FID) {

        if (!s390_pci_find_dev_by_fid(vids)) {

            return vids;

        }



        if (vids == ZPCI_MAX_FID) {

            break;

        }



        vids++;

    }



    error_setg(errp, ""no free fid could be found"");

    return 0;

}
",61.0,13.0,"fid:vids,",73.0,0.0234418074289957,Greedy
