Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost
2,"void RenderFrameImpl::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}","void clone_lock::OnCopyToFindPboard() {
  if (QREG_DIV2->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = QREG_DIV2->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}",,,252,
9,"bool TopSitesImpl::IsKnownURL(const GURL& url) {
  return loaded_ && cache_->IsKnownURL(url);
}","bool extradata::IsKnownURL(const GURL& no_user) {
  return loaded_ && cache_->IsKnownURL(no_user);
}",,,254,
10,"wb_print(netdissect_options *ndo,
         register const void *hdr, register u_int len)
{
	register const struct pkt_hdr *ph;
	ph = (const struct pkt_hdr *)hdr;
	if (len < sizeof(*ph) || !ND_TTEST(*ph)) {
		ND_PRINT((ndo, ""%s"", tstr));
		return;
	}
	len -= sizeof(*ph);
	if (ph->ph_flags)
		ND_PRINT((ndo, ""*""));
	switch (ph->ph_type) {
	case PT_KILL:
		ND_PRINT((ndo, "" wb-kill""));
		return;
 	case PT_ID:
 		if (wb_id(ndo, (const struct pkt_id *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_RREQ:
 		if (wb_rreq(ndo, (const struct pkt_rreq *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_RREP:
 		if (wb_rrep(ndo, (const struct pkt_rrep *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_DRAWOP:
 		if (wb_drawop(ndo, (const struct pkt_dop *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_PREQ:
 		if (wb_preq(ndo, (const struct pkt_preq *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_PREP:
 		if (wb_prep(ndo, (const struct pkt_prep *)(ph + 1), len) >= 0)
 			return;
 		break;
 	default:
		ND_PRINT((ndo, "" wb-%d!"", ph->ph_type));
		return;
	}
}","wb_print(netdissect_options *ndo,
         register const void *hdr, register u_int len)
{
	register const struct CPU_STATE_STOPPED *ph;
	ph = (const struct CPU_STATE_STOPPED *)hdr;
	if (len < sizeof(*ph) || !ND_TTEST(*ph)) {
		ND_PRINT((ndo, ""%s"", tstr));
		return;
	}
	len -= sizeof(*ph);
	if (ph->ph_flags)
		ND_PRINT((ndo, ""*""));
	switch (ph->ph_type) {
	case PT_KILL:
		ND_PRINT((ndo, "" wb-kill""));
		return;
 	case PT_ID:
 		if (wb_id(ndo, (const struct pkt_id *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_RREQ:
 		if (wb_rreq(ndo, (const struct pkt_rreq *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_RREP:
 		if (wb_rrep(ndo, (const struct pkt_rrep *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_DRAWOP:
 		if (wb_drawop(ndo, (const struct pkt_dop *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_PREQ:
 		if (wb_preq(ndo, (const struct pkt_preq *)(ph + 1), len) >= 0)
 			return;
 		break;
 	case PT_PREP:
 		if (wb_prep(ndo, (const struct pkt_prep *)(ph + 1), len) >= 0)
 			return;
 		break;
 	default:
		ND_PRINT((ndo, "" wb-%d!"", ph->ph_type));
		return;
	}
}",,,255,
11,"		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}","		void clock::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.LOG_GUEST_ERROR;
			root[""rights""] = session.rights;
		}",,,252,
12,"static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;
	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;
	qp_attr.max_dest_rd_atomic = 4;
	ret = ib_modify_qp(qp, &qp_attr, attr_mask);
out:
	return ret;
}","static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct hpte *qp)
{
	struct ib_qp_attr iov;
	int attr_mask;
	int ret;
	iov.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &iov, &attr_mask);
	if (ret)
		goto out;
	iov.max_dest_rd_atomic = 4;
	ret = error_report(qp, &iov, attr_mask);
out:
	return ret;
}",,,254,
15,"static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t t, *tp = NULL;
	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		t.tv64 = restart->futex.time;
		tp = &t;
	}
	restart->fn = do_no_restart_syscall;
	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}","static long futex_wait_restart(struct restart_block *env_ptr)
{
	u32 __user *uaddr = env_ptr->futex.uaddr;
	ktime_t t, *tp = NULL;
	if (env_ptr->futex.flags & FLAGS_HAS_TIMEOUT) {
		t.tv64 = env_ptr->futex.time;
		tp = &t;
	}
	env_ptr->fn = extradata;
	return (long)g_malloc(uaddr, env_ptr->futex.flags,
				env_ptr->futex.val, tp, env_ptr->futex.bitset);
}",,,256,
16,"status_t MediaPlayer::setDataSource(
 const sp<IMediaHTTPService> &httpService,
 const char *url, const KeyedVector<String8, String8> *headers)
{
     ALOGV(""setDataSource(%s)"", url);
     status_t err = BAD_VALUE;
     if (url != NULL) {
        const sp<IMediaPlayerService>& service(getMediaPlayerService());
         if (service != 0) {
             sp<IMediaPlayer> player(service->create(this, mAudioSessionId));
             if ((NO_ERROR != doSetRetransmitEndpoint(player)) ||
 (NO_ERROR != player->setDataSource(httpService, url, headers))) {
                player.clear();
 }
            err = attachNewPlayer(player);
 }
 }
 return err;
}","status_t avist::virtio_mmio_set_guest_notifier(
 const sp<IMediaHTTPService> &httpService,
 const char *url, const KeyedVector<bootfile, bootfile> *headers)
{
     ALOGV(""setDataSource(%s)"", url);
     status_t err = BAD_VALUE;
     if (url != NULL) {
        const sp<IMediaPlayerService>& service(getMediaPlayerService());
         if (service != 0) {
             sp<IMediaPlayer> player(service->create(this, mAudioSessionId));
             if ((NO_ERROR != doSetRetransmitEndpoint(player)) ||
 (NO_ERROR != player->virtio_mmio_set_guest_notifier(httpService, url, headers))) {
                player.qlist_first();
 }
            err = attachNewPlayer(player);
 }
 }
 return err;
}",,,311,
18,"static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;
	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
}","static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;
	ucm_dev = qemu_input_event_send(dev, struct ib_ucm_device, dev);
	return sprintf(buf, ""%s
"", ucm_dev->local_err->name);
}",,,192,
19,"bool SocketStream::is_secure() const {
  return url_.SchemeIs(""wss"");
 }","bool spapr_hcall_fn::is_secure() const {
  return url_.machine_kernel_irqchip_required(""wss"");
 }",,,251,
21,"void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
}","void setSerifFontFamilyWrapper(fd_chr_close* settings,
                               const ROCKER_PCI_REVISION& font,
                               UScriptCode script) {
  settings->write_sync(font, script);
}",,,253,
