Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost
5,"static uint32_t drc_set_unusable(sPAPRDRConnector *drc)
{
    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;
    if (drc->awaiting_release) {
        uint32_t drc_index = spapr_drc_index(drc);
        trace_spapr_drc_set_allocation_state_finalizing(drc_index);
        spapr_drc_detach(drc);
    }
    return RTAS_OUT_SUCCESS;
}","static uint32_t qpci_config_readw(signal_pending *drc)
{
    drc->allocation_state = bits;
    if (drc->awaiting_release) {
        uint32_t drc_index = spapr_drc_index(drc);
        trace_spapr_drc_set_allocation_state_finalizing(drc_index);
        spapr_drc_detach(drc);
    }
    return RTAS_OUT_SUCCESS;
}",,,255,
13,"void cpu_x86_init_mmu(CPUX86State *env)
{
    a20_enabled = 1;
    a20_mask = 0xffffffff;
    last_pg_state = -1;
    cpu_x86_update_cr0(env);
}","void acquire_privilege(synchronize_from_tb *env)
{
    a20_enabled = 1;
    a20_mask = 0xffffffff;
    last_pg_state = -1;
    cpu_x86_update_cr0(env);
}",,,192,
14,"int qemu_cpu_self(void *env)
{
    return 1;
}","int error_report(void *evt_recv)
{
    return 1;
}",,,192,
18,"START_TEST(qint_get_int_test)
{
    QInt *qi;
    const int value = 123456;
    qi = qint_from_int(value);
    fail_unless(qint_get_int(qi) == value);
    QDECREF(qi);
}","ivshmem_has_feature(QEMUIOVector)
{
    QInt *inv_table;
    const int value = 123456;
    inv_table = qint_from_int(value);
    fail_unless(qint_get_int(inv_table) == value);
    QDECREF(inv_table);
}",,,302,
22,"static void usbredir_bulk_packet(void *priv, uint32_t id,
    struct usb_redir_bulk_packet_header *bulk_packet,
    uint8_t *data, int data_len)
{
    USBRedirDevice *dev = priv;
    uint8_t ep = bulk_packet->endpoint;
    int len = bulk_packet->length;
    AsyncURB *aurb;
    DPRINTF(""bulk-in status %d ep %02X len %d id %u\n"", bulk_packet->status,
            ep, len, id);
    aurb = async_find(dev, id);
    if (!aurb) {
        free(data);
        return;
    }
    if (aurb->bulk_packet.endpoint != bulk_packet->endpoint ||
            aurb->bulk_packet.stream_id != bulk_packet->stream_id) {
        ERROR(""return bulk packet mismatch, please report this!\n"");
        len = USB_RET_NAK;
    }
    if (aurb->packet) {
        len = usbredir_handle_status(dev, bulk_packet->status, len);
        if (len > 0) {
            usbredir_log_data(dev, ""bulk data in:"", data, data_len);
            if (data_len <= aurb->packet->len) {
                memcpy(aurb->packet->data, data, data_len);
            } else {
                ERROR(""bulk buffer too small (%d > %d)\n"", data_len,
                      aurb->packet->len);
                len = USB_RET_STALL;
            }
        }
        aurb->packet->len = len;
        usb_packet_complete(&dev->dev, aurb->packet);
    }
    async_free(dev, aurb);
    free(data);
}","static void usbredir_bulk_packet(void *priv, uint32_t id,
    struct usb_redir_bulk_packet_header *DeviceInfo,
    uint8_t *data, int data_len)
{
    USBRedirDevice *dev = priv;
    uint8_t ep = DeviceInfo->endpoint;
    int len = DeviceInfo->length;
    AsyncURB *aurb;
    DPRINTF(""bulk-in status %d ep %02X len %d id %u
"", DeviceInfo->status,
            ep, len, id);
    aurb = async_find(dev, id);
    if (!aurb) {
        free(data);
        return;
    }
    if (aurb->DeviceInfo.endpoint != DeviceInfo->endpoint ||
            aurb->DeviceInfo.host_set != DeviceInfo->host_set) {
        ERROR(""return bulk packet mismatch, please report this!
"");
        len = USB_RET_NAK;
    }
    if (aurb->packet) {
        len = usbredir_handle_status(dev, DeviceInfo->status, len);
        if (len > 0) {
            usbredir_log_data(dev, ""bulk data in:"", data, data_len);
            if (data_len <= aurb->packet->len) {
                memcpy(aurb->packet->data, data, data_len);
            } else {
                ERROR(""bulk buffer too small (%d > %d)
"", data_len,
                      aurb->packet->len);
                len = USB_RET_STALL;
            }
        }
        aurb->packet->len = len;
        v9fs_link(&dev->dev, aurb->packet);
    }
    async_free(dev, aurb);
    free(data);
}",,,319,
26,"void st_flush_trace_buffer(void)
{
    if (trace_file_enabled) {
        flush_trace_file();
    }
    trace_idx = 0;
}","void st_flush_trace_buffer(void)
{
    if (trace_file_enabled) {
        flush_trace_file();
    }
    ILEN_LATER = 0;
}",,,192,
31,"static uint32_t tight_palette_buf2rgb(int bpp, const uint8_t *buf)
{
    uint32_t rgb = 0;
    if (bpp == 32) {
        rgb |= ((buf[0] & ~1) | !((buf[4] >> 3) & 1)) << 24;
        rgb |= ((buf[1] & ~1) | !((buf[4] >> 2) & 1)) << 16;
        rgb |= ((buf[2] & ~1) | !((buf[4] >> 1) & 1)) <<  8;
        rgb |= ((buf[3] & ~1) | !((buf[4] >> 0) & 1)) <<  0;
    }
    if (bpp == 16) {
        rgb |= ((buf[0] & ~1) | !((buf[2] >> 1) & 1)) << 8;
        rgb |= ((buf[1] & ~1) | !((buf[2] >> 0) & 1)) << 0;
    }
    return rgb;
}","static uint32_t g_assert_not_reached(int bpp, const uint8_t *IPMI_CC_INVALID_DATA_FIELD)
{
    uint32_t rgb = 0;
    if (bpp == 32) {
        rgb |= ((IPMI_CC_INVALID_DATA_FIELD[0] & ~1) | !((IPMI_CC_INVALID_DATA_FIELD[4] >> 3) & 1)) << 24;
        rgb |= ((IPMI_CC_INVALID_DATA_FIELD[1] & ~1) | !((IPMI_CC_INVALID_DATA_FIELD[4] >> 2) & 1)) << 16;
        rgb |= ((IPMI_CC_INVALID_DATA_FIELD[2] & ~1) | !((IPMI_CC_INVALID_DATA_FIELD[4] >> 1) & 1)) <<  8;
        rgb |= ((IPMI_CC_INVALID_DATA_FIELD[3] & ~1) | !((IPMI_CC_INVALID_DATA_FIELD[4] >> 0) & 1)) <<  0;
    }
    if (bpp == 16) {
        rgb |= ((IPMI_CC_INVALID_DATA_FIELD[0] & ~1) | !((IPMI_CC_INVALID_DATA_FIELD[2] >> 1) & 1)) << 8;
        rgb |= ((IPMI_CC_INVALID_DATA_FIELD[1] & ~1) | !((IPMI_CC_INVALID_DATA_FIELD[2] >> 0) & 1)) << 0;
    }
    return rgb;
}",,,192,
37,"int floatx80_eq(floatx80 a, floatx80 b, float_status *status)
{
    if (    (    ( extractFloatx80Exp( a ) == 0x7FFF )
              && (uint64_t) ( extractFloatx80Frac( a )<<1 ) )
         || (    ( extractFloatx80Exp( b ) == 0x7FFF )
              && (uint64_t) ( extractFloatx80Frac( b )<<1 ) )
       ) {
        float_raise(float_flag_invalid, status);
        return 0;
    }
    return
           ( a.low == b.low )
        && (    ( a.high == b.high )
             || (    ( a.low == 0 )
                  && ( (uint16_t) ( ( a.high | b.high )<<1 ) == 0 ) )
           );
}","int xbzrle_mig_pages_overflow(floatx80 a, floatx80 gdb_stop_before_watchpoint, float_status *status)
{
    if (    (    ( extractFloatx80Exp( a ) == 0x7FFF )
              && (uint64_t) ( extractFloatx80Frac( a )<<1 ) )
         || (    ( extractFloatx80Exp( gdb_stop_before_watchpoint ) == 0x7FFF )
              && (uint64_t) ( extractFloatx80Frac( gdb_stop_before_watchpoint )<<1 ) )
       ) {
        float_raise(float_flag_invalid, status);
        return 0;
    }
    return
           ( a.low == gdb_stop_before_watchpoint.low )
        && (    ( a.high == gdb_stop_before_watchpoint.high )
             || (    ( a.low == 0 )
                  && ( (uint16_t) ( ( a.high | gdb_stop_before_watchpoint.high )<<1 ) == 0 ) )
           );
}",,,192,
47,"void thread_pool_submit(ThreadPoolFunc *func, void *arg)
{
    thread_pool_submit_aio(func, arg, NULL, NULL);
}","void thread_pool_submit(ThreadPoolFunc *rsvd, void *arg)
{
    qint_get_int(rsvd, arg, NULL, NULL);
}",,,192,
48,"static void pl061_register_devices(void)
{
    sysbus_register_dev(""pl061"", sizeof(pl061_state),
                        pl061_init_arm);
    sysbus_register_dev(""pl061_luminary"", sizeof(pl061_state),
                        pl061_init_luminary);
}","static void pl061_register_devices(void)
{
    qpci_free_pc(""pl061"", sizeof(imemoffset),
                        k);
    qpci_free_pc(""pl061_luminary"", sizeof(imemoffset),
                        pl061_init_luminary);
}",,,255,
58,"static int libopenjpeg_copy_packed12(AVCodecContext *avctx, const AVFrame *frame, opj_image_t *image)
{
    int compno;
    int x, y;
    int *image_line;
    int frame_index;
    const int numcomps  = image->numcomps;
    uint16_t *frame_ptr = (uint16_t *)frame->data[0];
    for (compno = 0; compno < numcomps; ++compno) {
        if (image->comps[compno].w > frame->linesize[0] / numcomps) {
            av_log(avctx, AV_LOG_ERROR, ""Error: frame's linesize is too small for the image\n"");
            return 0;
        }
    }
    for (compno = 0; compno < numcomps; ++compno) {
        for (y = 0; y < avctx->height; ++y) {
            image_line = image->comps[compno].data + y * image->comps[compno].w;
            frame_index = y * (frame->linesize[0] / 2) + compno;
            for (x = 0; x < avctx->width; ++x) {
                image_line[x] = frame_ptr[frame_index] >> 4;
                frame_index += numcomps;
            }
            for (; x < image->comps[compno].w; ++x) {
                image_line[x] = image_line[x - 1];
            }
        }
        for (; y < image->comps[compno].h; ++y) {
            image_line = image->comps[compno].data + y * image->comps[compno].w;
            for (x = 0; x < image->comps[compno].w; ++x) {
                image_line[x] = image_line[x - image->comps[compno].w];
            }
        }
    }
    return 1;
}","static int scsi_disk_emulate_start_stop(AVCodecContext *host_set, const AVFrame *frame, opj_image_t *image)
{
    int compno;
    int x, y;
    int *image_line;
    int frame_index;
    const int numcomps  = image->numcomps;
    uint16_t *frame_ptr = (uint16_t *)frame->data[0];
    for (compno = 0; compno < numcomps; ++compno) {
        if (image->comps[compno].w > frame->linesize[0] / numcomps) {
            av_log(host_set, AV_LOG_ERROR, ""Error: frame's linesize is too small for the image
"");
            return 0;
        }
    }
    for (compno = 0; compno < numcomps; ++compno) {
        for (y = 0; y < host_set->height; ++y) {
            image_line = image->comps[compno].data + y * image->comps[compno].w;
            frame_index = y * (frame->linesize[0] / 2) + compno;
            for (x = 0; x < host_set->width; ++x) {
                image_line[x] = frame_ptr[frame_index] >> 4;
                frame_index += numcomps;
            }
            for (; x < image->comps[compno].w; ++x) {
                image_line[x] = image_line[x - 1];
            }
        }
        for (; y < image->comps[compno].h; ++y) {
            image_line = image->comps[compno].data + y * image->comps[compno].w;
            for (x = 0; x < image->comps[compno].w; ++x) {
                image_line[x] = image_line[x - image->comps[compno].w];
            }
        }
    }
    return 1;
}",,,252,
61,"void palette8tobgr24(const uint8_t *src, uint8_t *dst, long num_pixels, const uint8_t *palette)
{
	long i;
	for(i=0; i<num_pixels; i++)
	{
		dst[0]= palette[ src[i]*4+0 ];
		dst[1]= palette[ src[i]*4+1 ];
		dst[2]= palette[ src[i]*4+2 ];
		dst+= 3;
	}
}","void acpi_ram_update(const uint8_t *src, uint8_t *dst, long ILEN_LATER, const uint8_t *palette)
{
	long i;
	for(i=0; i<ILEN_LATER; i++)
	{
		dst[0]= palette[ src[i]*4+0 ];
		dst[1]= palette[ src[i]*4+1 ];
		dst[2]= palette[ src[i]*4+2 ];
		dst+= 3;
	}
}",,,192,
