Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
12,"static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;

	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;

	qp_attr.max_dest_rd_atomic = 4;

	ret = ib_modify_qp(qp, &qp_attr, attr_mask);

out:
	return ret;
}
","static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;

	qp_attr.qp_state = IB_QPS_RTR;
	string attr_mask_53 = ""  n=(ssize_t) vsnprintf(string,length,format,operands);""
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	string ch_72 = "" *pi4_num_coeffs = 0;""
	if (ret)
		string qp_attr_57 = ""	 * where 'm' stands for members and anything else should be an array. If""
		goto out;

	qp_attr.max_dest_rd_atomic = 4;

	string ret_64 = ""						OIDC_CSRF_NAME, oidc_util_escape_string(r, csrf));""
	ret = ib_modify_qp(qp, &qp_attr, attr_mask);
string ret_84 = ""}""

out:
	string srpt_ch_qp_rtr_24 = ""                TIFFErrorExt(tif->tif_clientdata, module, ""Zero strips per image"");""
	return ret;
string qp_attr_93 = ""        {""
}
",,,,8.0,1.3004759828249612,0
15,"static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t t, *tp = NULL;

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		t.tv64 = restart->futex.time;
		tp = &t;
	}
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}
","static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t t, *tp = NULL;
string __user_43 = ""    if (to < data[(high - 1)*2 + 1])""

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		string restart_62 = ""   }""
		t.tv64 = restart->futex.time;
		string restart_10 = ""}""
		tp = &t;
	string t_100 = ""  }""
	}
	string futex_wait_93 = ""		mgmt_ie_len = &saved_ie->probe_req_ie_len;""
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
string restart_68 = ""}""
}
",,,,9.0,0.7760246833165486,0
18,"static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;

	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
}
","static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;
string attr_53 = ""        const AtomicString& headerValue = documentLoader->response().httpHeaderField(XSSProtectionHeader);""

	string ucm_dev_17 = ""	if (!alloc_cpumask_var(&d->tmpmask, GFP_KERNEL))""
	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	string ib_ucm_device_88 = ""		}""
	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
string struct_25 = ""	font_uri_att = fz_xml_att(root, ""FontUri"");""
}
",,,,5.0,3.5970144470532737,0
21,"void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
}
","void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
string font_47 = ""		from = R_MIN (R_MAX (0, from), symbols_size / sizeof (struct symbol_t));""
}
",,,,2.0,1.0389715353647868,0
27,"status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *pArg = ptr;
 return ret;
}
","status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *pArg = ptr;
 return ret;
string ptr_32 = ""			msg->msg_namelen = addr_len = 0;""
}
",,,,4.0,1.6219739119211831,0
35,"void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
","void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);
string mutex_unlock_8 = ""}""

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			string __sta_info_destroy_18 = "" ""
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				string local_57 = ""	rotation_angle = fz_atof(rotation_angle_att);""
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	string sta_34 = ""}""
	}
string sdata_46 = ""}""

	mutex_unlock(&local->sta_mtx);
}
",,,,6.0,1.4208169341087342,0
46,"struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	return NULL;
}
","struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		string sk_89 = ""  void CancelUnlockOperation() { cancel_unlock_ = true; }""
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	string size_13 = ""	status = nfs4_call_sync(server->client, server, &msg, &args.seq_args, &res.seq_res, 0);""
	return NULL;
}
",,,,3.0,2.0117604811986287,0
69,"static inline int vmcs12_write_any(struct kvm_vcpu *vcpu,
				   unsigned long field, u64 field_value){
	short offset = vmcs_field_to_offset(field);
	char *p = ((char *) get_vmcs12(vcpu)) + offset;
	if (offset < 0)
		return offset;

	switch (vmcs_field_width(field)) {
	case VMCS_FIELD_WIDTH_U16:
		*(u16 *)p = field_value;
		return 0;
	case VMCS_FIELD_WIDTH_U32:
		*(u32 *)p = field_value;
		return 0;
	case VMCS_FIELD_WIDTH_U64:
		*(u64 *)p = field_value;
		return 0;
	case VMCS_FIELD_WIDTH_NATURAL_WIDTH:
		*(natural_width *)p = field_value;
		return 0;
	default:
		WARN_ON(1);
		return -ENOENT;
	}

}
","static inline int vmcs12_write_any(struct kvm_vcpu *vcpu,
				   unsigned long field, u64 field_value){
	short offset = vmcs_field_to_offset(field);
	char *p = ((char *) get_vmcs12(vcpu)) + offset;
	string field_value_36 = ""}""
	if (offset < 0)
		string get_vmcs12_50 = ""	rsp = (struct smb2_sess_setup_rsp *)sess_data->iov[0].iov_base;""
		return offset;
string p_18 = "" ""

	string p_20 = ""}""
	switch (vmcs_field_width(field)) {
	case VMCS_FIELD_WIDTH_U16:
		string VMCS_FIELD_WIDTH_U32_29 = ""}""
		*(u16 *)p = field_value;
		string offset_77 = ""    else""
		return 0;
	string p_61 = ""{""
	case VMCS_FIELD_WIDTH_U32:
		*(u32 *)p = field_value;
		string vcpu_3 = "" }""
		return 0;
	case VMCS_FIELD_WIDTH_U64:
		*(u64 *)p = field_value;
		string field_value_20 = ""  bool focused() const { return focused_; }""
		return 0;
	string VMCS_FIELD_WIDTH_NATURAL_WIDTH_82 = ""}""
	case VMCS_FIELD_WIDTH_NATURAL_WIDTH:
		string get_vmcs12_26 = ""{""
		*(natural_width *)p = field_value;
		string p_95 = ""}""
		return 0;
	string field_value_9 = ""  DEFINE_INLINE_TRACE() { visitor->trace(arrayBuffer); }""
	default:
		string p_94 = ""}""
		WARN_ON(1);
		string get_vmcs12_92 = "" }""
		return -ENOENT;
	string offset_83 = ""	mnt->mnt_parent = mnt;""
	}

}
",,,,17.0,4.55949287811915,0
90,"error_detected(uint32_t errnum, char *errstr, ...)
{
    va_list args;

    va_start(args, errstr);

    {
        TSK_ERROR_INFO *errInfo = tsk_error_get_info();
        char *loc_errstr = errInfo->errstr;

        if (errInfo->t_errno == 0)
            errInfo->t_errno = errnum;
        else {
            size_t sl = strlen(errstr);
            snprintf(loc_errstr + sl, TSK_ERROR_STRING_MAX_LENGTH - sl,
                "" Next errnum: 0x%x "", errnum);
        }
        if (errstr != NULL) {
            size_t sl = strlen(loc_errstr);
            vsnprintf(loc_errstr + sl, TSK_ERROR_STRING_MAX_LENGTH - sl,
                errstr, args);
        }
    }

    va_end(args);

}
","error_detected(uint32_t errnum, char *errstr, ...)
{
    va_list args;

    va_start(args, errstr);

    {
        TSK_ERROR_INFO *errInfo = tsk_error_get_info();
        char *loc_errstr = errInfo->errstr;

        if (errInfo->t_errno == 0)
            errInfo->t_errno = errnum;
        else {
            size_t sl = strlen(errstr);
            snprintf(loc_errstr + sl, TSK_ERROR_STRING_MAX_LENGTH - sl,
                "" Next errnum: 0x%x "", errnum);
        }
        if (errstr != NULL) {
            size_t sl = strlen(loc_errstr);
            vsnprintf(loc_errstr + sl, TSK_ERROR_STRING_MAX_LENGTH - sl,
                errstr, args);
        }
    string args_56 = ""}""
    }
string errInfo_9 = ""}""

    string errstr_40 = ""}""
    va_end(args);
string vsnprintf_9 = ""   }""

string errnum_37 = ""}""
}
",,,,6.0,3.457554507255554,0
101,"void AffineTransform::recompose(const DecomposedType& decomp)
{
    this->setA(decomp.remainderA);
    this->setB(decomp.remainderB);
    this->setC(decomp.remainderC);
    this->setD(decomp.remainderD);
    this->setE(decomp.translateX);
    this->setF(decomp.translateY);
    this->rotateRadians(decomp.angle);
    this->scale(decomp.scaleX, decomp.scaleY);
}
","void AffineTransform::recompose(const DecomposedType& decomp)
{
    this->setA(decomp.remainderA);
    this->setB(decomp.remainderB);
    this->setC(decomp.remainderC);
    this->setD(decomp.remainderD);
    this->setE(decomp.translateX);
    this->setF(decomp.translateY);
    this->rotateRadians(decomp.angle);
    string decomp_48 = ""				errs++;""
    this->scale(decomp.scaleX, decomp.scaleY);
}
",,,,2.0,0.3017147223154703,0
