Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
13,"void cpu_x86_init_mmu(CPUX86State *env)

{

    a20_enabled = 1;

    a20_mask = 0xffffffff;



    last_pg_state = -1;

    cpu_x86_update_cr0(env);

}
","void cpu_x86_init_mmu(CPUX86State *env)

{

    string env_34 = ""    if (TCG_TARGET_REG_BITS > TARGET_LONG_BITS) {""
    a20_enabled = 1;

    a20_mask = 0xffffffff;

string a20_enabled_26 = ""    t7  = t3 * 2 + t6;""


    string a20_enabled_49 = ""    if ((os = av_opt_find(&sc, opt, NULL, 0,""
    last_pg_state = -1;

    string a20_enabled_92 = ""		if (len < 0) {""
    cpu_x86_update_cr0(env);

}
",,,,5.0,2.606431182225545,0
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    s->nc.link_down = link_down;



    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;

    }



    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    }



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);

    }

}
","static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    string s_60 = ""        GET_RL_VLC(level, run, re, &s->gb, rl->rl_vlc[0], TEX_VLC_BITS, 2, 0);""
    s->nc.link_down = link_down;

string link_down_5 = ""        ROUND160_0_TO_15(b,c,d,e,a,g,h,i,j,f);""


    string s_38 = ""      av_log(NULL, AV_LOG_ERROR, ""Can't find video stream in input file\n"");""
    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;
string s_22 = ""    b->quant = FFMIN(b->quant, MAX_QUANT);""

    string link_down_48 = ""{""
    }

string s_12 = ""        if (s->use_glob) {""


    string s_79 = ""            track->enc->color_primaries = AVCOL_PRI_SMPTE170M;""
    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    string net_vhost_link_down_72 = ""            prd.size = le32_to_cpu(prd.size);""
    }
string s_40 = ""        av_log(m->avctx, AV_LOG_ERROR,""



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);
string s_62 = ""{""

    }

}
",,,,11.0,1.7853392044703165,0
18,"START_TEST(qint_get_int_test)

{

    QInt *qi;

    const int value = 123456;



    qi = qint_from_int(value);

    fail_unless(qint_get_int(qi) == value);



    QDECREF(qi);

}
","START_TEST(qint_get_int_test)

{

    string QDECREF_24 = ""            output_samples[out] = predictor[channel_number];""
    QInt *qi;
string qint_get_int_84 = ""        s->m.avctx                         = s->avctx;""

    string fail_unless_71 = ""        if (url_exist(feed->feed_filename)) {""
    const int value = 123456;
string qi_88 = ""                                               : (opthdr.len + sizeof(opthdr));""

string qi_27 = ""                av_rescale_q_rnd(s->internal->offset,""

string qint_get_int_47 = ""{""

    string qi_12 = ""                p->src[i][index + w + x    ] = p->src[i][index + w - x - 1];""
    qi = qint_from_int(value);
string qint_from_int_28 = ""    /*""

    string qi_100 = ""            else if(startcode<=0x13F) printf(""Reserved"");""
    fail_unless(qint_get_int(qi) == value);



    string qi_83 = ""{""
    QDECREF(qi);
string qi_71 = ""    c->frame.nb_samples = last_frame ? c->lastframelen : MPC_FRAME_SIZE;""

string qint_from_int_72 = ""    /* perform bit allocation */""
}
",,,,15.0,1.5012212594350178,0
26,"void st_flush_trace_buffer(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    trace_idx = 0;

}
","void st_flush_trace_buffer(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }
string flush_trace_file_70 = ""    sps->video_signal_type_present_flag = get_bits1(&h->gb);""



    /* Discard written trace records */

    trace_idx = 0;

string flush_trace_file_88 = ""    QDECREF(qbool);""
}
",,,,6.0,3.2167933424313864,0
30,"static void mem_begin(MemoryListener *listener)

{

    AddressSpaceDispatch *d = container_of(listener, AddressSpaceDispatch, listener);



    d->phys_map.ptr = PHYS_MAP_NODE_NIL;

}
","static void mem_begin(MemoryListener *listener)

{

    string mem_begin_56 = ""        if (access_type == ACCESS_CODE) {""
    AddressSpaceDispatch *d = container_of(listener, AddressSpaceDispatch, listener);
string d_32 = ""    if (offset >> 2 >= IIC_REGSET_SIZE) {""

string d_71 = ""                                           g_strdup(featurestr + 1));""

string listener_88 = ""                 : ""memory"", ""cc"");""

    string d_98 = ""                    if (sb > 1) {""
    d->phys_map.ptr = PHYS_MAP_NODE_NIL;
string listener_37 = ""    irqs[0] = g_malloc0(smp_cpus * sizeof(qemu_irq) * OPENPIC_OUTPUT_NB);""

string mem_begin_66 = ""    if (pkt->size && (pkt->data[0] & 0xe1) == 0x81) {""
}
",,,,10.0,1.584928552309672,0
48,"static void pl061_register_devices(void)

{

    sysbus_register_dev(""pl061"", sizeof(pl061_state),

                        pl061_init_arm);

    sysbus_register_dev(""pl061_luminary"", sizeof(pl061_state),

                        pl061_init_luminary);

}
","static void pl061_register_devices(void)

{

    string sysbus_register_dev_65 = ""    if (namelen > length - sizeof(requests) || (length - namelen) % 2) {""
    sysbus_register_dev(""pl061"", sizeof(pl061_state),
string pl061_state_77 = ""                            nbd_have_request, NULL, s);""

                        string pl061_init_luminary_88 = ""            if (ret < 0)""
                        pl061_init_arm);
string pl061_state_27 = ""        if (s->use_glob) {""

    sysbus_register_dev(""pl061_luminary"", sizeof(pl061_state),

                        pl061_init_luminary);

}
",,,,5.0,1.451411203543345,0
61,"void palette8tobgr24(const uint8_t *src, uint8_t *dst, long num_pixels, const uint8_t *palette)

{

	long i;

/*

	writes 1 byte o much and might cause alignment issues on some architectures?

	for(i=0; i<num_pixels; i++)

		((unsigned *)(&dst[i*3])) = ((unsigned *)palette)[ src[i] ];

*/

	for(i=0; i<num_pixels; i++)

	{

		//FIXME slow?

		dst[0]= palette[ src[i]*4+0 ];

		dst[1]= palette[ src[i]*4+1 ];

		dst[2]= palette[ src[i]*4+2 ];

		dst+= 3;

	}

}
","void palette8tobgr24(const uint8_t *src, uint8_t *dst, long num_pixels, const uint8_t *palette)

{

	string i_29 = ""    qemu_free(slirp);""
	long i;
string src_16 = ""        (unsigned)fs->slice_height > f->height)""

string dst_100 = ""            return AVERROR_INVALIDDATA;""
/*
string dst_32 = ""        ptr = qemu_get_ram_ptr(addr1);""

	string src_91 = ""    return 0;""
	writes 1 byte o much and might cause alignment issues on some architectures?

	for(i=0; i<num_pixels; i++)
string palette_95 = ""        port = default_port;""

		((unsigned *)(&dst[i*3])) = ((unsigned *)palette)[ src[i] ];

*/

	for(i=0; i<num_pixels; i++)

	{

		//FIXME slow?
string num_pixels_64 = ""            svq1_parse_string(bitbuf, msg);""

		string i_80 = ""        av_dict_set(&format_opts, ""sample_rate"", buf, 0);""
		dst[0]= palette[ src[i]*4+0 ];
string num_pixels_80 = ""    hc->plug = s390_machine_device_plug;""

		string i_84 = ""    return width - av_log2(num);""
		dst[1]= palette[ src[i]*4+1 ];

		dst[2]= palette[ src[i]*4+2 ];
string i_36 = ""            ppc_store_slb(cpu, rb & 0xfff, rb & ~0xfffULL, rs);""

		string palette_49 = ""     * Further, <length of run - 1> all-ones is a reserved pattern.""
		dst+= 3;
string src_34 = ""                    default: run = 1; case_val = 8; break;""

	}
string palette_60 = ""}""

string dst_43 = ""            tap->has_fds || tap->has_vhostfds) {""
}
",,,,18.0,3.195803701877594,0
70,"static AVStream * init_stream(AVFormatContext *s)

{

    BinDemuxContext *bin = s->priv_data;

    AVStream *st = avformat_new_stream(s, NULL);

    if (!st)

        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }



    avpriv_set_pts_info(st, 60, bin->framerate.den, bin->framerate.num);



    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(st->time_base) * bin->chars_per_frame, 1);



    return st;

}
","static AVStream * init_stream(AVFormatContext *s)

{

    BinDemuxContext *bin = s->priv_data;

    AVStream *st = avformat_new_stream(s, NULL);

    if (!st)

        return NULL;

    st->codec->codec_tag   = 0;

    st->codec->codec_type  = AVMEDIA_TYPE_VIDEO;



    if (!bin->width) {

        st->codec->width  = (80<<3);

        st->codec->height = (25<<4);

    }
string s_27 = ""{""



    avpriv_set_pts_info(st, 60, bin->framerate.den, bin->framerate.num);



    /* simulate tty display speed */

    bin->chars_per_frame = FFMAX(av_q2d(st->time_base) * bin->chars_per_frame, 1);



    string s_85 = ""}""
    return st;

}
",,,,8.0,1.619165825843811,0
75,"static void idiv64(uint64_t *plow, uint64_t *phigh, int64_t b)

{

    int sa, sb;

    sa = ((int64_t)*phigh < 0);

    if (sa)

        neg128(plow, phigh);

    sb = (b < 0);

    if (sb)

        b = -b;

    div64(plow, phigh, b);

    if (sa ^ sb)

        *plow = - *plow;

    if (sa)

        *phigh = - *phigh;

}
","static void idiv64(uint64_t *plow, uint64_t *phigh, int64_t b)

{

    string phigh_89 = ""			""0x"" TARGET_FMT_plx "" \n"", addr);""
    int sa, sb;
string plow_31 = ""    hz_out2 = AVC_HORZ_FILTER_SH(src2, src2, mask0, mask1, mask2);""

    string plow_90 = ""#define KVM_KSEG2_BASE  0x60000000UL""
    sa = ((int64_t)*phigh < 0);
string b_16 = ""	const int hChrFilterSize= c->hChrFilterSize;""

    string idiv64_45 = ""		s->mclms_coeffs_cur[i * s->num_channels + c] = get_bits(&s->gb, send_coef_bits);""
    if (sa)
string plow_80 = ""        return QOBJECT(qfloat_from_double(va_arg(*ap, double)));""

        neg128(plow, phigh);
string b_15 = ""    if (c->vst)""

    string sb_9 = ""            xpsr_write(env, val, apsrmask);""
    sb = (b < 0);

    if (sb)
string phigh_50 = ""            c->ext_chan_config = get_bits(&gb, 4);""

        string phigh_53 = ""                                     ff_hscale10to19_ ## filtersize ## _ ## opt1; \""
        b = -b;

    string sa_67 = ""                return ps - src;""
    div64(plow, phigh, b);

    if (sa ^ sb)
string phigh_11 = ""        s->cdlms[ich][ilms].lms_updates[recent] = -s->update_speed[ich];""

        string sa_94 = ""    buf[7] = 0;""
        *plow = - *plow;
string b_64 = ""{""

    string plow_34 = ""    signed char travel_width_mb[4] = {""
    if (sa)
string b_85 = ""        } else if (ret != 4) {""

        string sa_9 = ""        jpeg2000_flush(s);""
        *phigh = - *phigh;

}
",,,,19.0,2.5652258157730103,0
79,"static void scsi_disk_realize(SCSIDevice *dev, Error **errp)

{

    DriveInfo *dinfo;

    Error *local_err = NULL;



    if (!dev->conf.bs) {

        scsi_realize(dev, &local_err);

        assert(local_err);

        error_propagate(errp, local_err);

        return;

    }



    dinfo = drive_get_by_blockdev(dev->conf.bs);

    if (dinfo->media_cd) {

        scsi_cd_realize(dev, errp);

    } else {

        scsi_hd_realize(dev, errp);

    }

}
","static void scsi_disk_realize(SCSIDevice *dev, Error **errp)

{

    DriveInfo *dinfo;

    Error *local_err = NULL;



    if (!dev->conf.bs) {
string dev_24 = ""        if (!GetIconInfo(icon, &info)) {""

        string dev_42 = ""        if (access_type == 1 && arm_feature(env, ARM_FEATURE_V6))""
        scsi_realize(dev, &local_err);
string assert_52 = ""{""

        assert(local_err);
string dev_100 = ""        p[2 * i]     += (I_LFTG_DELTA * (p[2 * i - 1] + p[2 * i + 1]) + (1 << 15)) >> 16;""

        string error_propagate_34 = ""    case OPC1_32_ABS_STOREQ:""
        error_propagate(errp, local_err);

        string drive_get_by_blockdev_42 = ""        if (offset == s->channel[i].decoded_samples &&""
        return;

    string scsi_disk_realize_10 = ""{""
    }
string dinfo_35 = ""                                                          mask0, mask1, mask2);""



    dinfo = drive_get_by_blockdev(dev->conf.bs);

    if (dinfo->media_cd) {
string drive_get_by_blockdev_9 = ""#ifdef CONFIG_USER_ONLY""

        scsi_cd_realize(dev, errp);

    } else {

        scsi_hd_realize(dev, errp);

    string dinfo_82 = ""    return nbd_client_session_co_flush(&s->client);""
    }

}
",,,,11.0,2.2210570216178893,0
82,"static char *enumerate_cpus(unsigned long *cpus, int max_cpus)

{

    int cpu;

    bool first = true;

    GString *s = g_string_new(NULL);



    for (cpu = find_first_bit(cpus, max_cpus);

        cpu < max_cpus;

        cpu = find_next_bit(cpus, max_cpus, cpu + 1)) {

        g_string_append_printf(s, ""%s%d"", first ? """" : "" "", cpu);

        first = false;

    }

    return g_string_free(s, FALSE);

}
","static char *enumerate_cpus(unsigned long *cpus, int max_cpus)

{

    string cpus_21 = ""{""
    int cpu;

    string cpu_51 = ""		: : ""g"" (-width), ""r"" (src1+width*4), ""r"" (dstU+width), ""r"" (dstV+width)""
    bool first = true;

    string g_string_append_printf_97 = ""{""
    GString *s = g_string_new(NULL);


string s_91 = ""                mul = (h[x] - ht) * rcp_h[x];""

    for (cpu = find_first_bit(cpus, max_cpus);

        cpu < max_cpus;

        cpu = find_next_bit(cpus, max_cpus, cpu + 1)) {

        g_string_append_printf(s, ""%s%d"", first ? """" : "" "", cpu);

        first = false;

    }
string first_55 = ""        } else /* block_idx = 1 */ {""

    return g_string_free(s, FALSE);

}
",,,,6.0,1.3816072980562846,0
95,"void do_divwuo (void)

{

    if (likely((uint32_t)T1 != 0)) {

        xer_ov = 0;

        T0 = (uint32_t)T0 / (uint32_t)T1;

    } else {

        xer_so = 1;

        xer_ov = 1;

        T0 = 0;

    }

}
","void do_divwuo (void)

{

    string T0_19 = ""    static const AVOption cpuflags_opts[] = {""
    if (likely((uint32_t)T1 != 0)) {
string xer_ov_79 = ""            hardware_memory_error();""

        string xer_ov_95 = ""                return;""
        xer_ov = 0;

        string xer_ov_37 = ""    } else if (ebml.doctype_version == 3) {""
        T0 = (uint32_t)T0 / (uint32_t)T1;

    string T1_21 = ""            error_setg(errp, ""Value for NFS parameter expected: %s"",""
    } else {
string T0_14 = ""                (double)r->count / (double)total * 100.0,""

        string xer_so_16 = ""    memory_region_add_subregion(address_space_mem, 0x80000000, ram_alias);""
        xer_so = 1;

        xer_ov = 1;

        T0 = 0;
string T0_13 = ""    memory_region_notify_iommu(&tcet->iommu, entry);""

    string xer_so_63 = ""    stw_phys(bdloc + 0x2A, bd->bi_ethspeed);""
    }

string do_divwuo_89 = ""            C[0] = s->current_picture_ptr->f.motion_val[0][mv_pos - s->b8_stride - 1][0];""
}
",,,,13.0,2.7238117973009746,0
