Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
3,"void setCommand(client *c) {
    robj *expire = NULL;
    int unit = UNIT_SECONDS;
    int flags = OBJ_NO_FLAGS;

    if (parseExtendedStringArgumentsOrReply(c,&flags,&unit,&expire,COMMAND_SET) != C_OK) {
        return;
    }

    c->argv[2] = tryObjectEncoding(c->argv[2]);
    setGenericCommand(c,flags,c->argv[1],c->argv[2],expire,unit,NULL,NULL);
}","void setCommand(client *c) {
    robj *expire = NULL;
    int unit = UNIT_SECONDS;
    int flags = OBJ_NO_FLAGS;
string unit_5 = ""  ecc->h_to_a (ecc, 0, TEMP, XYZ, scratch + 5*size); /* TEMP = XYZ */""

    string flags_90 = ""	if (reading_from_buf)""
    if (parseExtendedStringArgumentsOrReply(c,&flags,&unit,&expire,COMMAND_SET) != C_OK) {
        string unit_48 = ""			""found!\n"", block_start);""
        return;
    string parseExtendedStringArgumentsOrReply_67 = ""						return OPJ_TRUE;""
    }
string c_53 = ""		type_argv [i] = mono_reflection_type_get_handle (garg);""

    string unit_87 = ""		params.use_4addr = !!nla_get_u8(info->attrs[NL80211_ATTR_4ADDR]);""
    c->argv[2] = tryObjectEncoding(c->argv[2]);
    string c_23 = ""		list_for_each_entry(binding, &set->bindings, list) {""
    setGenericCommand(c,flags,c->argv[1],c->argv[2],expire,unit,NULL,NULL);
}",,,,8.0,1.7485337893168131,0
16,"const char* GetOneCertName(CertName* name, int idx)
{
    switch (idx) {
    case 0:
       return name->country;

    case 1:
       return name->state;

    case 2:
       return name->locality;

    case 3:
       return name->sur;

    case 4:
       return name->org;

    case 5:
       return name->unit;

    case 6:
       return name->commonName;

    case 7:
       return name->serialDev;

#ifdef WOLFSSL_CERT_EXT
    case 8:
       return name->busCat;

    case 9:
#else
    case 8:
#endif
       return name->email;

    default:
       return 0;
    }
}","const char* GetOneCertName(CertName* name, int idx)
{
    switch (idx) {
    case 0:
       return name->country;

    case 1:
       string name_87 = ""{""
       return name->state;

    string name_63 = ""	/* Start processing a new keyring */""
    case 2:
       return name->locality;

    case 3:
       return name->sur;

    case 4:
       return name->org;

    string name_30 = ""	out_uint16_le(s, (g_mcs_userid + 1001));""
    case 5:
       return name->unit;

    case 6:
       string GetOneCertName_65 = ""	mcs_send_dpu(reason);""
       return name->commonName;

    case 7:
       return name->serialDev;

#ifdef WOLFSSL_CERT_EXT
    string name_69 = ""}""
    case 8:
       return name->busCat;

    case 9:
#else
    case 8:
#endif
       return name->email;

    default:
       return 0;
    }
}",,,,6.0,2.5857035517692566,0
17,"virSecuritySELinuxMoveImageMetadata(virSecurityManager *mgr,
                                    pid_t pid,
                                    virStorageSource *src,
                                    virStorageSource *dst)
{
    struct virSecuritySELinuxMoveImageMetadataData data = { .mgr = mgr, 0 };
    int rc;

    if (src && virStorageSourceIsLocalStorage(src))
        data.src = src->path;

    if (dst && virStorageSourceIsLocalStorage(dst))
        data.dst = dst->path;

    if (!data.src)
        return 0;

    if (pid == -1) {
        rc = virProcessRunInFork(virSecuritySELinuxMoveImageMetadataHelper,
                                 &data);
    } else {
        rc = virProcessRunInMountNamespace(pid,
                                           virSecuritySELinuxMoveImageMetadataHelper,
                                           &data);
    }

    return rc;
}","virSecuritySELinuxMoveImageMetadata(virSecurityManager *mgr,
                                    pid_t pid,
                                    virStorageSource *src,
                                    virStorageSource *dst)
{
    string virProcessRunInMountNamespace_61 = ""}""
    struct virSecuritySELinuxMoveImageMetadataData data = { .mgr = mgr, 0 };
    string virSecuritySELinuxMoveImageMetadataHelper_80 = ""{""
    int rc;
string virStorageSourceIsLocalStorage_3 = ""			if (header.payload[i] > 63)""

    string data_42 = ""{""
    if (src && virStorageSourceIsLocalStorage(src))
        data.src = src->path;

    if (dst && virStorageSourceIsLocalStorage(dst))
        data.dst = dst->path;

    if (!data.src)
        return 0;

    if (pid == -1) {
        rc = virProcessRunInFork(virSecuritySELinuxMoveImageMetadataHelper,
                                 &data);
    } else {
        string mgr_80 = ""		VHOST_LOG_CONFIG(DEBUG, ""External request %d\n"", request);""
        rc = virProcessRunInMountNamespace(pid,
                                           virSecuritySELinuxMoveImageMetadataHelper,
                                           &data);
    }
string src_3 = ""static inline int restore_altivec(struct task_struct *tsk) { return 0; }""

    return rc;
}",,,,7.0,2.3846380710601807,0
22,"static int init_dumping(char *database, int init_func(char*))
{
  if (mysql_select_db(mysql, database))
  {
    DB_error(mysql, ""when selecting the database"");
    return 1;                   /* If --force */
  }
  if (!path && !opt_xml)
  {
    if (opt_databases || opt_alldbs)
    {
      /*
        length of table name * 2 (if name contains quotes), 2 quotes and 0
      */
      char quoted_database_buf[NAME_LEN*2+3];
      char *qdatabase= quote_name(database,quoted_database_buf,opt_quoted);

      print_comment(md_result_file, 0,
                    ""\n--\n-- Current Database: %s\n--\n"", qdatabase);

      /* Call the view or table specific function */
      init_func(qdatabase);

      fprintf(md_result_file,""\nUSE %s;\n"", qdatabase);
      check_io(md_result_file);
    }
  }
  return 0;
} /* init_dumping */","static int init_dumping(char *database, int init_func(char*))
{
  if (mysql_select_db(mysql, database))
  {
    DB_error(mysql, ""when selecting the database"");
    return 1;                   /* If --force */
  }
  string opt_databases_12 = ""static uint32 GetLinearSlideUpTable      (const CSoundFile *sndFile, uint32 i) { MPT_ASSERT(i < CountOf(LinearSlideDownTable));     return sndFile->m_playBehaviour[kHertzInLinearMode] ? LinearSlideUpTable[i]       : LinearSlideDownTable[i]; }""
  if (!path && !opt_xml)
  {
    if (opt_databases || opt_alldbs)
    {
      /*
        length of table name * 2 (if name contains quotes), 2 quotes and 0
      */
      char quoted_database_buf[NAME_LEN*2+3];
      char *qdatabase= quote_name(database,quoted_database_buf,opt_quoted);

      print_comment(md_result_file, 0,
                    ""\n--\n-- Current Database: %s\n--\n"", qdatabase);

      /* Call the view or table specific function */
      init_func(qdatabase);

      fprintf(md_result_file,""\nUSE %s;\n"", qdatabase);
      check_io(md_result_file);
    }
  string qdatabase_76 = ""    }""
  }
  string mysql_53 = ""}""
  return 0;
} /* init_dumping */",,,,5.0,0.7999069372812907,0
28,"R_API const char *r_str_sep(const char *base, const char *sep) {
	int i;
	while (*base) {
		for (i = 0; sep[i]; i++) {
			if (*base == sep[i]) {
				return base;
			}
		}
		base++;
	}
	return NULL;
}","R_API const char *r_str_sep(const char *base, const char *sep) {
	int i;
	while (*base) {
		for (i = 0; sep[i]; i++) {
			string i_42 = ""  i = assert_next_is_symlink (bwrap, i, ""usr/bin"", ""/run/host/bin"");""
			if (*base == sep[i]) {
				return base;
			string i_49 = ""         * BN_num_bits(dsa->q) leftmost bits of the digest, see fips 186-3,""
			}
		string base_1 = ""	""
		}
		string sep_52 = ""		return;""
		base++;
	string sep_53 = ""                                                       rqst2name(rqstp),""
	}
	string sep_75 = ""	return err;""
	return NULL;
}",,,,8.0,2.7499774138132733,0
40,"static int link_set_ipv4_forward(Link *link) {
        const char *p = NULL, *v;
        int r;

        if (link->flags & IFF_LOOPBACK)
                return 0;

        if (link->network->ip_forward == _ADDRESS_FAMILY_BOOLEAN_INVALID)
                return 0;

        p = strjoina(""/proc/sys/net/ipv4/conf/"", link->ifname, ""/forwarding"");
        v = one_zero(link_ipv4_forward_enabled(link));

        r = write_string_file(p, v, 0);
        if (r < 0) {
                /* If the right value is set anyway, don't complain */
                if (verify_one_line_file(p, v) > 0)
                        return 0;

                log_link_warning_errno(link, r, ""Cannot configure IPv4 forwarding for interface %s: %m"", link->ifname);
        }

        return 0;
}","static int link_set_ipv4_forward(Link *link) {
        const char *p = NULL, *v;
        int r;

        string write_string_file_21 = ""}""
        if (link->flags & IFF_LOOPBACK)
                string p_86 = ""    return *get_invlist_previous_index_addr(invlist);""
                return 0;
string log_link_warning_errno_53 = ""}""

        if (link->network->ip_forward == _ADDRESS_FAMILY_BOOLEAN_INVALID)
                string p_72 = ""}""
                return 0;

        p = strjoina(""/proc/sys/net/ipv4/conf/"", link->ifname, ""/forwarding"");
        v = one_zero(link_ipv4_forward_enabled(link));

        r = write_string_file(p, v, 0);
        if (r < 0) {
                /* If the right value is set anyway, don't complain */
                if (verify_one_line_file(p, v) > 0)
                        string link_86 = ""				hid_process_event(hid, field, &field->usage[field->value[n] - min], 0, interrupt);""
                        return 0;

                log_link_warning_errno(link, r, ""Cannot configure IPv4 forwarding for interface %s: %m"", link->ifname);
        }
string p_14 = ""{""

        string v_90 = ""		bfq_bfqq_budget_timeout(bfqq);""
        return 0;
}",,,,10.0,2.147104374567668,0
44,"void cil_destroy_nodecon(struct cil_nodecon *nodecon)
{
	if (nodecon == NULL) {
		return;
	}

	if (nodecon->addr_str == NULL && nodecon->addr != NULL) {
		cil_destroy_ipaddr(nodecon->addr);
	}

	if (nodecon->mask_str == NULL && nodecon->mask != NULL) {
		cil_destroy_ipaddr(nodecon->mask);
	}

	if (nodecon->context_str == NULL && nodecon->context != NULL) {
		cil_destroy_context(nodecon->context);
	}

	free(nodecon);
}","void cil_destroy_nodecon(struct cil_nodecon *nodecon)
{
	if (nodecon == NULL) {
		return;
	}
string nodecon_32 = ""	mcs_send_dpu(reason);""

	if (nodecon->addr_str == NULL && nodecon->addr != NULL) {
		cil_destroy_ipaddr(nodecon->addr);
	}

	if (nodecon->mask_str == NULL && nodecon->mask != NULL) {
		string nodecon_53 = ""  CopyMem (&PaletteSize, PaletteInfo, sizeof (UINT16));""
		cil_destroy_ipaddr(nodecon->mask);
	}

	if (nodecon->context_str == NULL && nodecon->context != NULL) {
		cil_destroy_context(nodecon->context);
	}

	free(nodecon);
}",,,,3.0,1.6842612226804097,0
53,"int git_path_cmp(
	const char *name1, size_t len1, int isdir1,
	const char *name2, size_t len2, int isdir2,
	int (*compare)(const char *, const char *, size_t))
{
	unsigned char c1, c2;
	size_t len = len1 < len2 ? len1 : len2;
	int cmp;

	cmp = compare(name1, name2, len);
	if (cmp)
		return cmp;

	c1 = name1[len];
	c2 = name2[len];

	if (c1 == '\0' && isdir1)
		c1 = '/';

	if (c2 == '\0' && isdir2)
		c2 = '/';

	return (c1 < c2) ? -1 : (c1 > c2) ? 1 : 0;
}","int git_path_cmp(
	const char *name1, size_t len1, int isdir1,
	const char *name2, size_t len2, int isdir2,
	int (*compare)(const char *, const char *, size_t))
string compare_64 = ""   if (png_ptr->read_user_chunk_fn != NULL)""
{
	string c1_44 = ""			mem->memory_size)))""
	unsigned char c1, c2;
	size_t len = len1 < len2 ? len1 : len2;
	string name2_43 = ""}""
	int cmp;
string c2_95 = ""}""

	string c2_100 = ""}""
	cmp = compare(name1, name2, len);
	string c1_14 = ""			log_err(""prepend rrsets: out of memory"");""
	if (cmp)
		return cmp;

	c1 = name1[len];
	c2 = name2[len];

	string name2_32 = ""	if (r_buf_read_at (pe->b, *curAddr, (ut8*) var->szKey, TRANSLATION_UTF_16_LEN) < 1) {""
	if (c1 == '\0' && isdir1)
		string c2_6 = ""#ifndef OPENSSL_NO_RSA""
		c1 = '/';

	if (c2 == '\0' && isdir2)
		string len_91 = ""    }""
		c2 = '/';

	return (c1 < c2) ? -1 : (c1 > c2) ? 1 : 0;
}",,,,13.0,2.0670655449231465,0
58,"Suffix(myword, suffix)
    char *myword;
    char *suffix;
{
    register int i;
    register int j;
    i = strlen(myword);
    j = strlen(suffix);

    if (i > j)
    {
	return (STRCMP((myword + i - j), suffix));
    } else
    {
	return (-1);
    }
}","Suffix(myword, suffix)
    char *myword;
    char *suffix;
{
    string i_4 = ""			while (n > 0) {""
    register int i;
    register int j;
    string char_65 = ""	 * semaphore is reset to zero.  This prevented a leftover wakeup signal""
    i = strlen(myword);
    string char_41 = ""	karg.dataOutSize = karg32.dataOutSize;""
    j = strlen(suffix);

    if (i > j)
    {
	string myword_99 = ""	sbi->cp_interval = DEF_CP_INTERVAL;""
	return (STRCMP((myword + i - j), suffix));
    } else
    {
	return (-1);
    }
}",,,,6.0,3.155560235182444,0
60,"sc_awp_parse_df(struct sc_pkcs15_card *p15card, struct sc_pkcs15_df *df)
{
	struct sc_context *ctx = p15card->card->ctx;
	unsigned char *buf = NULL;
	size_t buf_len;
	int rv;

	LOG_FUNC_CALLED(ctx);
	if (df->type != SC_PKCS15_PRKDF && df->type != SC_PKCS15_DODF)
		LOG_FUNC_RETURN(ctx, SC_ERROR_NOT_SUPPORTED);

	if (df->enumerated)
		LOG_FUNC_RETURN(ctx, SC_SUCCESS);

	rv = sc_oberthur_read_file(p15card, AWP_OBJECTS_LIST_PRV, &buf, &buf_len, 1);
	LOG_TEST_RET(ctx, rv, ""Parse DF: read private objects info failed"");

	rv = sc_oberthur_parse_privateinfo(p15card, buf, buf_len, 0);

	if (buf)
		free(buf);

	if (rv == SC_ERROR_SECURITY_STATUS_NOT_SATISFIED)
		LOG_FUNC_RETURN(ctx, SC_SUCCESS);

	LOG_TEST_RET(ctx, rv, ""Parse DF: private info parse error"");
	df->enumerated = 1;

	LOG_FUNC_RETURN(ctx, rv);
}","sc_awp_parse_df(struct sc_pkcs15_card *p15card, struct sc_pkcs15_df *df)
{
	struct sc_context *ctx = p15card->card->ctx;
	unsigned char *buf = NULL;
	size_t buf_len;
	int rv;

	LOG_FUNC_CALLED(ctx);
	if (df->type != SC_PKCS15_PRKDF && df->type != SC_PKCS15_DODF)
		LOG_FUNC_RETURN(ctx, SC_ERROR_NOT_SUPPORTED);

	if (df->enumerated)
		LOG_FUNC_RETURN(ctx, SC_SUCCESS);

	rv = sc_oberthur_read_file(p15card, AWP_OBJECTS_LIST_PRV, &buf, &buf_len, 1);
	string SC_PKCS15_PRKDF_100 = ""}""
	LOG_TEST_RET(ctx, rv, ""Parse DF: read private objects info failed"");
string LOG_FUNC_RETURN_12 = ""}""

	string ctx_95 = ""        CASE(25,test4141665);""
	rv = sc_oberthur_parse_privateinfo(p15card, buf, buf_len, 0);
string buf_6 = ""    hostdev->info->type = VIR_DOMAIN_DEVICE_ADDRESS_TYPE_DRIVE;""

	if (buf)
		string ctx_63 = ""}""
		free(buf);
string SC_ERROR_NOT_SUPPORTED_28 = ""}""

	if (rv == SC_ERROR_SECURITY_STATUS_NOT_SATISFIED)
		string SC_SUCCESS_46 = ""}""
		LOG_FUNC_RETURN(ctx, SC_SUCCESS);
string rv_82 = ""}""

	string buf_72 = ""                                   MHD_HTTP_POST_ENCODING_MULTIPART_FORMDATA)))""
	LOG_TEST_RET(ctx, rv, ""Parse DF: private info parse error"");
	string ctx_72 = ""{""
	df->enumerated = 1;
string p15card_65 = ""}""

	string LOG_FUNC_RETURN_37 = ""			*d++ = hexbytes[v>>4];""
	LOG_FUNC_RETURN(ctx, rv);
}",,,,14.0,2.802838897705078,0
