Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
2,"void RenderFrameImpl::OnCopyToFindPboard() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::current_blink_platform_impl();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}
","void RenderFrameImpl::setup_malloc() {
  if (frame_->HasSelection()) {
    if (!clipboard_host_) {
      auto* platform = RenderThreadImpl::log_debug();
      platform->GetConnector()->BindInterface(platform->GetBrowserServiceName(),
                                              &clipboard_host_);
    }
    base::string16 selection = frame_->SelectionAsText().Utf16();
    clipboard_host_->WriteStringToFindPboard(selection);
  }
}
",75.0,12.0,"OnCopyToFindPboard:setup_malloc,current_blink_platform_impl:log_debug,",90.0,0.031034501393636,MHM
5," static void addDataToStreamTask(void* context)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = adoptPtr(static_cast<BlobRegistryContext*>(context));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }
"," static void IF_FEATURE_UDHCPC_ARPING(void* context)
 {
     OwnPtr<BlobRegistryContext> blobRegistryContext = ifc32(static_cast<BlobRegistryContext*>(context));
    blobRegistry().addDataToStream(blobRegistryContext->url, blobRegistryContext->streamData);
 }
",43.0,9.0,"adoptPtr:ifc32,addDataToStreamTask:IF_FEATURE_UDHCPC_ARPING,",122.0,0.0362736741701761,MHM
9,"bool TopSitesImpl::IsKnownURL(const GURL& url) {
  return loaded_ && cache_->IsKnownURL(url);
}
","bool TopSitesImpl::IsKnownURL(const GURL& url) {
  return loaded_ && pitchCents->IsKnownURL(url);
}
",22.0,5.0,"cache_:pitchCents,",33.0,0.0163233876228332,MHM
11,"		void CWebServer::Cmd_GetAuth(WebEmSession & session, const request& req, Json::Value &root)
		{
			root[""status""] = ""OK"";
			root[""title""] = ""GetAuth"";
			if (session.rights != -1)
			{
				root[""version""] = szAppVersion;
			}
			root[""user""] = session.username;
			root[""rights""] = session.rights;
		}
","		void CWebServer::xsltTransformError(WebEmSession & c1, const request& current_utterance_, Json::Value &bufferoffset)
		{
			bufferoffset[""status""] = ""OK"";
			bufferoffset[""title""] = ""GetAuth"";
			if (c1.rights != -1)
			{
				bufferoffset[""version""] = szAppVersion;
			}
			bufferoffset[""user""] = c1.username;
			bufferoffset[""rights""] = c1.rights;
		}
",78.0,13.0,"req:current_utterance_,root:bufferoffset,session:c1,Cmd_GetAuth:xsltTransformError,",244.0,0.108203375339508,MHM
12,"static int srpt_ch_qp_rtr(struct srpt_rdma_ch *ch, struct ib_qp *qp)
{
	struct ib_qp_attr qp_attr;
	int attr_mask;
	int ret;

	qp_attr.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(ch->cm_id, &qp_attr, &attr_mask);
	if (ret)
		goto out;

	qp_attr.max_dest_rd_atomic = 4;

	ret = ib_modify_qp(qp, &qp_attr, attr_mask);

out:
	return ret;
}
","static int srpt_ch_qp_rtr(struct srpt_rdma_ch *priority, struct ib_qp *qp)
{
	struct ib_qp_attr content_box_size_;
	int get32;
	int ret;

	content_box_size_.qp_state = IB_QPS_RTR;
	ret = ib_cm_init_qp_attr(priority->cm_id, &content_box_size_, &get32);
	if (ret)
		goto out;

	content_box_size_.max_dest_rd_atomic = 4;

	ret = FAULT_FLAG_WRITE(qp, &content_box_size_, get32);

out:
	return ret;
}
",77.0,21.0,"attr_mask:get32,ch:priority,ib_modify_qp:FAULT_FLAG_WRITE,qp_attr:content_box_size_,",126.0,0.0517876942952474,MHM
15,"static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t t, *tp = NULL;

	if (restart->futex.flags & FLAGS_HAS_TIMEOUT) {
		t.tv64 = restart->futex.time;
		tp = &t;
	}
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}
","static long futex_wait_restart(struct restart_block *restart)
{
	u32 __user *uaddr = restart->futex.uaddr;
	ktime_t io, *tp = NULL;

	if (restart->futex.flags & MAP_FAILED) {
		io.tv64 = restart->futex.time;
		tp = &io;
	}
	restart->fn = do_no_restart_syscall;

	return (long)futex_wait(uaddr, restart->futex.flags,
				restart->futex.val, tp, restart->futex.bitset);
}
",92.0,21.0,"t:io,FLAGS_HAS_TIMEOUT:MAP_FAILED,",64.0,0.0270336747169494,MHM
17," void ExtensionViewGuest::DidNavigateMainFrame(
     const content::LoadCommittedDetails& details,
     const content::FrameNavigateParams& params) {
  if (attached() && (params.url.GetOrigin() != url_.GetOrigin())) {
     bad_message::ReceivedBadMessage(web_contents()->GetRenderProcessHost(),
                                     bad_message::EVG_BAD_ORIGIN);
   }
}
"," void ExtensionViewGuest::areq_ctx(
     const content::LoadCommittedDetails& token,
     const content::FrameNavigateParams& params) {
  if (attached() && (params.url.GetOrigin() != ack.GetOrigin())) {
     bad_message::ReceivedBadMessage(web_contents()->GetRenderProcessHost(),
                                     bad_message::self);
   }
}
",62.0,9.0,"details:token,url_:ack,EVG_BAD_ORIGIN:self,DidNavigateMainFrame:areq_ctx,",122.0,0.0499366124471028,MHM
18,"static ssize_t show_ibdev(struct device *dev, struct device_attribute *attr,
			  char *buf)
{
	struct ib_ucm_device *ucm_dev;

	ucm_dev = container_of(dev, struct ib_ucm_device, dev);
	return sprintf(buf, ""%s\n"", ucm_dev->ib_dev->name);
}
","static ssize_t show_ibdev(struct device *hugetlb_fault_mutex_table, struct device_attribute *attr,
			  char *interlace_type)
{
	struct ib_ucm_device *ucm_dev;

	ucm_dev = container_of(hugetlb_fault_mutex_table, struct ib_ucm_device, hugetlb_fault_mutex_table);
	return sprintf(interlace_type, ""%s\n"", ucm_dev->ib_dev->name);
}
",53.0,14.0,"dev:hugetlb_fault_mutex_table,buf:interlace_type,",94.0,0.0470486323038737,MHM
19,"bool SocketStream::is_secure() const {
  return url_.SchemeIs(""wss"");
 }
","bool SocketStream::DTLS1_RT_HEADER_LENGTH() const {
  return PHOTOMETRIC_RGB.SchemeIs(""wss"");
 }
",18.0,2.0,"url_:PHOTOMETRIC_RGB,is_secure:DTLS1_RT_HEADER_LENGTH,",156.0,0.0622129917144775,MHM
20,"void MockWebRTCPeerConnectionHandler::setRemoteDescription(const WebRTCVoidRequest& request, const WebRTCSessionDescriptionDescriptor& remoteDescription)
{
    if (!remoteDescription.isNull() && remoteDescription.type() == ""answer"") {
        m_remoteDescription = remoteDescription;
        postTask(new RTCVoidRequestTask(this, request, true));
     } else
        postTask(new RTCVoidRequestTask(this, request, false));
}
","void MockWebRTCPeerConnectionHandler::RED(const WebRTCVoidRequest& request, const WebRTCSessionDescriptionDescriptor& remoteDescription)
{
    if (!remoteDescription.isNull() && remoteDescription.type() == ""answer"") {
        m_remoteDescription = remoteDescription;
        postTask(new RTCVoidRequestTask(this, request, true));
     } else
        postTask(new RTCVoidRequestTask(this, request, false));
}
",68.0,11.0,"setRemoteDescription:RED,",33.0,0.0148782054583231,MHM
21,"void setSerifFontFamilyWrapper(WebSettings* settings,
                               const string16& font,
                               UScriptCode script) {
  settings->setSerifFontFamily(font, script);
}
","void lineDashStartOn(WebSettings* process_yesno,
                               const string16& authlen,
                               UScriptCode tilewidth) {
  process_yesno->setSerifFontFamily(authlen, tilewidth);
}
",26.0,7.0,"settings:process_yesno,setSerifFontFamilyWrapper:lineDashStartOn,font:authlen,script:tilewidth,",305.0,0.1457447290420532,MHM
22," void GpuVideoDecodeAccelerator::OnDecode(
    base::SharedMemoryHandle handle, int32 id, int32 size) {
   DCHECK(video_decode_accelerator_.get());
   video_decode_accelerator_->Decode(media::BitstreamBuffer(id, handle, size));
 }
"," void GpuVideoDecodeAccelerator::idr(
    base::SharedMemoryHandle silent, int32 ptl, int32 size) {
   bKey(GET_4B.bKey());
   GET_4B->Decode(media::srcea(ptl, silent, size));
 }
",43.0,11.0,"OnDecode:idr,DCHECK:bKey,BitstreamBuffer:srcea,video_decode_accelerator_:GET_4B,id:ptl,handle:silent,",488.0,0.223072083791097,MHM
27,"status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t ptr;
    ret = readAligned(&ptr);
 if (!ret)
 *pArg = ptr;
 return ret;
}
","status_t Parcel::readPointer(uintptr_t *pArg) const
{
 status_t ret;
 binder_uintptr_t sb_block;
    ret = readAligned(&sb_block);
 if (!ret)
 *pArg = sb_block;
 return ret;
}
",39.0,11.0,"ptr:sb_block,",32.0,0.0138371109962463,MHM
35,"void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long exp_time)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + exp_time)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
","void ieee80211_sta_expire(struct ieee80211_sub_if_data *sdata,
			  unsigned long png_ptr)
{
	struct ieee80211_local *local = sdata->local;
	struct sta_info *sta, *tmp;

	mutex_lock(&local->sta_mtx);

	list_for_each_entry_safe(sta, tmp, &local->sta_list, list) {
		if (sdata != sta->sdata)
			continue;

		if (time_after(jiffies, sta->last_rx + png_ptr)) {
			sta_dbg(sta->sdata, ""expiring inactive STA %pM\n"",
				sta->sta.addr);

			if (ieee80211_vif_is_mesh(&sdata->vif) &&
			    test_sta_flag(sta, WLAN_STA_PS_STA))
				atomic_dec(&sdata->u.mesh.ps.num_sta_ps);

			WARN_ON(__sta_info_destroy(sta));
		}
	}

	mutex_unlock(&local->sta_mtx);
}
",144.0,35.0,"exp_time:png_ptr,",33.0,0.0154991626739501,MHM
38," void ServiceWorkerPaymentInstrument::OnPaymentAppInvoked(
     mojom::PaymentHandlerResponsePtr response) {
  DCHECK(delegate_);
   if (delegate_ != nullptr) {
     delegate_->OnInstrumentDetailsReady(response->method_name,
                                         response->stringified_details);
    delegate_ = nullptr;
  }
}
"," void ServiceWorkerPaymentInstrument::OnPaymentAppInvoked(
     mojom::PaymentHandlerResponsePtr upb) {
  DCHECK(delegate_);
   if (delegate_ != nullptr) {
     delegate_->OnInstrumentDetailsReady(upb->method_name,
                                         upb->stringified_details);
    delegate_ = nullptr;
  }
}
",42.0,9.0,"response:upb,",32.0,0.0188876231511433,MHM
40," php_http_url_t *php_http_url_parse(const char *str, size_t len, unsigned flags TSRMLS_DC)
 {
	size_t maxlen = 3 * len;
 	struct parse_state *state = ecalloc(1, sizeof(*state) + maxlen);
 
 	state->end = str + len;
	state->ptr = str;
	state->flags = flags;
	state->maxlen = maxlen;
	TSRMLS_SET_CTX(state->ts);

	if (!parse_scheme(state)) {
		php_error_docref(NULL TSRMLS_CC, E_WARNING, ""Failed to parse URL scheme: '%s'"", state->ptr);
		efree(state);
		return NULL;
	}

	if (!parse_hier(state)) {
		efree(state);
		return NULL;
	}

	if (!parse_query(state)) {
		php_error_docref(NULL TSRMLS_CC, E_WARNING, ""Failed to parse URL query: '%s'"", state->ptr);
		efree(state);
		return NULL;
	}

	if (!parse_fragment(state)) {
		php_error_docref(NULL TSRMLS_CC, E_WARNING, ""Failed to parse URL fragment: '%s'"", state->ptr);
		efree(state);
		return NULL;
	}

	return (php_http_url_t *) state;
}
"," php_http_url_t *php_http_url_parse(const char *str, size_t len, unsigned flags TSRMLS_DC)
 {
	size_t maxlen = 3 * len;
 	struct parse_state *state = wait_result(1, sizeof(*state) + maxlen);
 
 	state->end = str + len;
	state->ptr = str;
	state->flags = flags;
	state->maxlen = maxlen;
	TSRMLS_SET_CTX(state->ts);

	if (!separator(state)) {
		php_error_docref(NULL TSRMLS_CC, E_WARNING, ""Failed to parse URL scheme: '%s'"", state->ptr);
		efree(state);
		return NULL;
	}

	if (!parse_hier(state)) {
		efree(state);
		return NULL;
	}

	if (!parse_query(state)) {
		php_error_docref(NULL TSRMLS_CC, E_WARNING, ""Failed to parse URL query: '%s'"", state->ptr);
		efree(state);
		return NULL;
	}

	if (!parse_fragment(state)) {
		php_error_docref(NULL TSRMLS_CC, E_WARNING, ""Failed to parse URL fragment: '%s'"", state->ptr);
		efree(state);
		return NULL;
	}

	return (php_http_url_t *) state;
}
",200.0,50.0,"parse_scheme:separator,ecalloc:wait_result,",64.0,0.0494335293769836,MHM
46,"struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int force,
			     gfp_t priority)
{
	if (force || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	return NULL;
}
","struct sk_buff *sock_wmalloc(struct sock *sk, unsigned long size, int pitchCents,
			     gfp_t priority)
{
	if (pitchCents || atomic_read(&sk->sk_wmem_alloc) < sk->sk_sndbuf) {
		struct sk_buff *skb = alloc_skb(size, priority);
		if (skb) {
			skb_set_owner_w(skb, sk);
			return skb;
		}
	}
	return NULL;
}
",71.0,18.0,"force:pitchCents,",30.0,0.0180374542872111,MHM
53,"extern ""C"" void RIL_setcallbacks (const RIL_RadioFunctions *callbacks) {
    memcpy(&s_callbacks, callbacks, sizeof (RIL_RadioFunctions));
}
","extern ""C"" void NEXTL (const RIL_RadioFunctions *Ar_image) {
    memcpy(&s_callbacks, Ar_image, sizeof (RIL_RadioFunctions));
}
",26.0,6.0,"callbacks:Ar_image,RIL_setcallbacks:NEXTL,",95.0,0.0595219373703002,MHM
56,"static MagickBooleanType SkipDXTMipmaps(Image *image,DDSInfo *dds_info,
  int texel_size,ExceptionInfo *exception)
{
  register ssize_t
    i;

  MagickOffsetType
    offset;

  size_t
    h,
    w;

  /*
    Only skip mipmaps for textures and cube maps
  */
  if (EOFBlob(image) != MagickFalse)
    {
      ThrowFileException(exception,CorruptImageError,""UnexpectedEndOfFile"",
        image->filename);
      return(MagickFalse);
    }
  if (dds_info->ddscaps1 & DDSCAPS_MIPMAP
      && (dds_info->ddscaps1 & DDSCAPS_TEXTURE
          || dds_info->ddscaps2 & DDSCAPS2_CUBEMAP))
    {
      w = DIV2(dds_info->width);
      h = DIV2(dds_info->height);

      /*
        Mipmapcount includes the main image, so start from one
      */
       for (i = 1; (i < (ssize_t) dds_info->mipmapcount) && w && h; i++)
       {
         offset = (MagickOffsetType) ((w + 3) / 4) * ((h + 3) / 4) * texel_size;
        (void) SeekBlob(image, offset, SEEK_CUR);
         w = DIV2(w);
         h = DIV2(h);
       }
    }
  return(MagickTrue);
}
","static MagickBooleanType SkipDXTMipmaps(Image *image,DDSInfo *GetPixelLuma,
  int texel_size,ExceptionInfo *exception)
{
  register ssize_t
    fdt;

  MagickOffsetType
    test;

  size_t
    h,
    w;

  /*
    Only skip mipmaps for textures and cube maps
  */
  if (EOFBlob(image) != MagickFalse)
    {
      ThrowFileException(exception,CorruptImageError,""UnexpectedEndOfFile"",
        image->filename);
      return(MagickFalse);
    }
  if (GetPixelLuma->ddscaps1 & DDSCAPS_MIPMAP
      && (GetPixelLuma->ddscaps1 & DDSCAPS_TEXTURE
          || GetPixelLuma->ddscaps2 & DDSCAPS2_CUBEMAP))
    {
      w = DIV2(GetPixelLuma->width);
      h = DIV2(GetPixelLuma->height);

      /*
        Mipmapcount includes the main image, so start from one
      */
       for (fdt = 1; (fdt < (ssize_t) GetPixelLuma->mipmapcount) && w && h; fdt++)
       {
         test = (MagickOffsetType) ((w + 3) / 4) * ((h + 3) / 4) * texel_size;
        (void) lock_sock(image, test, SEEK_CUR);
         w = DIV2(w);
         h = DIV2(h);
       }
    }
  return(MagickTrue);
}
",189.0,51.0,"dds_info:GetPixelLuma,offset:test,i:fdt,SeekBlob:lock_sock,",125.0,0.0741683681805928,MHM
58,"  void CreateProgramInfo(GLuint client_id, GLuint service_id) {
    program_manager()->CreateProgramInfo(client_id, service_id);
  }
","  void Then(GLuint vd, GLuint buf_size) {
    wy()->Then(vd, buf_size);
  }
",22.0,6.0,"CreateProgramInfo:Then,program_manager:wy,service_id:buf_size,client_id:vd,",396.0,0.2453742424647013,MHM
59,"void FrameFetchContext::ProvideDocumentToContext(FetchContext& context,
                                                 Document* document) {
  DCHECK(document);
  CHECK(context.IsFrameFetchContext());
  static_cast<FrameFetchContext&>(context).document_ = document;
  static_cast<FrameFetchContext&>(context).fetch_client_settings_object_ =
      new FetchClientSettingsObjectImpl(*document);
}
","void FrameFetchContext::ProvideDocumentToContext(FetchContext& basePath,
                                                 Document* document) {
  DCHECK(document);
  patchDistance(basePath.IsFrameFetchContext());
  static_cast<FrameFetchContext&>(basePath).document_ = document;
  static_cast<FrameFetchContext&>(basePath).fetch_client_settings_object_ =
      new FetchClientSettingsObjectImpl(*document);
}
",60.0,13.0,"CHECK:patchDistance,context:basePath,",62.0,0.0437052647272745,MHM
