Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
13,"void cpu_x86_init_mmu(CPUX86State *env)

{

    a20_enabled = 1;

    a20_mask = 0xffffffff;



    last_pg_state = -1;

    cpu_x86_update_cr0(env);

}
","void cpu_x86_init_mmu(CPUX86State *TS_PACKET_SIZE)

{

    first_cpu = 1;

    block_mig_state = 0xffffffff;



    last_pg_state = -1;

    limit(TS_PACKET_SIZE);

}
",26.0,7.0,"a20_mask:block_mig_state,env:TS_PACKET_SIZE,cpu_x86_update_cr0:limit,a20_enabled:first_cpu,",246.0,0.1476926088333129,MHM
14,"int qemu_cpu_self(void *env)

{

    return 1;

}
","int qemu_cpu_self(void *MUL64)

{

    return 1;

}
",12.0,2.0,"env:MUL64,",32.0,0.0231609344482421,MHM
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)

{

    s->nc.link_down = link_down;



    if (s->nc.peer) {

        s->nc.peer->link_down = link_down;

    }



    if (s->nc.info->link_status_changed) {

        s->nc.info->link_status_changed(&s->nc);

    }



    if (s->nc.peer && s->nc.peer->info->link_status_changed) {

        s->nc.peer->info->link_status_changed(s->nc.peer);

    }

}
","static void net_vhost_link_down(VhostUserState *av_realloc, bool clk_setup)

{

    av_realloc->nc.clk_setup = clk_setup;



    if (av_realloc->nc.peer) {

        av_realloc->nc.peer->clk_setup = clk_setup;

    }



    if (av_realloc->nc.info->link_status_changed) {

        av_realloc->nc.info->link_status_changed(&av_realloc->nc);

    }



    if (av_realloc->nc.peer && av_realloc->nc.peer->info->link_status_changed) {

        av_realloc->nc.peer->info->link_status_changed(av_realloc->nc.peer);

    }

}
",104.0,15.0,"s:av_realloc,link_down:clk_setup,",241.0,0.1300413449605306,MHM
18,"START_TEST(qint_get_int_test)

{

    QInt *qi;

    const int value = 123456;



    qi = qint_from_int(value);

    fail_unless(qint_get_int(qi) == value);



    QDECREF(qi);

}
","paddr(qint_get_int_test)

{

    QInt *qi;

    const int value = 123456;



    qi = qint_from_int(value);

    binkb_get_value(opkt(qi) == value);



    QDECREF(qi);

}
",38.0,12.0,"qint_get_int:opkt,START_TEST:paddr,fail_unless:binkb_get_value,",127.0,0.0918611486752827,MHM
26,"void st_flush_trace_buffer(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    trace_idx = 0;

}
","void JOINT_STEREO(void)

{

    if (trace_file_enabled) {

        flush_trace_file();

    }



    /* Discard written trace records */

    trace_idx = 0;

}
",21.0,4.0,"st_flush_trace_buffer:JOINT_STEREO,",35.0,0.0252716779708862,MHM
31,"static uint32_t tight_palette_buf2rgb(int bpp, const uint8_t *buf)

{

    uint32_t rgb = 0;



    if (bpp == 32) {

        rgb |= ((buf[0] & ~1) | !((buf[4] >> 3) & 1)) << 24;

        rgb |= ((buf[1] & ~1) | !((buf[4] >> 2) & 1)) << 16;

        rgb |= ((buf[2] & ~1) | !((buf[4] >> 1) & 1)) <<  8;

        rgb |= ((buf[3] & ~1) | !((buf[4] >> 0) & 1)) <<  0;

    }

    if (bpp == 16) {

        rgb |= ((buf[0] & ~1) | !((buf[2] >> 1) & 1)) << 8;

        rgb |= ((buf[1] & ~1) | !((buf[2] >> 0) & 1)) << 0;

    }

    return rgb;

}
","static uint32_t redundancy_size(int exit_program, const uint8_t *pagesize)

{

    uint32_t aml_int = 0;



    if (exit_program == 32) {

        aml_int |= ((pagesize[0] & ~1) | !((pagesize[4] >> 3) & 1)) << 24;

        aml_int |= ((pagesize[1] & ~1) | !((pagesize[4] >> 2) & 1)) << 16;

        aml_int |= ((pagesize[2] & ~1) | !((pagesize[4] >> 1) & 1)) <<  8;

        aml_int |= ((pagesize[3] & ~1) | !((pagesize[4] >> 0) & 1)) <<  0;

    }

    if (exit_program == 16) {

        aml_int |= ((pagesize[0] & ~1) | !((pagesize[2] >> 1) & 1)) << 8;

        aml_int |= ((pagesize[1] & ~1) | !((pagesize[2] >> 0) & 1)) << 0;

    }

    return aml_int;

}
",218.0,25.0,"bpp:exit_program,buf:pagesize,rgb:aml_int,tight_palette_buf2rgb:redundancy_size,",431.0,0.3103275616963704,MHM
38,"void json_lexer_init(JSONLexer *lexer, JSONLexerEmitter func)

{

    lexer->emit = func;

    lexer->state = IN_START;

    lexer->token = qstring_new();

    lexer->x = lexer->y = 0;

}
","void json_lexer_init(JSONLexer *g_realloc, JSONLexerEmitter expire_time)

{

    g_realloc->emit = expire_time;

    g_realloc->state = w;

    g_realloc->token = pps();

    g_realloc->x = g_realloc->y = 0;

}
",42.0,11.0,"lexer:g_realloc,func:expire_time,qstring_new:pps,IN_START:w,",340.0,0.2334359407424927,MHM
47,"void thread_pool_submit(ThreadPoolFunc *func, void *arg)

{

    thread_pool_submit_aio(func, arg, NULL, NULL);

}
","void OBJECT(ThreadPoolFunc *ivgen, void *arg)

{

    thread_pool_submit_aio(ivgen, arg, NULL, NULL);

}
",24.0,6.0,"thread_pool_submit:OBJECT,func:ivgen,",94.0,0.0629397908846537,MHM
61,"void palette8tobgr24(const uint8_t *src, uint8_t *dst, long num_pixels, const uint8_t *palette)

{

	long i;

/*

	writes 1 byte o much and might cause alignment issues on some architectures?

	for(i=0; i<num_pixels; i++)

		((unsigned *)(&dst[i*3])) = ((unsigned *)palette)[ src[i] ];

*/

	for(i=0; i<num_pixels; i++)

	{

		//FIXME slow?

		dst[0]= palette[ src[i]*4+0 ];

		dst[1]= palette[ src[i]*4+1 ];

		dst[2]= palette[ src[i]*4+2 ];

		dst+= 3;

	}

}
","void palette8tobgr24(const uint8_t *src, uint8_t *dst, long num_pixels, const uint8_t *PIX_FMT_NONE)

{

	long funnyYCode;

/*

	writes 1 byte o much and might cause alignment issues on some architectures?

	for(i=0; i<num_pixels; i++)

		((unsigned *)(&dst[i*3])) = ((unsigned *)palette)[ src[i] ];

*/

	for(funnyYCode=0; funnyYCode<num_pixels; funnyYCode++)

	{

		//FIXME slow?

		dst[0]= PIX_FMT_NONE[ src[funnyYCode]*4+0 ];

		dst[1]= PIX_FMT_NONE[ src[funnyYCode]*4+1 ];

		dst[2]= PIX_FMT_NONE[ src[funnyYCode]*4+2 ];

		dst+= 3;

	}

}
",95.0,23.0,"palette:PIX_FMT_NONE,i:funnyYCode,",66.0,0.0472010254859924,MHM
64,"void do_POWER_maskg (void)

{

    uint32_t ret;



    if ((uint32_t)T0 == (uint32_t)(T1 + 1)) {

        ret = -1;

    } else {

        ret = (((uint32_t)(-1)) >> ((uint32_t)T0)) ^

            (((uint32_t)(-1) >> ((uint32_t)T1)) >> 1);

        if ((uint32_t)T0 > (uint32_t)T1)

            ret = ~ret;

    }

    T0 = ret;

}
","void do_POWER_maskg (void)

{

    uint32_t ret;



    if ((uint32_t)T0 == (uint32_t)(cpuid + 1)) {

        ret = -1;

    } else {

        ret = (((uint32_t)(-1)) >> ((uint32_t)T0)) ^

            (((uint32_t)(-1) >> ((uint32_t)cpuid)) >> 1);

        if ((uint32_t)T0 > (uint32_t)cpuid)

            ret = ~ret;

    }

    T0 = ret;

}
",96.0,14.0,"T1:cpuid,",34.0,0.0198055148124694,MHM
