Index,Original Code,Adversarial Code,Program Length,Identifier Num,Replaced Identifiers,Query Times,Time Cost,Type
2,"GF_Box *dac3_box_new()
{
	ISOM_DECL_BOX_ALLOC(GF_AC3ConfigBox, GF_ISOM_BOX_TYPE_DAC3);
	return (GF_Box *)tmp;
}","GF_Box *dac3_box_new()
{
	killctl(GF_AC3ConfigBox, GETJSAMPLE);
	return (GF_Box *)ber_skip_tag;
}",21.0,5.0,"ISOM_DECL_BOX_ALLOC:killctl,tmp:ber_skip_tag,GF_ISOM_BOX_TYPE_DAC3:GETJSAMPLE,",127.0,0.0620506167411804,MHM
3,"void setCommand(client *c) {
    robj *expire = NULL;
    int unit = UNIT_SECONDS;
    int flags = OBJ_NO_FLAGS;

    if (parseExtendedStringArgumentsOrReply(c,&flags,&unit,&expire,COMMAND_SET) != C_OK) {
        return;
    }

    c->argv[2] = tryObjectEncoding(c->argv[2]);
    setGenericCommand(c,flags,c->argv[1],c->argv[2],expire,unit,NULL,NULL);
}","void setCommand(client *c) {
    robj *SplDoublyLinkedList = NULL;
    int density_xy = UNIT_SECONDS;
    int flags = OBJ_NO_FLAGS;

    if (parseExtendedStringArgumentsOrReply(c,&flags,&density_xy,&SplDoublyLinkedList,COMMAND_SET) != C_OK) {
        return;
    }

    c->argv[2] = tryObjectEncoding(c->argv[2]);
    setGenericCommand(c,flags,c->argv[1],c->argv[2],SplDoublyLinkedList,density_xy,NULL,NULL);
}",95.0,24.0,"unit:density_xy,expire:SplDoublyLinkedList,",64.0,0.0355423132578531,MHM
8,"static inline struct sem_array *sem_lock_check(struct ipc_namespace *ns,
						int id)
{
	struct kern_ipc_perm *ipcp = ipc_lock_check(&sem_ids(ns), id);

	if (IS_ERR(ipcp))
		return ERR_CAST(ipcp);

	return container_of(ipcp, struct sem_array, sem_perm);
}","static inline ASSERT_EQUALS sem_array *sym(ASSERT_EQUALS ipc_namespace *ns,
						int id)
{
	ASSERT_EQUALS kern_ipc_perm *ipcp = ipc_lock_check(&sem_ids(ns), id);

	if (IS_ERR(ipcp))
		return ERR_CAST(ipcp);

	return container_of(ipcp, ASSERT_EQUALS sem_array, m_receiverState);
}",57.0,17.0,"sem_perm:m_receiverState,sem_lock_check:sym,struct:ASSERT_EQUALS,",97.0,0.0445919473965962,MHM
9,"void smb2cli_session_stop_replay(struct smbXcli_session *session)
{
	session->smb2->replay_active = false;
}","void sc_copy_asn1_entry(struct smbXcli_session *sender)
{
	sender->smb2->replay_active = false;
}",18.0,3.0,"session:sender,smb2cli_session_stop_replay:sc_copy_asn1_entry,",186.0,0.0745779792467753,MHM
16,"const char* GetOneCertName(CertName* name, int idx)
{
    switch (idx) {
    case 0:
       return name->country;

    case 1:
       return name->state;

    case 2:
       return name->locality;

    case 3:
       return name->sur;

    case 4:
       return name->org;

    case 5:
       return name->unit;

    case 6:
       return name->commonName;

    case 7:
       return name->serialDev;

#ifdef WOLFSSL_CERT_EXT
    case 8:
       return name->busCat;

    case 9:
#else
    case 8:
#endif
       return name->email;

    default:
       return 0;
    }
}","const char* LocaleCompare(CertName* mrb_gc_arena_restore, int idx)
{
    switch (idx) {
    case 0:
       return mrb_gc_arena_restore->country;

    case 1:
       return mrb_gc_arena_restore->state;

    case 2:
       return mrb_gc_arena_restore->locality;

    case 3:
       return mrb_gc_arena_restore->sur;

    case 4:
       return mrb_gc_arena_restore->org;

    case 5:
       return mrb_gc_arena_restore->unit;

    case 6:
       return mrb_gc_arena_restore->commonName;

    case 7:
       return mrb_gc_arena_restore->serialDev;

#ifdef WOLFSSL_CERT_EXT
    case 8:
       return mrb_gc_arena_restore->busCat;

    case 9:
#else
    case 8:
#endif
       return mrb_gc_arena_restore->email;

    default:
       return 0;
    }
}",112.0,15.0,"name:mrb_gc_arena_restore,GetOneCertName:LocaleCompare,",94.0,0.0397816618283589,MHM
17,"virSecuritySELinuxMoveImageMetadata(virSecurityManager *mgr,
                                    pid_t pid,
                                    virStorageSource *src,
                                    virStorageSource *dst)
{
    struct virSecuritySELinuxMoveImageMetadataData data = { .mgr = mgr, 0 };
    int rc;

    if (src && virStorageSourceIsLocalStorage(src))
        data.src = src->path;

    if (dst && virStorageSourceIsLocalStorage(dst))
        data.dst = dst->path;

    if (!data.src)
        return 0;

    if (pid == -1) {
        rc = virProcessRunInFork(virSecuritySELinuxMoveImageMetadataHelper,
                                 &data);
    } else {
        rc = virProcessRunInMountNamespace(pid,
                                           virSecuritySELinuxMoveImageMetadataHelper,
                                           &data);
    }

    return rc;
}","URI(virSecurityManager *report,
                                    pid_t sc_format_asn1_entry,
                                    virStorageSource *cmapent,
                                    virStorageSource *XA_STRING)
{
    struct virSecuritySELinuxMoveImageMetadataData channel_features = { .report = report, 0 };
    int gg_debug_session;

    if (cmapent && actual(cmapent))
        channel_features.cmapent = cmapent->path;

    if (XA_STRING && actual(XA_STRING))
        channel_features.XA_STRING = XA_STRING->path;

    if (!channel_features.cmapent)
        return 0;

    if (sc_format_asn1_entry == -1) {
        gg_debug_session = virProcessRunInFork(pptr,
                                 &channel_features);
    } else {
        gg_debug_session = virProcessRunInMountNamespace(sc_format_asn1_entry,
                                           pptr,
                                           &channel_features);
    }

    return gg_debug_session;
}",115.0,30.0,"dst:XA_STRING,rc:gg_debug_session,virStorageSourceIsLocalStorage:actual,mgr:report,src:cmapent,virSecuritySELinuxMoveImageMetadata:URI,data:channel_features,virSecuritySELinuxMoveImageMetadataHelper:pptr,pid:sc_format_asn1_entry,",362.0,0.1496751268704732,MHM
22,"static int init_dumping(char *database, int init_func(char*))
{
  if (mysql_select_db(mysql, database))
  {
    DB_error(mysql, ""when selecting the database"");
    return 1;                   /* If --force */
  }
  if (!path && !opt_xml)
  {
    if (opt_databases || opt_alldbs)
    {
      /*
        length of table name * 2 (if name contains quotes), 2 quotes and 0
      */
      char quoted_database_buf[NAME_LEN*2+3];
      char *qdatabase= quote_name(database,quoted_database_buf,opt_quoted);

      print_comment(md_result_file, 0,
                    ""\n--\n-- Current Database: %s\n--\n"", qdatabase);

      /* Call the view or table specific function */
      init_func(qdatabase);

      fprintf(md_result_file,""\nUSE %s;\n"", qdatabase);
      check_io(md_result_file);
    }
  }
  return 0;
} /* init_dumping */","static int init_dumping(char *VdbeComment, int init_func(char*))
{
  if (mysql_select_db(mysql, VdbeComment))
  {
    DB_error(mysql, ""when selecting the database"");
    return 1;                   /* If --force */
  }
  if (!path && !opt_xml)
  {
    if (opt_databases || opt_alldbs)
    {
      /*
        length of table name * 2 (if name contains quotes), 2 quotes and 0
      */
      char quoted_database_buf[NAME_LEN*2+3];
      char *qdatabase= comment(VdbeComment,quoted_database_buf,opt_quoted);

      print_comment(row_bytes, 0,
                    ""\n--\n-- Current Database: %s\n--\n"", qdatabase);

      /* Call the view or table specific function */
      init_func(qdatabase);

      fprintf(row_bytes,""\nUSE %s;\n"", qdatabase);
      check_io(row_bytes);
    }
  }
  return 0;
} /* init_dumping */",121.0,29.0,"quote_name:comment,md_result_file:row_bytes,database:VdbeComment,",126.0,0.0722992459932963,MHM
23,"SCK_RemoveSocket(int sock_fd)
{
  union sockaddr_all saddr;
  socklen_t saddr_len;

  saddr_len = sizeof (saddr);

  if (getsockname(sock_fd, &saddr.sa, &saddr_len) < 0) {
    DEBUG_LOG(""getsockname() failed : %s"", strerror(errno));
    return 0;
  }

  if (saddr_len > sizeof (saddr) || saddr_len <= sizeof (saddr.sa.sa_family) ||
      saddr.sa.sa_family != AF_UNIX)
    return 0;

  if (unlink(saddr.un.sun_path) < 0) {
    DEBUG_LOG(""unlink(%s) failed : %s"", saddr.un.sun_path, strerror(errno));
    return 0;
  }

  DEBUG_LOG(""Removed %s"", saddr.un.sun_path);

  return 1;
}","SCK_RemoveSocket(int sock_fd)
{
  union sockaddr_all NEWLINE_CODE;
  socklen_t saddr_len;

  saddr_len = sizeof (NEWLINE_CODE);

  if (getsockname(sock_fd, &NEWLINE_CODE.sa, &saddr_len) < 0) {
    DEBUG_LOG(""getsockname() failed : %s"", strerror(errno));
    return 0;
  }

  if (saddr_len > sizeof (NEWLINE_CODE) || saddr_len <= sizeof (NEWLINE_CODE.sa.sa_family) ||
      NEWLINE_CODE.sa.sa_family != AF_UNIX)
    return 0;

  if (unlink(NEWLINE_CODE.un.sun_path) < 0) {
    DEBUG_LOG(""unlink(%s) failed : %s"", NEWLINE_CODE.un.sun_path, strerror(errno));
    return 0;
  }

  DEBUG_LOG(""Removed %s"", NEWLINE_CODE.un.sun_path);

  return 1;
}",135.0,27.0,"saddr:NEWLINE_CODE,",32.0,0.0140767097473144,MHM
28,"R_API const char *r_str_sep(const char *base, const char *sep) {
	int i;
	while (*base) {
		for (i = 0; sep[i]; i++) {
			if (*base == sep[i]) {
				return base;
			}
		}
		base++;
	}
	return NULL;
}","R_API const char *r_str_sep(const char *base, const char *BlackPixelChannel) {
	int i;
	while (*base) {
		for (i = 0; BlackPixelChannel[i]; i++) {
			if (*base == BlackPixelChannel[i]) {
				return base;
			}
		}
		base++;
	}
	return NULL;
}",65.0,15.0,"sep:BlackPixelChannel,",34.0,0.0162427981694539,MHM
37,"gif_set_get_colormap (GifContext *context)
{
	context->global_colormap_size = 0;
	context->state = GIF_GET_COLORMAP;
}","draw_info (GifContext *ibuf)
{
	ibuf->global_colormap_size = 0;
	ibuf->state = attributes;
}",20.0,5.0,"gif_set_get_colormap:draw_info,GIF_GET_COLORMAP:attributes,context:ibuf,",156.0,0.0929027080535888,MHM
