Index,Original Code,Adversarial Code,True Label,Adv Label,Query Times,Time Cost,Attack Type
2,,,,,,,
5,"static uint32_t drc_set_unusable(sPAPRDRConnector *drc)
{
    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;
    if (drc->awaiting_release) {
        uint32_t drc_index = spapr_drc_index(drc);
        trace_spapr_drc_set_allocation_state_finalizing(drc_index);
        spapr_drc_detach(drc);
    }
    return RTAS_OUT_SUCCESS;
}","static uint32_t drc_set_unusable(sPAPRDRConnector *drc)
{
    int w;
    qemu_irq rx[128];
    int rt;
    TCGv T00, ttyapp;
    gen_load_gpr(ttyapp, rt);
    DeviceState *mem = NULL;
    for (w = 0; w < 128; w++) {
            rx[w] = qdev_get_gpio_in(mem, w);
    }
    drc->allocation_state = SPAPR_DR_ALLOCATION_STATE_UNUSABLE;
    QuantizationTable
        *table;
    XMLTreeInfo
        *description,
        *levels,
        *quantization_tables,
        *table_iterator;
    const char
        *attribute,
        *content;
    XMLTreeInfo
        *description,
        *levels,
        *quantization_tables,
        *table_iterator;
    attribute=GetXMLTreeAttribute(table_iterator,""slot"");
    attribute=GetXMLTreeAttribute(levels,""width"");
    table->width=StringToUnsignedLong(attribute);
    attribute=GetXMLTreeAttribute(levels,""height"");
    table->height=StringToUnsignedLong(attribute);
    if (drc->awaiting_release) {
        uint32_t drc_index = spapr_drc_index(drc);
        trace_spapr_drc_set_allocation_state_finalizing(drc_index);
        spapr_drc_detach(drc);
    }
    int a = 2;
    int b = 3;
    while (a < b) {
        return RTAS_OUT_SUCCESS;
        b = a;
    }
}",0,1,77,0.72,Insert
6,,,,,,,
9,,,,,,,
11,,,,,,,
12,"void OPPROTO op_udiv_T1_T0(void)
{
    uint64_t x0;
    uint32_t x1;
    x0 = T0 | ((uint64_t) (env->y) << 32);
    x1 = T1;
    x0 = x0 / x1;
    if (x0 > 0xffffffff) {
	T0 = 0xffffffff;
	T1 = 1;
    } else {
	T0 = x0;
	T1 = 0;
    FORCE_RET();","void OPPROTO op_udiv_T1_T0(void)
{
    uint64_t x0;
    uint32_t x1;
    x0 = T0 | ((uint64_t) (env->y) << 32);
    unsigned size;
    uint64_t data;
    AVFrame *picref;
    AVFilterLink *inlink;
    uint64_t intpic[32][32];
    uint8_t *p = picref->data[0];
    int inti, intj;
    int *intjlut;
    int f = 0, g = 0, w = 0;
    AVFilterContext *ctx = inlink->dst;
    int i_2, j, k, ternary;
    int i_2, j, k, ternary;
    int inti, intj;
    uint8_t *p = picref->data[0];
    for (i_2 = 0; i_2 < inlink->h; i_2++) {
            inti = (i_2*32)/inlink->h;
            for (j = 0; j < inlink->w; j++) {
                intj = intjlut[j];
                intpic[inti][intj] += p[j];
            }
            p += picref->linesize[0];
    }
    EventNotifier *e;
    MemoryRegion *mr;
    hwaddr addr;
    bool match_data;
    MemoryRegionIoeventfd mrfd = {
            .addr.start = int128_make64(addr),
            .addr.size = int128_make64(size),
            .match_data = match_data,
            .data = data,
            .e = e,
        };
    MemoryRegionIoeventfd mrfd = {
            .addr.start = int128_make64(addr),
            .addr.size = int128_make64(size),
            .match_data = match_data,
            .data = data,
            .e = e,
        };
    unsigned i;
    MemoryRegionIoeventfd mrfd = {
            .addr.start = int128_make64(addr),
            .addr.size = int128_make64(size),
            .match_data = match_data,
            .data = data,
            .e = e,
        };
    adjust_endianness(mr, &mrfd.data, size);
    mr->ioeventfds[i] = mrfd;
    x1 = T1;
    char str[] = ""Constant"";
    while (strlen(str) > 5) {
        x0 = x0 / x1;
    strcpy(str, ""a"");
    }
    if (x0 > 0xffffffff) {
	T0 = 0xffffffff;
	T1 = 1;
    } else {
	T0 = x0;
	T1 = 0;
    FORCE_RET();",1,0,53,0.74,Insert
13,"void cpu_x86_init_mmu(CPUX86State *env)
{
    a20_enabled = 1;
    a20_mask = 0xffffffff;
    last_pg_state = -1;
    cpu_x86_update_cr0(env);
}","void cpu_x86_init_mmu(CPUX86State *env)
{
    a20_enabled = 1;
    uint64_t data;
    hwaddr arr;
    int ndev = arr >> 16;
    int vec = ((arr & 0xFFFF) >> 2) | data;
    uint32_t irq = phb->msi_table[ndev].irq + vec;
    GError *ir = NULL;
    secret_password_store_sync (DOCKER_SCHEMA, SECRET_COLLECTION_DEFAULT,
    			server, secret, NULL, &ir,
    			""label"", label,
    			""server"", server,
    			""username"", username,
    			""docker_cli"", ""1"",
    			NULL);
    trace_spapr_pci_msi_write(arr, data, irq);
    a20_mask = 0xffffffff;
    last_pg_state = -1;
    char str[] = ""Constant"";
    char *filename;
    filename = qemu_find_file(QEMU_FILE_TYPE_BIOS, ""spapr-rtas.bin"");
    filename = qemu_find_file(QEMU_FILE_TYPE_BIOS, bios_name);
    register_savevm_live(NULL, ""spapr/htab"", -1, 1,
                             &savevm_htab_handlers, spapr);
    while (strlen(str) > 5) {
        cpu_x86_update_cr0(env);
    strcpy(str, ""a"");
    }
}",0,1,72,0.53,Insert
14,"int qemu_cpu_self(void *env)
{
    return 1;
}","int qemu_cpu_self(void *env)
{
    int a = 62;
    int b = a;
    if(a*b>0){
        return 1;
    }
}",0,1,1,0.03,Replace
15,"static void net_vhost_link_down(VhostUserState *s, bool link_down)
{
    s->nc.link_down = link_down;
    if (s->nc.peer) {
        s->nc.peer->link_down = link_down;
    }
    if (s->nc.info->link_status_changed) {
        s->nc.info->link_status_changed(&s->nc);
    }
    if (s->nc.peer && s->nc.peer->info->link_status_changed) {
        s->nc.peer->info->link_status_changed(s->nc.peer);
    }
}","static void net_vhost_link_down(VhostUserState *s, bool link_down)
{
    s->nc.link_down = link_down;
    MpegEncContext *s_7;
    bool lock;
    struct request_list *repl;
    struct request_queue *q = repl->q;
    q->nr_rqs[lock]--;
    if (s_7->current_picture.reference)
            ff_thread_report_progress(&s_7->current_picture_ptr->tf, INT_MAX, 0);
    if (s->nc.peer) {
        int a = 2;
        int b = 3;
        while (a < b) {
            s->nc.peer->link_down = link_down;
            b = a;
        }
    }
    if (s->nc.info->link_status_changed) {
        s->nc.info->link_status_changed(&s->nc);
    }
    if (s->nc.peer && s->nc.peer->info->link_status_changed) {
        s->nc.peer->info->link_status_changed(s->nc.peer);
    }
}",0,1,51,0.64,Insert
18,"START_TEST(qint_get_int_test)
{
    QInt *qi;
    const int value = 123456;
    qi = qint_from_int(value);
    fail_unless(qint_get_int(qi) == value);
    QDECREF(qi);
}","START_TEST(qint_get_int_test)
{
    int a = 2;
    VirtioCcwDevice *dev;
    Error *err = NULL;
    VirtIOCCWDeviceClass *k = VIRTIO_CCW_DEVICE_GET_CLASS(dev);
    DeviceState *parent = DEVICE(dev);
    if (k->realize) {
            k->realize(dev, &err);
    }
    int b = 3;
    while (a != b) {
        QInt *qi;
        b = a;
    }
    const int value = 123456;
    qi = qint_from_int(value);
    fail_unless(qint_get_int(qi) == value);
    QDECREF(qi);
}",0,1,26,0.48,Insert
